title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
巨大なブリをさばいていく！【はーちゃんクッキング】,/watch?v=o0rH61ha38M,593280,川口春奈オフィシャル はーちゃんねる,1070000,3日前,1576974,38
【女子必見！】リモートで教わる河北メイク！【超保存版】,/watch?v=PUTKP8ry9pA,522955,川口春奈オフィシャル はーちゃんねる,1070000,2週間前,1576974,33
【岩盤浴】汗まみれでお答えします。,/watch?v=zmAAhIYWVzI,408686,川口春奈オフィシャル はーちゃんねる,1070000,3週間前,1576974,26
【レア回】ASMRで47都道府県の限定お菓子を食べつくす！【咀嚼音】,/watch?v=50WglA_IwGk,1046128,川口春奈オフィシャル はーちゃんねる,1070000,1か月前,1576974,66
突然ですが、鯛、さばきます。【はーちゃんクッキング】,/watch?v=rOOYReaa4F8,1085949,川口春奈オフィシャル はーちゃんねる,1070000,1か月前,1576974,69
ハマってしまいました【あつまれ どうぶつの森】#2,/watch?v=q4ogFqGtaAA,573742,川口春奈オフィシャル はーちゃんねる,1070000,1か月前,1576974,36
一緒に美尻トレーニング！with バドミントン奥原選手,/watch?v=7jGassSR_Gg,660341,川口春奈オフィシャル はーちゃんねる,1070000,1か月前,1576974,42
祝！100万人登録達成！感謝のコメ返し！ そして…ついにアレが届きました,/watch?v=iIcavPtNDhc,698869,川口春奈オフィシャル はーちゃんねる,1070000,1か月前,1576974,44
ある日のランチ。【はーちゃんクッキング ～トムヤムクン編～】#stayhome,/watch?v=XgC8yp1GSH8,401776,川口春奈オフィシャル はーちゃんねる,1070000,2か月前,1576974,25
わたしの島へようこそー【あつまれ どうぶつの森】,/watch?v=YSceKVfi1ig,1121265,川口春奈オフィシャル はーちゃんねる,1070000,2か月前,1576974,71
不器用ですけど、何か？【立体パズル】 #stayhome,/watch?v=1bXHH3pYqno,398022,川口春奈オフィシャル はーちゃんねる,1070000,2か月前,1576974,25
ひとりタコパ！【はーちゃんクッキング ～たこ焼き編～】#stayhome,/watch?v=ZTVnl2faCUY,1215013,川口春奈オフィシャル はーちゃんねる,1070000,2か月前,1576974,77
今回は大苦戦、、、川口、英語喋れないってよ。～ホテル編～ #stayhome,/watch?v=3HTg0sWoIdM,440273,川口春奈オフィシャル はーちゃんねる,1070000,2か月前,1576974,28
【質問コーナー】芸能界入りのきっかけや大河のはなし,/watch?v=ZjBON5s6mvE,786104,川口春奈オフィシャル はーちゃんねる,1070000,3か月前,1576974,50
料理は目分量！　はーちゃんクッキング ～肉じゃが編～ 【#stayhome】,/watch?v=aHpM869wo_w,1436541,川口春奈オフィシャル はーちゃんねる,1070000,3か月前,1576974,91
【#stayhome】オンラインでも川口、英語喋れるってよ。～タクシー編～,/watch?v=mAIwp_KHL98,941956,川口春奈オフィシャル はーちゃんねる,1070000,3か月前,1576974,60
ひとりでヨガやってみた！【自宅で気軽に】#stayhome,/watch?v=59bQLSvlCf0,1312251,川口春奈オフィシャル はーちゃんねる,1070000,3か月前,1576974,83
これ、辛くできますか！？　～激辛スープカレー編～,/watch?v=zBu1-lFJvSM,1329110,川口春奈オフィシャル はーちゃんねる,1070000,4か月前,1576974,84
【川口春奈のできるまで】メイクのしかた、スッピンから全部見せます！【お家で練習】,/watch?v=kD_3mTCh_nA,4239410,川口春奈オフィシャル はーちゃんねる,1070000,4か月前,1576974,269
【新企画】川口、英語喋れるってよ。【挑戦】,/watch?v=CH8ceaU-KKQ,1553239,川口春奈オフィシャル はーちゃんねる,1070000,4か月前,1576974,98
女優ふたりのマル秘女子会！,/watch?v=txiyw5vosrY,1758070,川口春奈オフィシャル はーちゃんねる,1070000,4か月前,1576974,111
ドッグランからお風呂まで！,/watch?v=6BWpvIuAOqU,1881900,川口春奈オフィシャル はーちゃんねる,1070000,4か月前,1576974,119
【新企画】これ、辛くできますか！？【激辛】,/watch?v=bCm-BR10XZ8,2037903,川口春奈オフィシャル はーちゃんねる,1070000,5か月前,1576974,129
《みんな気になってるアレやコレについて答えてみた》,/watch?v=CDS4CuWNF1E,2379637,川口春奈オフィシャル はーちゃんねる,1070000,5か月前,1576974,151
この島で私は育ちました！【Vlog】,/watch?v=6YGSyD0xdFo,1532254,川口春奈オフィシャル はーちゃんねる,1070000,5か月前,1576974,97
実家でまったり過ごします！【Vlog】,/watch?v=T6fB8-zy4MI,5999651,川口春奈オフィシャル はーちゃんねる,1070000,5か月前,1576974,380
実家でお母さんに会ってきた！【Vlog】,/watch?v=WKCn1hKxRCc,5896358,川口春奈オフィシャル はーちゃんねる,1070000,6か月前,1576974,374
突然ですが、生配信！！！,/watch?v=-2vZlNE1am8,1904584,川口春奈オフィシャル はーちゃんねる,1070000,6か月前,1576974,121
