title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
速すぎる音フェチ　Fastest ASMR,/watch?v=7JK3kzP3Zsw,19405,Koki ASMR,990000,3日前,42217,46
ASMR 左耳だけ音フェチする Only Left Ear (概要欄に元動画貼ってあります),/watch?v=zxWe0ShOtvM,12091,Koki ASMR,990000,1週間前,42217,29
ASMR グラスにだって音の違いはある 音フェチ タッピング　Japanese ASMR Tapping,/watch?v=yhS6ADdivBE,30203,Koki ASMR,990000,1週間前,42217,72
囁き雑談　お久しぶりです ASMR 音フェチ,/watch?v=nTBegsd06JI,18559,Koki ASMR,990000,1週間前,42217,44
ASMR 咀嚼音　マックのダブルチーズバーガーセットを食べる　Eating Sounds McDonald's 飯テロ？,/watch?v=gN0x8etgBpQ,50333,Koki ASMR,990000,1か月前,42217,119
ASMR ［囁き］ Japanese Inaudible 意味のない言葉を囁く　音フェチ,/watch?v=kAvQQT3U5Cw,30570,Koki ASMR,990000,1か月前,42217,72
ASMR 右耳だけ音フェチする Only Right Ear  (概要欄に元動画貼ってあります),/watch?v=wgv8rTHQ9ME,20546,Koki ASMR,990000,1か月前,42217,49
ASMR 一度に二度楽しめる双子音フェチ　Japanese Twin ASMR,/watch?v=YOcNKAJMrO4,37103,Koki ASMR,990000,1か月前,42217,88
ASMR ⚠️あなたの鼓膜を爪楊枝でブチ破ります　耳かき　音フェチ　Dangerous Ear Cleaning,/watch?v=LEYGXoG2O9I,71834,Koki ASMR,990000,1か月前,42217,170
⚠️睡眠用⚠️ Koki 耳かき始めたってよ Ear Cleaning Japanese ASMR 音フェチ,/watch?v=_67-8iD2nAg,111502,Koki ASMR,990000,1か月前,42217,264
音フェチ初心者の方はこの動画を見てください　ASMR,/watch?v=WXkYWErth0I,78204,Koki ASMR,990000,2か月前,42217,185
ASMR 100パック当選しました　第三弾　BBMオリックス・バファローズベースボールカード開封　音フェチ,/watch?v=4vL87OefvcA,19410,Koki ASMR,990000,2か月前,42217,46
ASMR TINGLES Binaural,/watch?v=ZEEsfrIYChQ,32786,Koki ASMR,990000,2か月前,42217,78
ASMR ゴミだけ使って音フェチ　Making ASMR video with only Trash,/watch?v=GNqvW7vcQxo,37910,Koki ASMR,990000,2か月前,42217,90
ASMR 100パック当選しました　第二弾　BBM北海道日本ハムファイターズベースボールカード2019 開封　音フェチ,/watch?v=O7zpC-8_Qqk,13340,Koki ASMR,990000,2か月前,42217,32
ASMR  100パック当選しました　第一弾　BBMソフトバンクホークスベースボールカード2019 開封　音フェチ,/watch?v=oeteibOe480,20211,Koki ASMR,990000,2か月前,42217,48
ASMR 氷の入ったコップにコーラを注いで飲む　音フェチ　Drinking Sounds Cola,/watch?v=ABO-G1ZltTE,31383,Koki ASMR,990000,2か月前,42217,74
ASMR キャラ崩壊ロールプレイ　ゲームショップ　音フェチ　Role Play Game Shop,/watch?v=XNcaiXnA3VA,30991,Koki ASMR,990000,2か月前,42217,73
ASMR ZONeの赤色版FireWallがイメージと全然違かった… 囁きレビュー 音フェチ エナジードリンク Drinking Sound,/watch?v=kJzGlpNUMn0,43475,Koki ASMR,990000,2か月前,42217,103
"ASMR ""新発売"" エナジードリンクZONeを囁きレビュー　音フェチ Drinking Sound Energy Drink",/watch?v=KX02As0fzys,77501,Koki ASMR,990000,2か月前,42217,184
⚠️最近寝る時蒸し暑い人はこの動画を見てください　ASMR マウンテンデューを氷が入ったコップに移して飲む　音フェチ　Drinking Sound,/watch?v=ZntKolMaIrY,39349,Koki ASMR,990000,2か月前,42217,93
ASMR スチール缶(缶コーヒー)で音フェチ動画撮ってみた Drinking sounds coffee,/watch?v=yeS3znWiC10,35302,Koki ASMR,990000,3か月前,42217,84
ASMR 眠りが浅い人はこれを見てください 音フェチ,/watch?v=vupAX-l1FvU,54629,Koki ASMR,990000,3か月前,42217,129
ASMR 咀嚼音 ケンタッキーの骨なしとオリジナル2個ずつとポテトLをドクターペッパーで流す Eating KFC 音フェチ 飯テロ？,/watch?v=5YkryPSR3qI,104487,Koki ASMR,990000,3か月前,42217,247
#うちで過ごそう　#StayAtHome,/watch?v=1X_NliEfBeA,33755,Koki ASMR,990000,3か月前,42217,80
ASMR BBMラグビートップリーグカード2020を開封！直筆サインカードを狙う！ 音フェチ 囁きカード開封,/watch?v=CGySQVj82R8,27521,Koki ASMR,990000,3か月前,42217,65
囁き雑談　最近の家での過ごし方　ASMR 音フェチ,/watch?v=1nbRbUvBqug,33839,Koki ASMR,990000,3か月前,42217,80
[ご報告]これからの方針について,/watch?v=3Qu6Xe50VzA,30255,Koki ASMR,990000,3か月前,42217,72
ASMR むっちゃいい音3つ新たに見つけた！ 音フェチ,/watch?v=_QoM89MPLXM,71109,Koki ASMR,990000,3か月前,42217,168
外出したくなくなるほどリラックスできる動画  ASMR 音フェチ,/watch?v=e9YI9GcPN9A,48920,Koki ASMR,990000,3か月前,42217,116
