title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR咀嚼音】無限キャベツのもとでキャベツ食べてみた,/watch?v=dSPl-CF0gLc,2589,しらたまの食事,1280000,1か月前,44899,6
【ASMR咀嚼音】女子大生がえびみりん焼食べる音,/watch?v=ufeiw1Iikpw,1509,しらたまの食事,1280000,1か月前,44899,3
【ASMR咀嚼音】お風呂上りにガリガリ君食べた,/watch?v=3pIJSnc_QYU,2093,しらたまの食事,1280000,1か月前,44899,5
【ASMR咀嚼音】女子大生がコロッケを食べる音【Eating Sounds】Japanese croquette,/watch?v=vEuJmYz1Pw4,3231,しらたまの食事,1280000,1か月前,44899,7
【ASMR咀嚼音】女子大生が板チョコアイスを食べる音,/watch?v=3DstZUh3Lew,4532,しらたまの食事,1280000,2か月前,44899,10
【ASMR咀嚼音】女子大生がお寿司を食べる音【Eating Sounds】sushi,/watch?v=8QqDwMLj79A,6642,しらたまの食事,1280000,2か月前,44899,15
【ASMR咀嚼音】女子大生がとんかつを食べる音【Eating Sounds】Pork cutlet/Tonkatsu,/watch?v=SO4qDkLm2V8,4882,しらたまの食事,1280000,2か月前,44899,11
【ASMR咀嚼音】女子大生が蕎麦と天ぷらを食べる音【Eating Sounds】Soba(buckwheat noodles)・Tempura,/watch?v=pN7z5vAfIr4,3168,しらたまの食事,1280000,2か月前,44899,7
【ASMR咀嚼音】女子大生がラーメン食べる音/すする音【Eating　Sounds】Ramen,/watch?v=bK_bJcRz-Yk,7164,しらたまの食事,1280000,2か月前,44899,16
【ASMR咀嚼音】女子大生がおにぎりとお漬物食べる音/【Eating Sounds】pickles,/watch?v=geYx0CozyY4,8003,しらたまの食事,1280000,2か月前,44899,18
【ASMR咀嚼音】女子大生がおにぎり 卵焼き ウインナー食べる音,/watch?v=a7p9zPFU39c,5897,しらたまの食事,1280000,3か月前,44899,13
【料理音ASMR】ホットケーキ作る音/Pancake,/watch?v=FLBz16z5j5c,2401,しらたまの食事,1280000,3か月前,44899,5
【#stayhome】オレオドリンク作ってみた,/watch?v=2IJ94WQne8s,2714,しらたまの食事,1280000,3か月前,44899,6
【ASMR咀嚼音】女子大生がポテトデラックス食べる音,/watch?v=f_9yFtP4Vbs,3179,しらたまの食事,1280000,3か月前,44899,7
【ASMR咀嚼音】女子大生がドラゴンフルーツを食べる音/Dragon fruit,/watch?v=NYnfyxtO2YU,3783,しらたまの食事,1280000,3か月前,44899,8
【ASMR咀嚼音】女子大生が餃子を食べる音,/watch?v=PSXYanQYr0I,5342,しらたまの食事,1280000,3か月前,44899,12
【ASMR咀嚼音】女子大生がマクドナルド〈チーズバーガーセット＋ナゲット〉を食べる音｜ASMR JAPANESE McDonald's,/watch?v=7wukIWPJDGY,7825,しらたまの食事,1280000,4か月前,44899,17
【ASMR咀嚼音】女子高生がりんごを食べる音/Apple,/watch?v=hG_sif9iYQs,3316,しらたまの食事,1280000,4か月前,44899,7
【ASMR咀嚼音】女子高生がシリアルを食べる音/チョコビッツ,/watch?v=sWrf_oJv1qM,2819,しらたまの食事,1280000,4か月前,44899,6
【ASMR咀嚼音】女子高生がやみつききゅうりを食べる音,/watch?v=-ccm_ZosJ1U,13008,しらたまの食事,1280000,4か月前,44899,29
【ASMR咀嚼音】女子高生が数の子を食べる音,/watch?v=_LjVfzRaeNs,7800,しらたまの食事,1280000,5か月前,44899,17
【ASMR咀嚼音】女子高生がエビフライを食べる音,/watch?v=_HWaC8dAvNI,5944,しらたまの食事,1280000,5か月前,44899,13
【ASMR咀嚼音】女子高生がウィンナーとたまごやきを食べる音,/watch?v=PmRK9Ll3C0U,7693,しらたまの食事,1280000,5か月前,44899,17
【ASMR咀嚼音】女子高生がトーストを食べる音,/watch?v=GiPG9UvkkBI,6112,しらたまの食事,1280000,6か月前,44899,14
【ASMR咀嚼音】女子高生が長芋を食べる音,/watch?v=0pEpP2jyu_g,8017,しらたまの食事,1280000,6か月前,44899,18
【ASMR咀嚼音】女子高生が海ぶどうを１パック丸ごと食べる音  Sea Grapes Eating,/watch?v=-P70-H4RQLA,10323,しらたまの食事,1280000,6か月前,44899,23
【ASMR咀嚼音】女子高生がマスカットを食べる音,/watch?v=KQZPmNKFAK4,8603,しらたまの食事,1280000,6か月前,44899,19
【ASMR咀嚼音】女子高生がブルボンの『ルマンド』を食べる音,/watch?v=aFZw0doLxs0,7746,しらたまの食事,1280000,7か月前,44899,17
[ASMR][咀嚼音]女子高校生の食事「たくあん」,/watch?v=avOcqUQubow,20979,しらたまの食事,1280000,10か月前,44899,47
[ASMR][咀嚼音]女子高校生の食事「りんご」,/watch?v=aVRRwZtpONQ,13757,しらたまの食事,1280000,10か月前,44899,31
[ASMR][咀嚼音]女子高校生の食事「サーモンの漬け丼」,/watch?v=-kPiPeuER04,24837,しらたまの食事,1280000,10か月前,44899,55
[ASMR][咀嚼音]女子高校生の食事「おやつ」,/watch?v=GOiJmZLyI-g,12736,しらたまの食事,1280000,10か月前,44899,28
[ASMR][咀嚼音]女子高校生の食事「コーンフレーク」,/watch?v=Ov2LRKqytm8,29607,しらたまの食事,1280000,11か月前,44899,66
[ASMR][咀嚼音]女子高校生の食事「きゅうりの浅漬け」,/watch?v=JQ8MA2l6jpk,1268313,しらたまの食事,1280000,2年前,44899,2825
