title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【夏ネイル】夏のセルフネイルしてみた💅🏼【プチプラ】【CANMAKE】,/watch?v=S4qRQZeOCHM,18022,福山絢水 あやみん,1650000,1日前,64234,28
【韓国フード】スクランブルエッグトースト食べてみた🍞🍳,/watch?v=NTH35zNCcnM,31244,福山絢水 あやみん,1650000,5日前,64234,49
ロッテリアを1000円分で本気で楽しんでみた🍔【ロッテリア1000円企画】,/watch?v=07keOeXQYJQ,66944,福山絢水 あやみん,1650000,1週間前,64234,104
【作業用】あやみんと一緒に作業しよう！Make With Me🔧プチブロック作ってみた,/watch?v=pJlhaqwrIHw,9755,福山絢水 あやみん,1650000,1週間前,64234,15
【初コラボ】たこみんで巨大たこ焼き作って食べながら質問に答えてみた🐙【質問コーナー】,/watch?v=eI94EI209Z0,47687,福山絢水 あやみん,1650000,1週間前,64234,74
【スキンケア】メイク撮影後にデパコスクレンジングで肌をとゅるとゆるにするよ！【シュウウエムラ】【shuuemura】,/watch?v=ryPzyr64yuk,11077,福山絢水 あやみん,1650000,2週間前,64234,17
【一重メイク】ラメ感◎夏のジューシーメイク🍉,/watch?v=OdjwcNJJ-8g,62534,福山絢水 あやみん,1650000,2週間前,64234,97
人気モデルにウーバーイーツ頼んでもらったら凄い物届いた！【UberEats】,/watch?v=Qzj-SZJf2Bc,99226,福山絢水 あやみん,1650000,3週間前,64234,154
BLACK PINKジェニちゃんのメイクやってみた♥️【モノマネメイク】【How You Like That】,/watch?v=pbbA2_JgZ7s,17562,福山絢水 あやみん,1650000,3週間前,64234,27
【ダイエットダンス】現役モデルが痩せる脂肪燃焼ダンス踊ってみた【マンションOK】【地獄の11分ダンス】,/watch?v=BQQ0T6ZfpYw,21695,福山絢水 あやみん,1650000,3週間前,64234,34
【100均コスメレビュー】URGLAMのコスメを使ってメイクしてみた！【ダイソー(DAISO)ユーアーグラム新作】,/watch?v=7t58oKb_0aU,67415,福山絢水 あやみん,1650000,4週間前,64234,105
【作業用】あやみんと一緒に1時間勉強しよう✍️Study With Me【ASMR】【音フェチ】,/watch?v=aEdrf9r3sRU,92876,福山絢水 あやみん,1650000,4週間前,64234,145
抹茶好きが決める一番おいしい抹茶食品選手権🍵【抹茶づくし】,/watch?v=TzXwmZHBG2Q,89342,福山絢水 あやみん,1650000,1か月前,64234,139
【韓国アイドルメイク】Red Velvetのスルギちゃんになりたい！,/watch?v=RK8U6ijTcwc,38607,福山絢水 あやみん,1650000,1か月前,64234,60
【一重向けアイメイク】印象別アイラインの引き方紹介！ 【ナチュラル・甘め・クール】【マスクメイク】,/watch?v=vRpt8hfQVck,44535,福山絢水 あやみん,1650000,1か月前,64234,69
チョコミント好きが決める一番おいしいチョコミント選手権🍫🌿【チョコミン党】,/watch?v=QrJbOvVKJ44,67333,福山絢水 あやみん,1650000,1か月前,64234,105
【肉大食い】ウーバーイーツで山盛りお肉を頼んでみた【UberEats】,/watch?v=vIcr28pEn6U,47306,福山絢水 あやみん,1650000,1か月前,64234,74
【毎日メイク】最近の私！2020夏~【一重メイク】【プチプラ】,/watch?v=Sq4HeOcH9v8,106284,福山絢水 あやみん,1650000,1か月前,64234,165
地雷メイクやってみた💜【一重メイク】【地雷系女子】,/watch?v=7btQ8WtLdtk,102752,福山絢水 あやみん,1650000,1か月前,64234,160
【マツコ会議】テレビ出演の裏側📺お家でリモート収録しました！【2020/6/20放送】,/watch?v=m-sNRky-Kyc,63766,福山絢水 あやみん,1650000,1か月前,64234,99
【梨泰院クラス】現役モデルが痩せるダンス踊ってみた【가호(Gaho) - 시작 / 이태원클라쓰 (ITAEWON CLASS)】,/watch?v=Gfavz216t6k,36442,福山絢水 あやみん,1650000,1か月前,64234,57
【カラコン】初心者にもおすすめ！ナチュラルに盛れるカラコン6色レビュー！【指原莉乃さんプロデュースTOPARDS(トパーズ)】,/watch?v=QzRRyV1VNOI,37885,福山絢水 あやみん,1650000,1か月前,64234,59
【初公開】過去の写真を振り返ってみた📸【思い出】,/watch?v=kmId3m9ijps,23485,福山絢水 あやみん,1650000,1か月前,64234,37
【簡単】ヨーグルトを使ったヘルシーなバスクチーズケーキを作ってみた🧀【バスチー】【作り方】,/watch?v=6JjEg-DdoSU,132977,福山絢水 あやみん,1650000,1か月前,64234,207
【WANNABE】現役モデルが2週間で10kg痩せるダンスを踊ってみた【WANNABE by ITZY (있지)】【K-POPダンスカバー】,/watch?v=YmTZ-LgGgm4,110338,福山絢水 あやみん,1650000,1か月前,64234,172
【LIVE】食べながら雑談😋,/watch?v=28YQgp1ZX80,50412,福山絢水 あやみん,1650000,1か月前,64234,78
【バレない】二重メイクに挑戦したみた！👀【二重の作り方】,/watch?v=Nw_MTMFkXls,235009,福山絢水 あやみん,1650000,2か月前,64234,366
【ベストコスメ】おすすめプチプラアイシャドウ紹介👀✨【プチプラコスメ】,/watch?v=X0vV0mDPQIU,65696,福山絢水 あやみん,1650000,2か月前,64234,102
【ヘアアレンジ】ボブの簡単かわいいへアレンジを紹介【編み込みツイン】,/watch?v=xSx59MnDzZQ,84669,福山絢水 あやみん,1650000,2か月前,64234,132
【恋バナ】みんなの胸キュンエピソードでニヤニヤ止まらない💓【キュン】,/watch?v=3EAg25ab9FY,44143,福山絢水 あやみん,1650000,2か月前,64234,69
