title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
アジフライとエビフライを食べる/Fried Shrimp/ASMR/mukbang/eatingsounds/咀嚼音,/watch?v=xk5s3aqz7D0,165,RYO ASMR,1120,3時間前,1282,13
揚げ物パーティ/イカフライ/春巻き/エビフライ/mukbang/咀嚼音/eating sounds/ASMR,/watch?v=xrsefcWV-o8,703,RYO ASMR,1120,3日前,1282,55
ジョンソンヴィルとおにぎりを食べる/johnsonville/mukbang/eating sounds/咀嚼音/ASMR,/watch?v=M9eiFaUm0Uk,478,RYO ASMR,1120,4日前,1282,37
唐揚げを食べる/fridchicken/ASMR/咀嚼音/eating sounds/mukbang,/watch?v=8h-F5SA2E2A,1256,RYO ASMR,1120,6日前,1282,98
【ASMR】豚キムチを食べる　Pork kimchi【咀嚼音/mukbang/eating sounds】,/watch?v=SOw6sTZFkdY,442,RYO ASMR,1120,1週間前,1282,34
ASMR系Youtuberの質問コーナー！！,/watch?v=MpeuK7CPIyo,686,RYO ASMR,1120,2週間前,1282,54
【ASMR】ケーキパーティ♡cake party【咀嚼音/mukbang/eating sounds】,/watch?v=tr-dKMij0K0,757,RYO ASMR,1120,3週間前,1282,59
【ASMR】ミスドの新商品を食べる！donuts【咀嚼音/mukbang/eating sounds】,/watch?v=iSGCRzkFUbY,717,RYO ASMR,1120,3週間前,1282,56
【ASMR】サムギョプサルを食す！Samgyeopsal 【咀嚼音/mukbang/eating sounds】,/watch?v=vhpgG4lSiDY,822,RYO ASMR,1120,1か月前,1282,64
【ASMR】韓国のインスタント麺をたべる！korean instant noodles【咀嚼音/mukbang/eating sounds】,/watch?v=SwJwPef1LCM,1139,RYO ASMR,1120,1か月前,1282,89
イメチェンをする！！【ASMRではない】,/watch?v=KmeDjv4GN10,565,RYO ASMR,1120,1か月前,1282,44
【ASMR】豚の角煮を食べる！Braised pork【咀嚼音/mukbang/eating sounds】,/watch?v=je3cTUTk1qE,897,RYO ASMR,1120,1か月前,1282,70
【ASMR】チョコアイスしか勝たん【咀嚼音】,/watch?v=kqVQLGBcTSg,589,RYO ASMR,1120,1か月前,1282,46
【ASMR】韓国チキンをたべる！【咀嚼音/mukbang/eating sounds】,/watch?v=KB4y55xhBeU,907,RYO ASMR,1120,1か月前,1282,71
【ASMR】スイーツを爆食い！！　sweets 【咀嚼音/mukbang/eating sounds】,/watch?v=v3eAI3s1mf8,887,RYO ASMR,1120,1か月前,1282,69
【ASMR】明太子カルボナーラといなり寿司【咀嚼音/mukbang/eating sounds】,/watch?v=1nBP6npceQo,708,RYO ASMR,1120,1か月前,1282,55
【ASMR】朝ごはんを食べる！　BREAKFAST【咀嚼音/mukbang/eating sounds】,/watch?v=fQ-dlrTVFi8,1208,RYO ASMR,1120,1か月前,1282,94
【ASMR】コストコのチュロスを食べる！！【咀嚼音/mukbang/eating sounds】,/watch?v=RCUwySTDxhA,1146,RYO ASMR,1120,1か月前,1282,89
【ASMR】チーズブルダックと沢庵をたべる【咀嚼音/mukbang/eating sounds】,/watch?v=y_4LyKKsxok,999,RYO ASMR,1120,1か月前,1282,78
【ASMR】コストコのドーナツを食べる🍩　donuts【咀嚼音/mukbang/eating sound】,/watch?v=hcQaMnLstRI,1093,RYO ASMR,1120,1か月前,1282,85
【ASMR】カルボナーラと焼売！！【咀嚼音/mukbang/eating sounds】,/watch?v=Wjex354uJ0I,827,RYO ASMR,1120,2か月前,1282,65
【ASMR】ティラミスとチョコ🍫【咀嚼音/mukbang/eating sounds】,/watch?v=sqT_buwNiWM,1185,RYO ASMR,1120,2か月前,1282,92
【ASMR】コストコのお寿司を食べる！SUSHI【咀嚼音/mukbang/eating sounds】,/watch?v=Fen2WgRROMQ,2337,RYO ASMR,1120,2か月前,1282,182
【ASMR】コンビニスイーツを大食い【咀嚼音/mukbang/eating sounds】,/watch?v=FGrW_7B37bU,1724,RYO ASMR,1120,2か月前,1282,134
【ASMR】海ぶどうとサーモン麺をたべる【咀嚼音/mukbang/eating sounds】,/watch?v=vfP9SzBu_fk,1293,RYO ASMR,1120,2か月前,1282,101
【ASMR】ブルダックポックンミョンと春巻きを食べる【咀嚼音/eating sounds/mukbang】,/watch?v=ZQc4Eg6eoQs,1017,RYO ASMR,1120,2か月前,1282,79
【ASMR】チーズハットグを食べる🧀【咀嚼音/mukbang/eating sounds】,/watch?v=JfDp9qL1nT4,1481,RYO ASMR,1120,2か月前,1282,116
【ASMR】KFCを食べる！【咀嚼音/mukbang/eating sounds】,/watch?v=o5hXCRHgXcI,1204,RYO ASMR,1120,2か月前,1282,94
【ASMR】和菓子を食べる🍁【咀嚼音/mukbang/eating sounds】,/watch?v=aLA4TsZPLFo,1827,RYO ASMR,1120,3か月前,1282,143
【ASMR】タルトの咀嚼音とは,/watch?v=URXosnKu-EQ,1296,RYO ASMR,1120,3か月前,1282,101
【ASMR】フライドチキンにチーズをつけて食べる　FRIEDCHICKEN【咀嚼音/mukbang/eating sounds】,/watch?v=g3EtaTrlZ2M,1391,RYO ASMR,1120,3か月前,1282,109
【ASMR】チャパゲティとアジフライと手羽先を食べる【咀嚼音】,/watch?v=MHGI7VmChJo,748,RYO ASMR,1120,3か月前,1282,58
【ASMR】漬物と米3合食べる【咀嚼音/mukbang/eating sounds】,/watch?v=XeOVTg3LF8Q,2444,RYO ASMR,1120,3か月前,1282,191
【ASMR】進撃の巨人をたべる【咀嚼音/mukbang/eating sounds】,/watch?v=khhcSwUhiwA,1076,RYO ASMR,1120,3か月前,1282,84
【ASMR】お寿司を食べる【咀嚼音/mukbang/eating sounds】,/watch?v=EqpkSlVrCwA,1715,RYO ASMR,1120,3か月前,1282,134
【ASMR】明太子スパゲティ2kgと春巻きを食べる【咀嚼音/eating sounds/mukbang】,/watch?v=m6G9xjoaGIk,1606,RYO ASMR,1120,3か月前,1282,125
【ASMR】ピザとピザポテトを食べる【咀嚼音/mukbang/eating sounds】,/watch?v=XvEG4BCqCmc,922,RYO ASMR,1120,3か月前,1282,72
【ASMR】揚げ物3種とご飯3合大食い【咀嚼音/mukbang/eating sounds】,/watch?v=hDRSGhf2PQI,3957,RYO ASMR,1120,3か月前,1282,309
【ASMR】唐揚げ爆食い【咀嚼音/mukbang/eating sounds】,/watch?v=VaIpS1LXoJ8,1230,RYO ASMR,1120,3か月前,1282,96
セブンの抹茶スイーツ大食い【咀嚼音/mukbang/eating sounds】ASMR,/watch?v=CEvfyBSKEG8,3190,RYO ASMR,1120,4か月前,1282,249
ジョンソンヴィルをたべる【咀嚼音/mukbang/eating sounds】,/watch?v=zDSRQD8KEn8,1305,RYO ASMR,1120,4か月前,1282,102
冷凍フルーツを大食い【咀嚼音/mukbang/eating sounds】ASMR,/watch?v=V1Jgpg66qT8,1301,RYO ASMR,1120,4か月前,1282,101
パンを大食い【咀嚼音/モッパン/mukbang/eating sounds】,/watch?v=9AqJucDoyvE,1124,RYO ASMR,1120,4か月前,1282,88
漬物を大食い【咀嚼音/mukbang/eating sound】,/watch?v=pSF9aVB5u5w,2089,RYO ASMR,1120,5か月前,1282,163
【ASMR】明太子クリームスパゲティ 1kg　SPICY COD ROE CREAM SPAGHETTI 【咀嚼音/mukbang/eating sound】,/watch?v=e3tkDznaGuM,3230,RYO ASMR,1120,5か月前,1282,252
