title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
氷#23/ ice#23[咀嚼音/ASMR/Eating Sounds],/watch?v=opwM3M1nlss,12122,koub,1670,,3950,307
どん兵衛牛すき風/   Instant Udon   [咀嚼音/ASMR/Eating Sounds],/watch?v=u_bQo9UmjiQ,597,koub,1670,,3950,15
ポテトチップス/ potato chips  [咀嚼音/ASMR/Eating Sounds],/watch?v=rkex1VVK4mM,392,koub,1670,,3950,10
とんかつ/ Pork cutlet  [咀嚼音/ASMR/Eating Sounds],/watch?v=b_Jcnf4FrG4,592,koub,1670,,3950,15
イカ飯/ Sticky Rice-stuffed Squid   [咀嚼音/ASMR/Eating Sounds],/watch?v=DT0Cbkdyl5M,549,koub,1670,,3950,14
プリングルズ焼そば/  Instant Noodle   [咀嚼音/ASMR/Eating Sounds],/watch?v=56l1JuiOgfw,250,koub,1670,,3950,6
フライドチキン/ Fried chicken  [咀嚼音/ASMR/Eating Sounds],/watch?v=gQKZyxtjgLc,637,koub,1670,,3950,16
氷#22/ ice#22  [咀嚼音/ASMR/Eating Sounds],/watch?v=2r9wXolcuBQ,4552,koub,1670,,3950,115
つくね/ Chicken meatballs  [咀嚼音/ASMR/Eating Sounds],/watch?v=FxU3xwH5n5Q,303,koub,1670,,3950,8
チゲ鍋うどん /Udon hot pot  [咀嚼音/ASMR/Eating Sounds],/watch?v=nMmEnPcLnf8,414,koub,1670,,3950,10
ドーナツ/ donut  [咀嚼音/ASMR/Eating Sounds],/watch?v=G_RpuyuvFEk,609,koub,1670,,3950,15
氷#21/ ice#21[咀嚼音/ASMR/Eating Sounds],/watch?v=ieTOItT1sl0,4315,koub,1670,,3950,109
蕎麦/ Soba (buckwheat noodles)  [咀嚼音/ASMR/Eating Sounds],/watch?v=TAs9U8VE7DU,260,koub,1670,,3950,7
ローストチキン/ Roast Chicken  [咀嚼音/ASMR/Eating Sounds],/watch?v=H4JdW4PsVyM,1295,koub,1670,,3950,33
餃子/ dumpling[咀嚼音/ASMR/Eating Sounds],/watch?v=MV4sRGy9ufc,292,koub,1670,,3950,7
ビーフン/rice noodle   [咀嚼音/ASMR/Eating Sounds],/watch?v=dIl-ch43VVg,302,koub,1670,,3950,8
ラムネ菓子/Ramune candy   [咀嚼音/ASMR/Eating Sounds],/watch?v=VI3F9dgvksk,1135,koub,1670,,3950,29
イカ/ squid  [咀嚼音/ASMR/Eating Sounds],/watch?v=8uQuRHAfwik,728,koub,1670,,3950,18
氷#20/ ice#20[咀嚼音/ASMR/Eating Sounds],/watch?v=H14TjZyJvak,7332,koub,1670,,3950,186
焼そばU.F.O.ミーゴレン/Instant Noodle   [咀嚼音/ASMR/Eating Sounds],/watch?v=SIl_Lp48Qns,561,koub,1670,,3950,14
ピザポテト/ potato chips  [咀嚼音/ASMR/Eating Sounds],/watch?v=sBNWpq5U9Mo,244,koub,1670,,3950,6
台湾まぜそば/ Instant Noodle  [咀嚼音/ASMR/Eating Sounds],/watch?v=TqQGJJPatgg,243,koub,1670,,3950,6
海老のクリーミーカレー/ Prawn curry with rice  [咀嚼音/ASMR/Eating Sounds],/watch?v=SG4oB16gbto,332,koub,1670,,3950,8
つぶつぶアイス/ Fleck ice cream  [咀嚼音/ASMR/Eating Sounds],/watch?v=16ORubNM0Zs,3514,koub,1670,,3950,89
すっぱムーチョ焼そば/  Instant Noodle [咀嚼音/ASMR/Eating Sounds],/watch?v=1q4JdW4ORCc,97,koub,1670,,3950,2
カラムーチョ焼そば/ Instant Noodle  [咀嚼音/ASMR/Eating Sounds],/watch?v=NttUlGt0h5k,166,koub,1670,,3950,4
カレーピラフ/ Curry pilaf  [咀嚼音/ASMR/Eating Sounds],/watch?v=pio_3Ftfn58,203,koub,1670,,3950,5
おさつビー/ Sweet potato snacks  [咀嚼音/ASMR/Eating Sounds],/watch?v=Fexs7349IE8,274,koub,1670,,3950,7
紅茶氷/ Tea ice＆milk [咀嚼音/ASMR/Eating Sounds],/watch?v=WJV2nv3Tpaw,4664,koub,1670,,3950,118
チリクラブヌードル/  Chilli crab taste noodles [咀嚼音/ASMR/Eating Sounds],/watch?v=lk2lNO_F00Y,281,koub,1670,,3950,7
濃い濃いたらこ焼きそば/ cod roe flavor noodles  [咀嚼音/ASMR/Eating Sounds],/watch?v=HiJr-SPIQyg,276,koub,1670,,3950,7
氷#19/ ice#19[咀嚼音/ASMR/Eating Sounds],/watch?v=vnQptw_50dk,6339,koub,1670,,3950,160
コロッケのまんま・鶏肉とナッツ炒めのまんま/ junk food [咀嚼音/ASMR/Eating Sounds],/watch?v=8-WshrhvdvA,265,koub,1670,,3950,7
梨/ Japanese pear  [咀嚼音/ASMR/Eating Sounds],/watch?v=s0AIMT3qny0,277,koub,1670,,3950,7
三色団子/Three colors rice dumplings   [咀嚼音/ASMR/Eating Sounds],/watch?v=ldC80euVKA8,453,koub,1670,,3950,11
カレーラーメン/Curry Ramen   [咀嚼音/ASMR/Eating Sounds],/watch?v=oRAEcXyntJU,523,koub,1670,,3950,13
お好み焼きせんべい/Okonomiyaki crackers   [咀嚼音/ASMR/Eating Sounds],/watch?v=eamtaX-7ssc,181,koub,1670,,3950,5
氷#18/ ice#18[咀嚼音/ASMR/Eating Sounds],/watch?v=wrvH57qrHBE,7775,koub,1670,,3950,197
スイカ/watermelon   [咀嚼音/ASMR/Eating Sounds],/watch?v=m_22F79tpmA,339,koub,1670,,3950,9
カリカリ梅/ Pickled plums  [咀嚼音/ASMR/Eating Sounds],/watch?v=woQc6bFhtxs,1526,koub,1670,,3950,39
ピザトースト/pizza toast   [咀嚼音/ASMR/Eating Sounds],/watch?v=tXxjSFTxvIw,561,koub,1670,,3950,14
大人のカシミールカレー焼きそば/ Spicy noodles  [咀嚼音/ASMR/Eating Sounds],/watch?v=FsD5oDR1KA4,217,koub,1670,,3950,5
揚げパン/Fried bread   [咀嚼音/ASMR/Eating Sounds],/watch?v=et1TZSfaYfc,1306,koub,1670,,3950,33
氷#17/ ice#17  [咀嚼音/ASMR/Eating Sounds],/watch?v=Pe9yiVlOaI4,4964,koub,1670,,3950,126
ピーヤングタイ風春雨/vermicelli   [咀嚼音/ASMR/Eating Sounds],/watch?v=IuZ6hOLh5ac,156,koub,1670,,3950,4
きゅうり/Cucumber   [咀嚼音/ASMR/Eating Sounds],/watch?v=x1_ucKRwGnY,612,koub,1670,,3950,15
アメリカンドッグ/corn dog   [咀嚼音/ASMR/Eating Sounds],/watch?v=kZXFXpEbvH4,521,koub,1670,,3950,13
餃子/ Gyoza  [咀嚼音/ASMR/Eating Sounds],/watch?v=ODZ9VFHTkDw,459,koub,1670,,3950,12
アイス/ ice cream  [咀嚼音/ASMR/Eating Sounds],/watch?v=L-X4Bii5EvI,601,koub,1670,,3950,15
中華丼/chukadon   [咀嚼音/ASMR/Eating Sounds],/watch?v=uNQFuTPFENM,457,koub,1670,,3950,12
ソーダ・コーラアイス/ ice pops  [咀嚼音/ASMR/Eating Sounds],/watch?v=nkBVuBvJdi4,2526,koub,1670,,3950,64
冷麺/Cold noodle   [咀嚼音/ASMR/Eating Sounds],/watch?v=rgrFsGoZtyk,686,koub,1670,,3950,17
氷#16/ ice#16[咀嚼音/ASMR/Eating Sounds],/watch?v=_zcthtX0a2s,11888,koub,1670,,3950,301
チリコンカーン/chile con carne   [咀嚼音/ASMR/Eating Sounds],/watch?v=PMVAaqs873o,231,koub,1670,,3950,6
イカした焼きそば/Instant noodles     [咀嚼音/ASMR/Eating Sounds],/watch?v=9j4DJZsypeo,172,koub,1670,,3950,4
たこ焼き/ takoyaki  [咀嚼音/ASMR/Eating Sounds],/watch?v=ZqsMS5eTJzM,484,koub,1670,,3950,12
麩菓子/wheat-gluten snack   [咀嚼音/ASMR/Eating Sounds],/watch?v=9FFzcyvyA-s,386,koub,1670,,3950,10
いなり寿司味焼うどん / Instant noodles    [咀嚼音/ASMR/Eating Sounds],/watch?v=5l6UQcuKYto,170,koub,1670,,3950,4
氷#15/ ice#15[咀嚼音/ASMR/Eating Sounds],/watch?v=zaCJSZ3XqCU,9295,koub,1670,,3950,235
ゴールドキウイ/Gold kiwifruit   [咀嚼音/ASMR/Eating Sounds],/watch?v=uy_b1Lf2qzw,347,koub,1670,,3950,9
胡麻団子/Sesame dumplings   [咀嚼音/ASMR/Eating Sounds],/watch?v=M_xSwB8rhlY,453,koub,1670,,3950,11
みかさ監修焼きそば/ Instant noodles  [咀嚼音/ASMR/Eating Sounds],/watch?v=OAxvB4EkYhM,265,koub,1670,,3950,7
ミルクアイス/milk ice pop  [咀嚼音/ASMR/Eating Sounds],/watch?v=IHmwOTTFhRo,1906,koub,1670,,3950,48
たい焼き/ Taiyaki  [咀嚼音/ASMR/Eating Sounds],/watch?v=5TkfC0cFdL8,429,koub,1670,,3950,11
醤油ラーメン/ ramen  [咀嚼音/ASMR/Eating Sounds],/watch?v=0ggshjiiRQs,436,koub,1670,,3950,11
ハンバーグ/Salisbury steak   [咀嚼音/ASMR/Eating Sounds],/watch?v=hBbsxr8aVgw,417,koub,1670,,3950,11
蕎麦/ Soba  [咀嚼音/ASMR/Eating Sounds],/watch?v=62JaqqeoIAA,406,koub,1670,,3950,10
氷#14/ ice#14  [咀嚼音/ASMR/Eating Sounds],/watch?v=OwaqzZHKqUY,27982,koub,1670,,3950,708
皿うどん/Sara udon   [咀嚼音/ASMR/Eating Sounds],/watch?v=8ZoOC_mBM-4,220,koub,1670,,3950,6
ラムネ菓子/Ramune candy   [咀嚼音/ASMR/Eating Sounds],/watch?v=cTv_NxqtpOw,683,koub,1670,,3950,17
旨辛プルコギ風焼きそば/instant noodles   [咀嚼音/ASMR/Eating Sounds],/watch?v=JHwXEkXj9A4,282,koub,1670,,3950,7
ネギトロ山芋丼/Tuna yam rice bowl    [咀嚼音/ASMR/Eating Sounds],/watch?v=ChrK6Dg3cWQ,481,koub,1670,,3950,12
春巻き/Spring Roll   [咀嚼音/ASMR/Eating Sounds],/watch?v=xhEhS46Vukk,451,koub,1670,,3950,11
豚丼/ Pork Rice Bowl.  [咀嚼音/ASMR/Eating Sounds],/watch?v=ctHdzXDx6ZM,370,koub,1670,,3950,9
焼きおにぎり/Grilled rice balls    [咀嚼音/ASMR/Eating Sounds],/watch?v=He3qCGtansY,380,koub,1670,,3950,10
氷#13 / ice#13   [咀嚼音/ASMR/Eating Sounds],/watch?v=EYezKbbpNn0,16459,koub,1670,,3950,417
ラムネ菓子/Ramune candy    [咀嚼音/ASMR/Eating Sounds],/watch?v=SZnY2WxhHhc,604,koub,1670,,3950,15
シナモンロール/cinnamon buns   [咀嚼音/ASMR/Eating Sounds],/watch?v=UDY50JdxhX8,389,koub,1670,,3950,10
汁なし担々麺/soupless noodles   [咀嚼音/ASMR/Eating Sounds],/watch?v=S8-FjcC_mHY,398,koub,1670,,3950,10
大学芋/Candied sweet potato   [咀嚼音/ASMR/Eating Sounds],/watch?v=w6C--XTgtVw,317,koub,1670,,3950,8
コロッケ/fried mashed potato   [咀嚼音/ASMR/Eating Sounds],/watch?v=T1xXIhhT7Rs,511,koub,1670,,3950,13
シャービック/sherbet   [咀嚼音/ASMR/Eating Sounds],/watch?v=B0iZiLVCs28,6213,koub,1670,,3950,157
ドリア/Rice gratin  [咀嚼音/ASMR/Eating Sounds],/watch?v=Jn4M1NFUebA,610,koub,1670,,3950,15
グリーンカレー/Green Curry   [咀嚼音/ASMR/Eating Sounds],/watch?v=RHP7Lgk3zsg,354,koub,1670,,3950,9
サンドイッチ/sandwich   [咀嚼音/ASMR/Eating Sounds],/watch?v=kfht_Ph5xvI,493,koub,1670,,3950,12
唐揚げ/fried chicken   [咀嚼音/ASMR/Eating Sounds],/watch?v=8weJA8Df3y4,420,koub,1670,,3950,11
ポテトチップス/potato chips   [咀嚼音/ASMR/Eating Sounds],/watch?v=CEJCANTstnE,606,koub,1670,,3950,15
クッキー/cookie   [咀嚼音/ASMR/Eating Sounds],/watch?v=Mko2uTWBunY,588,koub,1670,,3950,15
氷 #12/ice #12   [咀嚼音/ASMR/Eating Sounds],/watch?v=fybdee_1BfY,11842,koub,1670,,3950,300
豚キムチ/Pork and Kimchi    [咀嚼音/ASMR/Eating Sounds],/watch?v=wVueaJdpMq8,648,koub,1670,,3950,16
グリーンカレーうどん/ Green Curry Udon  [咀嚼音/ASMR/Eating Sounds],/watch?v=NvZ-PZmJ21E,202,koub,1670,,3950,5
納豆ご飯/ natto  [咀嚼音/ASMR/Eating Sounds],/watch?v=nHHAsJComzQ,547,koub,1670,,3950,14
インスタント食品/convenience food   [咀嚼音/ASMR/Eating Sounds],/watch?v=-R-rrHad0Vk,231,koub,1670,,3950,6
ライスバーガー/Rice burger   [咀嚼音/ASMR/Eating Sounds],/watch?v=Mn-0j4r9l6Q,411,koub,1670,,3950,10
氷 #11/ ice #11[咀嚼音/ASMR/Eating Sounds],/watch?v=OBIMQNATwl0,18742,koub,1670,,3950,474
アーモンドボール/Baked Goods   [咀嚼音/ASMR/Eating Sounds],/watch?v=8E99gtg0QCA,763,koub,1670,,3950,19
モッチッチ/yakisoba   [咀嚼音/ASMR/Eating Sounds],/watch?v=8ptUlQPvCGg,412,koub,1670,,3950,10
チャーシュー麺/ramen   [咀嚼音/ASMR/Eating Sounds],/watch?v=BxSPFB9B85s,916,koub,1670,,3950,23
カレーラーメン/Curry Ramen   [咀嚼音/ASMR/Eating Sounds],/watch?v=Tr4a79OgcDw,1031,koub,1670,,3950,26
きなこ餅/Mochi   [咀嚼音/ASMR/Eating Sounds],/watch?v=JvhekD9pEaI,674,koub,1670,,3950,17
焼きカレー/baked curry   [咀嚼音/ASMR/Eating Sounds],/watch?v=xa6uoj7Yyyw,558,koub,1670,,3950,14
林檎/apple   [咀嚼音/ASMR/Eating Sounds],/watch?v=kfa-8WSjCxY,345,koub,1670,,3950,9
氷 #10/ice #10　[咀嚼音/ASMR/Eating Sounds],/watch?v=KyiWIHo5zuY,55181,koub,1670,,3950,1397
芋煎餅/Sweet potato crispy sweets    [咀嚼音/ASMR/Eating Sounds],/watch?v=tAcCPhmp4cY,378,koub,1670,,3950,10
ゼリー/jelly   [咀嚼音/ASMR/Eating Sounds],/watch?v=m0SIbFxVRs0,1086,koub,1670,,3950,27
おにぎり/rice ball   [咀嚼音/ASMR/Eating Sounds],/watch?v=05yB0jSjsf4,583,koub,1670,,3950,15
マーマレードサンドイッチ/marmalade sandwich  [咀嚼音/ASMR/Eating Sounds],/watch?v=5prsXb_UtUU,530,koub,1670,,3950,13
くちどけラムネ/Ramune candy   [咀嚼音/ASMR/Eating Sounds],/watch?v=e8Yfenv7X0w,1142,koub,1670,,3950,29
ぜんざい/sweet bean soup    [咀嚼音/ASMR/Eating Sounds],/watch?v=OEiPI_7UJsg,402,koub,1670,,3950,10
マグロ漬け丼/ tuna rice bowl  咀嚼音/ASMR/Eating Sounds],/watch?v=H2Y0n_Xn0zU,861,koub,1670,,3950,22
氷#9/ice #9   [咀嚼音/ASMR/Eating Sounds],/watch?v=sNHxCTeEQwA,27822,koub,1670,,3950,704
チキンナゲット/chicken nugget   [咀嚼音/ASMR/Eating Sounds],/watch?v=YfONJYmsll0,548,koub,1670,,3950,14
チキンカレー/ Chicken curry  [咀嚼音/ASMR/Eating Sounds],/watch?v=6AdFCy7OVZU,658,koub,1670,,3950,17
豆かん/ Mamekan  [咀嚼音/ASMR/Eating Sounds],/watch?v=RnCbsbWjTTU,969,koub,1670,,3950,25
おかき/rice crackers   [咀嚼音/ASMR/Eating Sounds],/watch?v=tA4EkcaWSrs,301,koub,1670,,3950,8
氷#8/ice #8   [咀嚼音/ASMR/Eating Sounds],/watch?v=ig_bOKbjlxI,32657,koub,1670,,3950,827
かつ丼/ Pork cutlet on rice  [咀嚼音/ASMR/Eating Sounds],/watch?v=zEkSx21Hxmg,923,koub,1670,,3950,23
寿司/sushi   [咀嚼音/ASMR/Eating Sounds],/watch?v=g_EGftFGUKQ,1325,koub,1670,,3950,34
お雑煮/New Year dish   咀嚼音/ASMR/Eating Sounds],/watch?v=QwWhrvSisYE,190,koub,1670,,3950,5
ペヤング/ Instant stir-fried noodles  [咀嚼音/ASMR/Eating Sounds],/watch?v=2RQkkK5gIjQ,366,koub,1670,,3950,9
ケバブ/ doner kebab  [咀嚼音/ASMR/Eating Sounds],/watch?v=UXvPO-LL3aI,540,koub,1670,,3950,14
ストロープワッフル/Stroopwafel   [咀嚼音/ASMR/Eating Sounds],/watch?v=uamFgokwkzo,437,koub,1670,,3950,11
氷#7/ice #7  [咀嚼音/ASMR/Eating Sounds],/watch?v=wc59PltEwGM,34678,koub,1670,,3950,878
鶏丼/Chicken Rice Bowl   [咀嚼音/ASMR/Eating Sounds],/watch?v=UWSAwEWiH1U,545,koub,1670,,3950,14
