title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】かき氷で音フェチしてみた！,/watch?v=LyAh6vb_Ph8,4062,めいチャンネル,3130,3日前,16543,25
【ASMR】クシと、手と、○○を使って音フェチしてみたら…,/watch?v=ulpyt3rBMME,11717,めいチャンネル,3130,1週間前,16543,71
【DAISO】百均の購入品紹介！,/watch?v=0VyJW0CYVi4,5424,めいチャンネル,3130,1か月前,16543,33
【カラコン】初めてのカラコンレビュー,/watch?v=WQUttrFBY1s,7914,めいチャンネル,3130,1か月前,16543,48
【水風船】妹と、〇〇でガチバトル!!!!!,/watch?v=PcoYY9KU7FQ,6436,めいチャンネル,3130,2か月前,16543,39
特別ゲストが来てくれました！,/watch?v=UT8Xnj0k4CM,7520,めいチャンネル,3130,2か月前,16543,45
【筆箱】筆箱の中身紹介しちゃいます！,/watch?v=gQrrZdrwKAE,8226,めいチャンネル,3130,2か月前,16543,50
ザクザクスライム作って見た！,/watch?v=ewL4Uwu0ouY,5814,めいチャンネル,3130,2か月前,16543,35
【スライム】【ASMR】初のスライムで…,/watch?v=OKYQBEhANO4,7527,めいチャンネル,3130,2か月前,16543,45
1000人突破！質問コーナー,/watch?v=drRe4XnKX3E,18677,めいチャンネル,3130,3か月前,16543,113
【音フェチ】【ASMR】飲み物で音フェチしてみた,/watch?v=1ib5p0ovPD0,46909,めいチャンネル,3130,3か月前,16543,284
【加湿器】開封してみた！！,/watch?v=s1JsNQrpxJw,3579,めいチャンネル,3130,3か月前,16543,22
お部屋紹介してみた！！！,/watch?v=XYhd-HMpYcA,32845,めいチャンネル,3130,3か月前,16543,199
家族で釣り堀体験！！,/watch?v=w-Jno0oPLA4,5871,めいチャンネル,3130,3か月前,16543,35
私の、髪の毛事情について,/watch?v=cjj_SVOQVNs,13996,めいチャンネル,3130,4か月前,16543,85
【音フェチ】第2弾Part2,/watch?v=AfyxkQd_vAw,26187,めいチャンネル,3130,4か月前,16543,158
【音フェチ】第2段のPart1,/watch?v=_lPUGU2s70c,49427,めいチャンネル,3130,4か月前,16543,299
【購入品】中学生になって使う文房具紹介！,/watch?v=ThdmWaVXTnA,8099,めいチャンネル,3130,4か月前,16543,49
【お知らせ】皆さんに伝えたい事があります！,/watch?v=VFqUR3jZ0MU,4531,めいチャンネル,3130,4か月前,16543,27
ストレートヒートブラシ紹介したよ！！,/watch?v=TZ16FoAr7V4,3183,めいチャンネル,3130,4か月前,16543,19
クリアケースを紹介してみたよ！,/watch?v=kjetEwVohRw,6513,めいチャンネル,3130,4か月前,16543,39
初の音フェチしてみた！！《第１弾》,/watch?v=jApqORwbsWc,250761,めいチャンネル,3130,5か月前,16543,1516
質問コーナーをしたらまさかの?!,/watch?v=AsSHiOZOUGs,4637,めいチャンネル,3130,6か月前,16543,28
新年1発目は人生初の!?,/watch?v=sop2SU9IdG8,1695,めいチャンネル,3130,6か月前,16543,10
2019年最後の動画は、第5人格実況してみた！,/watch?v=e-rA1_qdwdA,3249,めいチャンネル,3130,7か月前,16543,20
ずっと気になっていた物が...,/watch?v=_Lhjgkq-JDw,3182,めいチャンネル,3130,7か月前,16543,19
第2弾！机紹介では?!...,/watch?v=oQWUvWY2sHo,10565,めいチャンネル,3130,7か月前,16543,64
あれの使い方を紹介してみたら...,/watch?v=Efi3yh3E9Fw,4264,めいチャンネル,3130,7か月前,16543,26
ついに！あれが届いた!!!!,/watch?v=MR_pqq4TLuw,2258,めいチャンネル,3130,7か月前,16543,14
机の上紹介をしたら？！,/watch?v=JlomS3abmyg,22692,めいチャンネル,3130,7か月前,16543,137
あの事について謝罪します...,/watch?v=3ok34Zinpgw,7028,めいチャンネル,3130,7か月前,16543,42
なんと！私にとって嬉しいお知らせ,/watch?v=z66eQ4cv21A,1875,めいチャンネル,3130,9か月前,16543,11
パジャマ紹介❣️,/watch?v=PFsizU8wpT0,1875,めいチャンネル,3130,9か月前,16543,11
お知らせも？！,/watch?v=GQgKE0WMxfc,1431,めいチャンネル,3130,9か月前,16543,9
購入品紹介グダグダ注意,/watch?v=foXvipWlDEc,3125,めいチャンネル,3130,10か月前,16543,19
ヘアアレンジ🎵,/watch?v=s_73qPj9H1g,2954,めいチャンネル,3130,10か月前,16543,18
YouTubeはじめました,/watch?v=6hp06J888ko,6046,めいチャンネル,3130,10か月前,16543,37
