title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
皆でお泊まり会的な恋バナを繰り広げる予定だった,/watch?v=ADLnZhekzao,24111,ゆいぴはアゴの帝王,7840000,2か月前,182409,13
【モーニングルーティン】塔の上のラプンツェル・自由への扉にのせて紹介してみた【替え歌】,/watch?v=f_TqYjEkhYo,58275,ゆいぴはアゴの帝王,7840000,3か月前,182409,32
アゴショイラジオ in YouTube,/watch?v=CEFrQHhqyEE,16467,ゆいぴはアゴの帝王,7840000,3か月前,182409,9
春の強めピンクメイク,/watch?v=pVJXNExwlxg,142304,ゆいぴはアゴの帝王,7840000,3か月前,182409,78
【帰ってきた】ブスASMR第2弾【咀嚼音】,/watch?v=9Q62Gex1JxQ,67689,ゆいぴはアゴの帝王,7840000,4か月前,182409,37
【女子旅漫遊記】非リア慰安旅行②ークリスマスディズニー、アウェイ感を添えてー【Vlog】,/watch?v=22dFnLam_ys,30119,ゆいぴはアゴの帝王,7840000,4か月前,182409,17
橋本環奈ぴょんになりたいの,/watch?v=50rI55Dq5Vo,172554,ゆいぴはアゴの帝王,7840000,6か月前,182409,95
【女子旅漫遊記】非リア慰安旅行ーイヴに浅草行くのはきっとウチらだけー【Vlog】,/watch?v=UOX82pgn_CY,46807,ゆいぴはアゴの帝王,7840000,7か月前,182409,26
【クリスマスメイク】みんな今日ゎクリスマスだょ！イルミよりも輝ぃちゃぉ☆,/watch?v=U7xLVtcVI0c,48487,ゆいぴはアゴの帝王,7840000,7か月前,182409,27
【圧倒的感謝】年賀状をプレゼントしちゃうYO⤴︎【プレゼント企画】,/watch?v=5LrDMIW44EY,13429,ゆいぴはアゴの帝王,7840000,7か月前,182409,7
ユイピ鈴木、冬の1週間コーデ,/watch?v=acHuuSjczNw,44168,ゆいぴはアゴの帝王,7840000,7か月前,182409,24
【帝王の料亭】お弁当を作ろうとしたらバレンタインが来て気付いたらクリスマス目前だった【見れば分かる】,/watch?v=uGC7BJUeW8I,26081,ゆいぴはアゴの帝王,7840000,8か月前,182409,14
【ダイエット】鈴木が15kg痩せた方法を大公開の巻【HAND CLAP】,/watch?v=_QezXYLR3AE,709637,ゆいぴはアゴの帝王,7840000,8か月前,182409,389
【自己紹介】YouTube始めてましたかなり前からあとはずっと聞かれてたウザい女エピ,/watch?v=1iSnUDPpQYg,93443,ゆいぴはアゴの帝王,7840000,9か月前,182409,51
【コラボ】一重・奥二重あるある【整形メイクのみゆさん】,/watch?v=3udL5n549tQ,96614,ゆいぴはアゴの帝王,7840000,9か月前,182409,53
ご報告があります,/watch?v=xwYAynxqf2E,424417,ゆいぴはアゴの帝王,7840000,1年前,182409,233
【検証】たまにはシンプルに1週間ベースを練習したらどのくらい上達するのか検証する日があってもいいじゃないかっていう動画,/watch?v=6DEUrEihd0U,63308,ゆいぴはアゴの帝王,7840000,1年前,182409,35
明日身体測定だけどこれ以上ないほどに腹が減ってしまったのでほぼ大食い動画でござる,/watch?v=ZBx5Mxwd6eU,127935,ゆいぴはアゴの帝王,7840000,1年前,182409,70
まぶたに悩める全子羊達に捧ぐーアゴアゴ女子(愚痴)会ー,/watch?v=vwtBLm00kPA,34093,ゆいぴはアゴの帝王,7840000,1年前,182409,19
【影井ひろ樹】ウチら美容系だし左手で5分メイクとか余裕ジャン？,/watch?v=JNDEjKa81Ns,54440,ゆいぴはアゴの帝王,7840000,1年前,182409,30
