title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
63♪ 大盛り焼きラーメン【飯動画】【ASMR】【咀嚼音】,/watch?v=kbmf-tqQFw4,149,コシヒカのグルメ,291,4か月前,268,56
62♪ そぼろごはん【飯動画】【ASMR】【咀嚼音】,/watch?v=Rm43bHh1_Pk,166,コシヒカのグルメ,291,4か月前,268,62
61♪ 深夜のサッポロ一番塩らーめん【飯動画】【ASMR】【咀嚼音】,/watch?v=NBYvE5fUnzM,118,コシヒカのグルメ,291,4か月前,268,44
60♪ 生姜焼き定食【飯動画】【ASMR】【咀嚼音】,/watch?v=6_mzY5I6ppk,137,コシヒカのグルメ,291,5か月前,268,51
59♪ ガーリックステーキライス【飯動画】【ASMR】【咀嚼音】,/watch?v=_P7BiNxSCh4,234,コシヒカのグルメ,291,5か月前,268,87
58♪ きつねうどん【飯動画】【ASMR】【咀嚼音】,/watch?v=HDoWnhzpiuA,121,コシヒカのグルメ,291,5か月前,268,45
57♪ ガーリックトンテキ【飯動画】【ASMR】【咀嚼音】,/watch?v=OvH-qyTVURA,140,コシヒカのグルメ,291,5か月前,268,52
56♪ 大盛りたらこパスタ【飯動画】【ASMR】【咀嚼音】,/watch?v=6tt8XSs5EsY,299,コシヒカのグルメ,291,6か月前,268,112
55♪ チャーハンセット【飯動画】【ASMR】【咀嚼音】,/watch?v=tj9Fzd9ryoo,117,コシヒカのグルメ,291,6か月前,268,44
54♪ 朝めし☆【飯動画】【ASMR】【咀嚼音】,/watch?v=uOzLDZ-Sa3o,258,コシヒカのグルメ,291,6か月前,268,96
53♪ 豚キムチ鍋【飯動画】【ASMR】【咀嚼音】,/watch?v=frddrS1LZTA,100,コシヒカのグルメ,291,6か月前,268,37
52♪ 白菜&ベーコンのクリームパスタ【飯動画】【ASMR】【咀嚼音】,/watch?v=3pnjzmw_ULY,181,コシヒカのグルメ,291,7か月前,268,68
51♪ ナポリタン【飯動画】【ASMR】【咀嚼音】,/watch?v=c8D9cQQAViw,183,コシヒカのグルメ,291,7か月前,268,68
50♪ 豚 & 鶏すき焼き【飯動画】【ASMR】【咀嚼音】,/watch?v=uii6ovs-zwU,135,コシヒカのグルメ,291,7か月前,268,50
49♪ 野菜味噌ラーメン 焼き餃子セット【飯動画】【ASMR】【咀嚼音】,/watch?v=hDW1YTeMd90,115,コシヒカのグルメ,291,7か月前,268,43
48♪ バケツバラエティパック & 絶品チーズバーガー【飯動画】【ASMR】【咀嚼音】,/watch?v=9OSYIRoCIeM,86,コシヒカのグルメ,291,7か月前,268,32
47♪ レバニラ炒め & ロースとんかつ【飯動画】【ASMR】【咀嚼音】,/watch?v=fDRj6F7_lPg,138,コシヒカのグルメ,291,8か月前,268,51
46♪ 食べたい物集めてみた！【飯動画】【ASMR】【咀嚼音】,/watch?v=SP1jkFRYlY0,81,コシヒカのグルメ,291,8か月前,268,30
45♪ KFC オリジナルチキンボックス【飯動画】【ASMR】【咀嚼音】,/watch?v=4dnZJoG8k4A,202,コシヒカのグルメ,291,8か月前,268,75
44♪ 国産野菜タンメン & ねぎ玉牛丼【飯動画】【ASMR】【咀嚼音】,/watch?v=kXZkbC8apx8,147,コシヒカのグルメ,291,8か月前,268,55
43♪ ケバブ・サンド & ケバブ丼【飯動画】【ASMR】【咀嚼音】,/watch?v=bD4VWVxeQFY,450,コシヒカのグルメ,291,9か月前,268,168
42♪ 牛カルビ焼肉丼 & 担担麺【飯動画】【ASMR】【咀嚼音】,/watch?v=n19t_Ovzkvw,107,コシヒカのグルメ,291,9か月前,268,40
41♪ 生姜焼き弁当 & チキンカツ【飯動画】【ASMR】【咀嚼音】,/watch?v=lC-9SnXbUiU,171,コシヒカのグルメ,291,9か月前,268,64
40♪ のり弁 & どん兵衛 天ぷらそば【飯動画】【ASMR】【咀嚼音】,/watch?v=ybLwt-z9-yc,167,コシヒカのグルメ,291,9か月前,268,62
39♪ カツ煮弁当 & カップヌードル【飯動画】【ASMR】【咀嚼音】,/watch?v=S_qFrEYTmaU,138,コシヒカのグルメ,291,10か月前,268,51
38♪ ジャンボ唐揚げ & 茄子の肉みそ炒め弁当【飯動画】【ASMR】【咀嚼音】,/watch?v=s_msfkMc6Hg,100,コシヒカのグルメ,291,10か月前,268,37
37♪ 松屋 カレギュウ【飯動画】【ASMR】【咀嚼音】,/watch?v=OembfvAT6VY,202,コシヒカのグルメ,291,10か月前,268,75
36♪ キーマカレー＆キッズオムカレー【飯動画】【ASMR】【咀嚼音】,/watch?v=6ENBdKyXRVw,147,コシヒカのグルメ,291,10か月前,268,55
35♪ 天丼てんや 天丼弁当【飯動画】【ASMR】【咀嚼音】,/watch?v=7iQpUgZXBjw,168,コシヒカのグルメ,291,10か月前,268,63
34♪ 豪快サーロインペッパーステーキ【飯動画】【ASMR】【咀嚼音】,/watch?v=lJvWBsAEe_k,172,コシヒカのグルメ,291,11か月前,268,64
#61 鶏肉とカシューナッツ炒め【飯動画】【ASMR】【咀嚼音】,/watch?v=MgOPOBfrdEc,101,コシヒカのグルメ,291,11か月前,268,38
33♪ ゴロゴロにんにくのペペロンチーノ【飯動画】【ASMR】【咀嚼音】,/watch?v=WLHm-fpe1Rk,150,コシヒカのグルメ,291,11か月前,268,56
32♪ ボロネーゼライス【飯動画】【ASMR】【咀嚼音】,/watch?v=a0wWAoAtiJE,153,コシヒカのグルメ,291,11か月前,268,57
31♪ ボロネーゼ【飯動画】【ASMR】【咀嚼音】,/watch?v=BbvLMrN_1J4,138,コシヒカのグルメ,291,1年前,268,51
30♪ ジャージャン麺【飯動画】【ASMR】【咀嚼音】,/watch?v=psoskLLKUnI,180,コシヒカのグルメ,291,1年前,268,67
29♪ 冷やし中華&五目チャーハン【飯動画】【ASMR】【咀嚼音】,/watch?v=3CQO72W_3eI,216,コシヒカのグルメ,291,1年前,268,81
28♪ レッドホットサンドボックス【飯動画】【ASMR】【咀嚼音】,/watch?v=geGoN10Z8ks,175,コシヒカのグルメ,291,1年前,268,65
27♪ 日本のポークカレー【飯動画】【ASMR】【咀嚼音】,/watch?v=KAGW4sWk7fM,225,コシヒカのグルメ,291,1年前,268,84
26♪ ほっかほっか亭の天丼【飯動画】【ASMR】【咀嚼音】,/watch?v=tYPRarSKGhs,240,コシヒカのグルメ,291,1年前,268,90
25♪ レバニラ定食【飯動画】【ASMR】【咀嚼音】,/watch?v=GQ0E4YIHykw,130,コシヒカのグルメ,291,1年前,268,49
24♪ オムライスプレート【飯動画】【ASMR】【咀嚼音】,/watch?v=d4JUZJ8cH5k,229,コシヒカのグルメ,291,1年前,268,85
23♪ 簡単・旨いビビンバ☆【飯動画】【ASMR】【咀嚼音】,/watch?v=3a7bbzndwAU,182,コシヒカのグルメ,291,1年前,268,68
22♪ ぶっかけ山菜そば＆寿司【飯動画】【ASMR】【咀嚼音】,/watch?v=1_3AUN_ER5I,167,コシヒカのグルメ,291,1年前,268,62
21♪ ハンバーグ定食【飯動画】【ASMR】【咀嚼音】,/watch?v=wMuzgWqQTTk,282,コシヒカのグルメ,291,1年前,268,105
20♪ Grand Big Mac【飯動画】【ASMR】【咀嚼音】,/watch?v=P-0Luo6Lufw,246,コシヒカのグルメ,291,1年前,268,92
19♪ 塩ラーメン＆あんかけチャーハン【飯動画】【ASMR】【咀嚼音】,/watch?v=hvCO37WTQ8Y,249,コシヒカのグルメ,291,1年前,268,93
18♪ 手羽元のネギ塩だれ煮【飯動画】【ASMR】【咀嚼音】,/watch?v=t07PFUpMX0Q,145,コシヒカのグルメ,291,1年前,268,54
17♪ とろ～り半熟親子丼【飯動画】【ASMR】【咀嚼音】,/watch?v=RPvEah7jrxs,338,コシヒカのグルメ,291,1年前,268,126
