title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
字幕) 簡単な食事！辛いラーメンと辛いスパム、キムチ🎵 MUKBANG ASMR EATING SOUNDS,/watch?v=ZOb_Lw0wO7Y,343962,SIO ASMR,2360000,시오2日前,510543,67
MUKBANG サクサクの揚げ物パーティー！ とんかつ、ソーセージ、チキン唐揚げ、えび天、ステーキ丼! EATING SOUND,/watch?v=9BmBuQzut50,393791,SIO ASMR,2360000,시오5日前,510543,77
韓国のコンビニ料理！チーズトッポッキと大王ソーセージ、サムギョプサル、サンドイッチ、おにぎり、お弁当 MUKBANG REAL EATING SOUNDS,/watch?v=A6_A2sZ7w6s,362632,SIO ASMR,2360000,시오1週間前,510543,71
MUKBANG テンジャンチゲ、辛いキムチチャーハン、目玉焼き！ 韓国料理,/watch?v=W9mb-xkwGCg,388530,SIO ASMR,2360000,시오1週間前,510543,76
ASMR MUKBANG 辛いチャンポンバプ、ハンジョンサル、大きなたくあん！REAL SOUND EATING SHOW,/watch?v=2c1cvXXyDN8,312206,SIO ASMR,2360000,시오1週間前,510543,61
ASMR MUKBANG ジャージャー麺とヤンニョムチキン、キムチ！ 韓国料理の作り方 REAL EATING SOUNDS,/watch?v=yFEvXA3_TsM,741492,SIO ASMR,2360000,시오2週間前,510543,145
V-LOG MUKBANGサムギョプサルとテンジャンチゲ、きのこ焼き、海老焼き！ 友達と遊びに行く,/watch?v=evx9dfCZm7A,269246,SIO ASMR,2360000,시오2週間前,510543,53
ハナサキキンクレプ !!! KING CRAB EATING SOUNDS,/watch?v=hKrSFneQsLM,373326,SIO ASMR,2360000,시오2週間前,510543,73
MUKBANG 辛いトッポッキとラーメン、そしてソーセージのり巻き！ 韓国料理 Eating sounds,/watch?v=5urXz_BbVEo,552826,SIO ASMR,2360000,시오3週間前,510543,108
大きく一口！巨大なハム、ジャージャー麺、ウズラの卵フライ、ネギキムチ！Eating sounds MUKBANG,/watch?v=n83HSGOdLL0,827844,SIO ASMR,2360000,시오3週間前,510543,162
MUKBANG 赤ちゃんサメすいか !! コンビニデザート ! アイスクリーム、ゼリー、ジュース 食べる音 Eating sounds,/watch?v=hr-JuM57Zy0,179894,SIO ASMR,2360000,시오3週間前,510543,35
MUKBANG マクドナルドのハンバーガー！ ビッグマック、チーズスティック、フライドポテト、チキン EATING SOUNDS,/watch?v=Bdf8sbtu8nU,473696,SIO ASMR,2360000,시오4週間前,510543,93
MUKBANG SIOスペシャル！ 大きな一口コレクション！Real eating sounds,/watch?v=KpFnnjpW-UM,167436,SIO ASMR,2360000,시오1か月前,510543,33
大きく一口 !! スパイシーソーセージシチューと玉子巻き：ソーセージ、キムチ、家庭料理！ 音を食べる Eating sounds MUKBANG,/watch?v=BlBkGj2fCCQ,874813,SIO ASMR,2360000,시오1か月前,510543,171
