title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[ASMR] 帆立の刺し身を食べる音❣️音フェチ😊,/watch?v=Jh2az-9ejOE,5593,穂香と香音チャンネル,1080,1か月前,7283,77
[ASMR] サーモン❣️,/watch?v=r7VNSo_ufQs,14903,穂香と香音チャンネル,1080,1か月前,7283,205
[ASMR] スライス軟骨を食べる音😊音フェチ❣️,/watch?v=u91zldlJGEE,3108,穂香と香音チャンネル,1080,2か月前,7283,43
[ASMR] シュガーラスクを食べる音✨音フェチ❣️,/watch?v=nqR9pl17ZFE,10284,穂香と香音チャンネル,1080,6か月前,7283,141
[ASMR] 豆もやしを食べる音❣️音フェチ😊,/watch?v=iGy3B8tTtXA,10304,穂香と香音チャンネル,1080,11か月前,7283,141
[MUKBANG] 600人記念🎉　🍩ミスド🍩を食べたよ❣️,/watch?v=Zo6tD1osaB4,6554,穂香と香音チャンネル,1080,1年前,7283,90
[ASMR] 味噌ニンニクを食べる音😊音フェチ❣️,/watch?v=iAk8glMbjfw,8277,穂香と香音チャンネル,1080,1年前,7283,114
[ASMR] お蕎麦を食べる音😊,/watch?v=W1MsDArfST4,5669,穂香と香音チャンネル,1080,1年前,7283,78
[ASMR] ラーメンを食べる音😊音フェチ😊,/watch?v=R3qRHx66HUI,11833,穂香と香音チャンネル,1080,1年前,7283,162
[MAKBANG] 香音のBirthday Party🎉㊗️🎉,/watch?v=hs4Jfy3Bxz0,3115,穂香と香音チャンネル,1080,1年前,7283,43
[ASMR] 唐揚げを食べたよ😊音フェチ😊,/watch?v=DZkVJ5RrG4A,22369,穂香と香音チャンネル,1080,1年前,7283,307
[MAKBANG] 穂香のBirthday party 🎉㊗️🎉,/watch?v=27Sb3GpTqfo,1964,穂香と香音チャンネル,1080,1年前,7283,27
[ASMR] じゃがりこを食べる音😃音フェチ💕,/watch?v=BGwI4O2ncc0,7769,穂香と香音チャンネル,1080,1年前,7283,107
[ASMR] リンゴを食べる音😊音フェチ💕,/watch?v=7zNi6cuxmkk,4693,穂香と香音チャンネル,1080,1年前,7283,64
[ASMR] キャベツを食べる音😊音フェチ💕,/watch?v=oI-e--MFYn4,3926,穂香と香音チャンネル,1080,1年前,7283,54
[ASMR] 唐揚げチキン食べる音😊音フェチ💕,/watch?v=BD4sQVbhuuA,11594,穂香と香音チャンネル,1080,1年前,7283,159
[ASMR] お菓子を食べる音😊音フェチ‼️,/watch?v=FzFWsHpmA5Q,4642,穂香と香音チャンネル,1080,1年前,7283,64
[ASMR] お菓子の音フェチ💕咀嚼音❣️,/watch?v=-GbhauwCeIc,14911,穂香と香音チャンネル,1080,1年前,7283,205
[MAKBANG] McDonald’sハッピーセットとチキンフィレオを食べました❤️,/watch?v=9VPnTJDSSAk,2460,穂香と香音チャンネル,1080,1年前,7283,34
[ASMR] しっとりチョコを食べる音😊音フェチ❣️,/watch?v=kGu3AcLWY7I,2689,穂香と香音チャンネル,1080,1年前,7283,37
[ASMR] キュウリを食べる音❤️音フェチ😊,/watch?v=230BDhjWcBI,4123,穂香と香音チャンネル,1080,1年前,7283,57
[ASMR] エノキを食べる音😃音フェチ❤️,/watch?v=suSwRlXwIRg,6319,穂香と香音チャンネル,1080,1年前,7283,87
リクエストにお答えして、ケンタッキーオリジナルチキンを食べました❤️,/watch?v=JfOhW-LJhJo,2553,穂香と香音チャンネル,1080,1年前,7283,35
[ASMR] ウィンナーパンを食べる音❣️音フェチ❤️,/watch?v=GfGUyAKlSHQ,11085,穂香と香音チャンネル,1080,1年前,7283,152
[ASMR] お菓子 プチコーン食べた音😊音フェチ❤️,/watch?v=_QnUHVoWVNI,1816,穂香と香音チャンネル,1080,1年前,7283,25
[ASMR] Aerialエアリアル濃厚チェダーチーズ味を食べたよ😊音フェチ♥️,/watch?v=pv1yDRc4XPU,1092,穂香と香音チャンネル,1080,1年前,7283,15
[ASMR] ウィンナーをママが食べたよ🤙音フェチ😃,/watch?v=I6ja9F0Cuw4,3749,穂香と香音チャンネル,1080,1年前,7283,51
[ASMR] ホットドッグを食べる音❣️音フェチ❤️,/watch?v=_8aianEgVDA,2641,穂香と香音チャンネル,1080,1年前,7283,36
[ASMR] タコのブツ切りを食べる音。音フェチ💕,/watch?v=2aAdETOs_R8,7259,穂香と香音チャンネル,1080,1年前,7283,100
[ASMR] タコを食べる音❣️音フェチ💕,/watch?v=JAZDxOJY7hE,21197,穂香と香音チャンネル,1080,1年前,7283,291
