title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"황금올리브닭다리, 반반양념, 자메이카 뿌링클소스 먹방~!! 리얼사운드 ASMR social eating Mukbang(Eating Show)",/watch?v=MA7djL30GNI,314397,떵개떵,4070000,1日前,333493,94
대하소금구이와 버터머리구이 먹방~!! 리얼사운드 ASMR social eating Mukbang(Eating Show),/watch?v=DcQA_xG8Z28,167857,떵개떵,4070000,2日前,333493,50
ヨッキトッポッキとプルコギワッパー、プルコギバーガーのモッパン~！！リアルサウンドASMR social eating,/watch?v=61JBWCQOlZ4,194486,떵개떵,4070000,3日前,333493,58
ミニストップで目に入るものを全部買ってきました~！コンビニのモッパン~！！リアルサウンドASMR social,/watch?v=AFSFMTFW4L0,229536,떵개떵,4070000,4日前,333493,69
すももとパイナップルとスイカとももなど10種類のフルーツのモッパン~！！リアルサウンドASMR social,/watch?v=OX0f266FRAQ,187622,떵개떵,4070000,5日前,333493,56
餃子入りサリゴンタンミョンとミニ大根キムチのモッパン~！！リアルサウンドASMR social eating Mukbang,/watch?v=b6WeG98nSrk,160641,떵개떵,4070000,6日前,333493,48
ウォンおばあちゃんボッサムチョッパルの「ウィソンマヌルトックメッサム」~！！リアルサウンドASMR social eating Mukban,/watch?v=hfppuIDqi_E,283533,떵개떵,4070000,1週間前,333493,85
ピカチュウとんかつとフランクソーセージ、いなり寿司、インスタントラーメンのモッパン~！！リアルサウンドASMR social eating,/watch?v=XPHPK4wnFFU,335238,떵개떵,4070000,1週間前,333493,101
トッピングいっぱいのブデチゲとビビンバのモッパン~！！リアルサウンドASMR social eating,/watch?v=9VOS2RLKwRY,154722,떵개떵,4070000,1週間前,333493,46
BHCフライドチキン、ソトクソトク、プリンチーズボールのモッパン～！！リアルサウンド ASMR social eating,/watch?v=3KE0lzDkxhU,277214,떵개떵,4070000,1週間前,333493,83
エッグドロップタラコアボバンズ、ベーコンディープチーズバンズなど様々なメニューのモッパン～！！リアルサウンド,/watch?v=5OglgwQX2Bs,287556,떵개떵,4070000,1週間前,333493,86
目玉焼きをたくさん載せたジャージャー麺のモッパン~！！リアルサウンドASMR social eating Mukbang,/watch?v=OL-o15_fRPk,311317,떵개떵,4070000,1週間前,333493,93
"""오늘밤은 이거다!"" 리얼사운드 모음27편 먹방~!! ASMR social eating Mukbang(Eating Show)",/watch?v=VvdbMaFfGGc,219712,떵개떵,4070000,2週間前,333493,66
不味いわけのない食べ合わせ！ブルダックボクンミョンとジャマイカチキンドラムのモッパン~！！リアルサウンドASMR,/watch?v=m7IwVnMMDJE,459435,떵개떵,4070000,2週間前,333493,138
新商品チェッスチョコネギ味のモッパン~！！リアルサウンドASMR social eating Mukbang,/watch?v=RfbQRwUelAY,229550,떵개떵,4070000,2週間前,333493,69
ミスターピザシュリンプ軍団シュリンプゴルード、オーブンチーズスパゲッティ、ホームサラダのモッパン～！！ASMR,/watch?v=4ynsgTZzWv4,244339,떵개떵,4070000,2週間前,333493,73
ラム串と冷たいビールのモッパン～！！リアルサウンドASMR social eating Mukbang,/watch?v=u08JDTwZooY,283721,떵개떵,4070000,2週間前,333493,85
夏だからラーメンも冷たくして食べてみよう！冷ラーメンのモッパン～！！リアルサウンド　ASMR social eating Mukbang,/watch?v=r6hiomzMOPk,297921,떵개떵,4070000,2週間前,333493,89
ともバラ肉入りマーラータンに平たい春雨とブンモジャ(粉耗子)トッピング～！！リアルサウンド　ASMR social eating Mukbang,/watch?v=BzHwfAWD3DY,245058,떵개떵,4070000,3週間前,333493,73
달달한 허니콤보와 츄러스 먹방~!! 리얼사운드 ASMR social eating Mukbang(Eating Show),/watch?v=5FsnhksobCY,292164,떵개떵,4070000,3週間前,333493,88
まぐろ寿司、サーモン寿司、ひらめ寿司など様々な寿司のモッパン~！！リアルサウンドASMR social eating Mukbang,/watch?v=j55iCkZ8r1g,388111,떵개떵,4070000,3週間前,333493,116
フォー、辛いフォー、ブンチャー、海鮮チャーハンのモッパン～！！リアルサウンド　ASMR social eating Mukbang,/watch?v=r43CYFoRLPU,202106,떵개떵,4070000,3週間前,333493,61
クリームチェダーチーズ丸ごとカレトックソーセージのモッパン~！！リアルサウンドASMR social eating Mukbang,/watch?v=YL-G7A0j4tQ,359723,떵개떵,4070000,3週間前,333493,108
チャパゲティとシンジョントッポッキ、キムマリのモッパン~!! リアルサウンド ASMR social eating Mukbang,/watch?v=rJn-KnDUKbg,290621,떵개떵,4070000,3週間前,333493,87
きつね色の丸ごとアワビのバター焼きのモッパン～！！リアルサウンド　ASMR social eating Mukbang,/watch?v=fWmiOINE_yE,519742,떵개떵,4070000,3週間前,333493,156
