title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
日本語ASMR│（音フェチ）～優しい幼稚園の先生～│유치원 선생님 ASMR,/watch?v=p7U8z9JFZ08,9299,ASMR Liso 리소,3710000,1日前,27566,34
한국어ASMR│위스퍼링으로~동화책 읽어주기~│読み聞かせ│Reading book,/watch?v=FwAC3UhAafo,5245,ASMR Liso 리소,3710000,1週間前,27566,19
日本語ASMR│リソの一日～サムゲタン、ショッピング～│브이로그Jp ver,/watch?v=kA0fpo_VPUQ,6145,ASMR Liso 리소,3710000,1週間前,27566,22
한국어ASMR│평소안먹는 음식먹는 브이로그│ロッテワールドモルでの一日一,/watch?v=qcMx8v6kX4E,5186,ASMR Liso 리소,3710000,2週間前,27566,19
日本語ASMR│~りその寝言でケロッ~ラジオASMR(音フェチ)│라디오ASMR│radio ASMR,/watch?v=5DmDmbBOT2w,18689,ASMR Liso 리소,3710000,3週間前,27566,68
한국어ASMR│생애 첫 무선이어폰 언박싱ASMR│新しいイヤホン紹介│new earphone unboxsing,/watch?v=xe2CxRr7XR8,7888,ASMR Liso 리소,3710000,3週間前,27566,29
日本語ASMR│音フェチ～リソ魔女の恋が叶うメイク～│마녀의메이크업│Make up ASMR,/watch?v=vraLQ9IYF9E,40815,ASMR Liso 리소,3710000,1か月前,27566,148
한국어ASMR│쫀쫀하게 스킨케어 해주는 ASMR│お泊り会で、スキンケアKRver│Skin care ASMR,/watch?v=tDalBPtVYjk,12601,ASMR Liso 리소,3710000,1か月前,27566,46
日本語ASMR│Vlog～ロッテワールドモルでの一日～│롯데월드몰에서 보내는 하루│,/watch?v=f2eN5jWcCA8,9956,ASMR Liso 리소,3710000,1か月前,27566,36
한국어ASMR│롯데월드몰에서 보내는 하루│ロッテワールドモルでの一日一,/watch?v=60QefvZrUP0,5346,ASMR Liso 리소,3710000,1か月前,27566,19
（音フェチ）マイク触りながら～囁くオノマトペ～日本語ASMR│마이크터칭하며 단어반복│Trigger Words,/watch?v=Fqtc3FiF8wc,18516,ASMR Liso 리소,3710000,1か月前,27566,67
한국어ASMR│귀에 속삭이는 듯한 잡담│耳に囁く雑談│WhisperingASMR,/watch?v=Wo5wZ9_TwX0,9023,ASMR Liso 리소,3710000,1か月前,27566,33
(音フェチ)お泊り会～先ずはメイク落としスキンケア~│스킨케어ASMR│Skin care ASMR,/watch?v=xTqTHGX0ZXk,30295,ASMR Liso 리소,3710000,1か月前,27566,110
입소리잔뜩 단어반복 │リップノイズのオノマトペ （音フェチ）│Trigger Words,/watch?v=XbHmcSgjgn4,11507,ASMR Liso 리소,3710000,2か月前,27566,42
日本語ASMR | 囁く雑談~ハマってるもの~ | 속삭이는 잡담 위스퍼링,/watch?v=15ehrUBi1TQ,32399,ASMR Liso 리소,3710000,2か月前,27566,118
한국어ASMR│로데마이크로 하는 자극적인 귀청소│色んな道具でする、耳かき（音フェチ）│Ear cleaning,/watch?v=n8tbcZfcT5Q,8859,ASMR Liso 리소,3710000,2か月前,27566,32
日本語ASMR│サクサク’コハクトウ’咀嚼音（音フェチ）│코하쿠토 이팅사운드 │'KOHAKUTO' Eating Sound,/watch?v=iU9xAW2JEe8,18944,ASMR Liso 리소,3710000,2か月前,27566,69
ASMR '내게 맞는 립컬러 찾기' │オープン！「肌にあうリップ探しイベント」ASMR(音フェチ）KR ver.│ Cosmetic store ASMR,/watch?v=H6Nwr4YSTdo,9195,ASMR Liso 리소,3710000,2か月前,27566,33
囁きながら、韓国語講座ASMR（音フェチ）│속삭이며 한국어가르치는 ASMR,/watch?v=6yPbSGZLSvI,45495,ASMR Liso 리소,3710000,3か月前,27566,165
냠냠 감자칩 이팅사운드 ASMR │ ポテチ咀嚼音（音フェチ）│Potato Chips Eating sound ASMR,/watch?v=hvScB7H33Ns,9028,ASMR Liso 리소,3710000,3か月前,27566,33
オープン！「肌にあうリップ探しイベント」ASMR(音フェチ）│내게맞는 립찾기 ASMR│Cosmetic store ASMR,/watch?v=4eliFSAPCdE,46211,ASMR Liso 리소,3710000,3か月前,27566,168
자극적인 마이크터칭 ASMR │マイクを触る音フェチ│Mic touching,/watch?v=4lm90izFSRU,8641,ASMR Liso 리소,3710000,3か月前,27566,31
囁きながら～バック中身ASMR～（音フェチ）│what’s in my bag Jp ver,/watch?v=E1L1pGvw1vI,27615,ASMR Liso 리소,3710000,3か月前,27566,100
머랭쿠키 & 쿠키 & 마카롱꼬끄 이팅사운드 ASMR │ メレンゲクッキー＆クッキー＆マカロンコック咀嚼音ASMR（音フェチ）│ Dessert Eating sound,/watch?v=PrdrdkDv5yc,11818,ASMR Liso 리소,3710000,3か月前,27566,43
