title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【マイクラ】牧場作りもサバイバル 【初心者女性実況#2  〜牛･豚･馬･ラマを飼いたいだけなんだ〜 】,/watch?v=45sDfpn1OyI,66,IRIS MONDO official YOUTUBE CHANNEL,426,2日前,232,28
【Minecraft】ゾンビ村に村人を住ませたい #1 後半【マインクラフト初心者女性実況 / 建築 】,/watch?v=HmQPXesKfU4,75,IRIS MONDO official YOUTUBE CHANNEL,426,1週間前,232,32
【Minecraft】ゾンビ村をリフォームして村人の家にしたい #1 前半【マインクラフト初心者女性実況 / 建築 】,/watch?v=h2kM8vCfA6I,94,IRIS MONDO official YOUTUBE CHANNEL,426,1週間前,232,41
【マインクラフト解説付き】初心者女子とマイクラ実況〜初夜を超えて〜 #0 後半【Minecraft 基本操作 / 初見プレイ】,/watch?v=sFSUfY6lAYg,121,IRIS MONDO official YOUTUBE CHANNEL,426,1週間前,232,52
【香水 Answer song.】女性目線 Music Video / 瑛人(エイト) TikTok 【替え歌full covered by くるみスカイウォーカーとスーパーさったん】kousui,/watch?v=z31xTVrIJqE,610,IRIS MONDO official YOUTUBE CHANNEL,426,2週間前,232,263
【香水】現役バンドマンが考察してみた※ディスるつもりは一切ありません【流行る理由】,/watch?v=6-D1amcAtZ4,126,IRIS MONDO official YOUTUBE CHANNEL,426,4週間前,232,54
【一人晩酌】自分的最高晩酌【ズボラ晩酌】,/watch?v=D5xf0NXVVwQ,123,IRIS MONDO official YOUTUBE CHANNEL,426,4週間前,232,53
【UberEATS】韓国チキン食べながら生い立ち語りすぎた。【モッパン】,/watch?v=CqbiQHZ_j9s,165,IRIS MONDO official YOUTUBE CHANNEL,426,4週間前,232,71
【マインクラフト】初心者女子とマイクラ実況〜眠れない夜〜 #0 前半【Minecraft 基本操作 / 初見プレイ】,/watch?v=GDhjPQuSryg,162,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,70
【都知事選挙】初めて行ってみた,/watch?v=qmf562SDBWU,154,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,66
【ASMR】琥珀糖かと思って食べたら･･･【Eating Sounds】咀嚼音•音フェチ,/watch?v=O4hK9E8YCHA,334,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,144
【セブンイレブン最強の薬味】夏だし、やっぱカラフルなそうめんっしょ【大食い？チャレンジ】,/watch?v=GNmIvr0Gv3c,153,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,66
【大食い？】夏だし、やっぱカラフルなそうめんっしょ【色んな薬味でアレンジして食べる！】,/watch?v=Fi0-2Iktfnc,179,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,77
【Youtube7日間連続投稿企画】何だかわかんなくなってきました【晩酌投稿】,/watch?v=D8eBRkA39Gg,158,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,68
【ASMR】沖縄県産の海ぶどう食べる。【咀嚼音•音フェチ•モッパン】Seagrapes(Eating sounds) 씹는 소리,/watch?v=-DPRWf1C2xA,224,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,97
【晩酌】酒好き女子がコンビニで最強の晩酌セット探してみた,/watch?v=VM17mIILukE,226,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,97
【ミキサーいらず！】簡単！小玉スイカゼリー作り！/ Whole Watermelon Jelly 【モッパン】,/watch?v=DpmnK3Z8IEs,191,IRIS MONDO official YOUTUBE CHANNEL,426,1か月前,232,82
かつてこんなクソなインスタライブあった？,/watch?v=8TZX4Kvfnqo,179,IRIS MONDO official YOUTUBE CHANNEL,426,2か月前,232,77
【天ノ弱 / 164 feat.GUMI】VOCAL & GUITAR cover,/watch?v=cIdtWfYce7Y,304,IRIS MONDO official YOUTUBE CHANNEL,426,2か月前,232,131
【インスタライブ】メイド服でお絵かき対決したら天才画伯登場？！【2020.5.16】,/watch?v=l1sSCFbu9iU,171,IRIS MONDO official YOUTUBE CHANNEL,426,2か月前,232,74
【花に亡霊／ヨルシカ】外出自粛中ド素人がアコギ を1週間練習してみた結果,/watch?v=B27r2ABpVmU,184,IRIS MONDO official YOUTUBE CHANNEL,426,3か月前,232,79
RADWIMPS / セプテンバーさんcover【女性キーVer.】,/watch?v=kbylniTzNaI,425,IRIS MONDO official YOUTUBE CHANNEL,426,3か月前,232,183
IRIS MONDO 『RAINY』ギター演奏動画,/watch?v=i74ZKlgwDd0,428,IRIS MONDO official YOUTUBE CHANNEL,426,3か月前,232,184
IRIS MONDO - スパーク ネオ ストーリーfeatアサミサエ【オフショットMV】,/watch?v=zonq7ozT1Os,338,IRIS MONDO official YOUTUBE CHANNEL,426,3か月前,232,146
外出自粛中バンドマンの1日ルーティン【おうちVlog】#StayHome,/watch?v=8dHxt3BbANM,621,IRIS MONDO official YOUTUBE CHANNEL,426,3か月前,232,268
