title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
顔出し 咀嚼音 おっとっと食べる ASMR Eating Sounds,/watch?v=o0gfrxroRzo,4484,うーちゃん!ASMR,1410000,5時間前,140327,3
ASMR/睡眠用BGM | 最強耳かき3時間コース,/watch?v=2PRmtL0gyG8,20168,うーちゃん!ASMR,1410000,1日前,140327,14
ASMR Vol.2| 囁きながら脱ぎたてパンツで耳をスクラッチング💋Underwear scratching whispering 【息子のモーニングルーティン】,/watch?v=jOjlZRX9HiQ,145115,うーちゃん!ASMR,1410000,3日前,140327,103
ASMR/睡眠用 うーちゃんの眠くなる囁きオノマトペ 【土曜のナイトルーティン】,/watch?v=5Qc7bwVxbk8,116244,うーちゃん!ASMR,1410000,4日前,140327,83
【ASMR】 眠くなる囁きとギャルの耳かき Sleep Sounds Ear Cleaning Whispering Trigger【音フェチ】,/watch?v=WmLm-hlbUII,25073,うーちゃん!ASMR,1410000,5日前,140327,18
ASMR |  Shirt Scratching ピンクTで眠くなるようにスクラッチング【元気になるナイトルーティン】,/watch?v=4L99RDOvu4o,95184,うーちゃん!ASMR,1410000,1週間前,140327,68
ASMR | 棒マイクを丁寧にスクラッチング Super Closeup Scratching,/watch?v=NbBGslXuxvQ,26417,うーちゃん!ASMR,1410000,1週間前,140327,19
"ASMR🍆 眠くなる囁きと耳おくゴッリゴリな耳かき Ear cleaning,Whispering",/watch?v=-Au36xsjAnQ,69007,うーちゃん!ASMR,1410000,1週間前,140327,49
🔴【ASMR】パジャマをスクラッチング,/watch?v=ZTaCT3FMG_0,29208,うーちゃん!ASMR,1410000,1週間前,140327,21
"【睡眠用ASMR】熱き囁きと耳舐め,耳マッサージ 【息子のナイトルーティン】",/watch?v=pNXTyGxIjKo,133667,うーちゃん!ASMR,1410000,1週間前,140327,95
【ASMR/遊戯王】マジシャンガールの熱き囁きと耳舐め Yu-Gi-Oh! ASMR Ear Eating and Ear Blowing【男子のナイトルーティン】이어블로잉,/watch?v=yNGf89AsQ1U,109714,うーちゃん!ASMR,1410000,1週間前,140327,78
【コスプレASMR】Stick Ear Eating and Mouth Sounds ナースのバキューム耳舐め眠くなるよ！,/watch?v=INNzITJLdzk,153639,うーちゃん!ASMR,1410000,2週間前,140327,109
ASMR お気に入りパンティを頭に被せてスクラッチング underwear on your head Scratching,/watch?v=IPQAa4ufMuw,112464,うーちゃん!ASMR,1410000,2週間前,140327,80
ASMR |  理解できない囁きでお話 Intense Mouth Sounds whispering,/watch?v=rXkf5P9-NwQ,26229,うーちゃん!ASMR,1410000,2週間前,140327,19
ASMR | Keyboards with FAST TAPPING 眠くなる低音タッピング,/watch?v=tuxXAgjl0mQ,16427,うーちゃん!ASMR,1410000,2週間前,140327,12
ASMR ６分４８秒で癒します。ダミーヘッドマイクを双子で耳かき！Ear cleaning sound,/watch?v=P2hNc6f_KN0,50726,うーちゃん!ASMR,1410000,3週間前,140327,36
睡眠ASMR 最高に眠くなる耳舐めしたよ 耳かき付き TWIN EAR LICKING Ear Cleaning Whispering,/watch?v=njOg91e8IMU,148142,うーちゃん!ASMR,1410000,3週間前,140327,106
【ウエストを細く!】自宅で毎日できる簡単ダイエットだよ【筋トレルーティン】,/watch?v=78QUrMtMKwc,67197,うーちゃん!ASMR,1410000,3週間前,140327,48
【ASMR】脳がゾクゾクする咀嚼音。みんな大好きな硬くて細い棒 먹방 Eating Sounds【モッパン】,/watch?v=8SF91RJ3iic,56884,うーちゃん!ASMR,1410000,3週間前,140327,41
【ASMR】ダミーヘッドマイクで耳かきフルコース -DEEP Inner Ear Cleaning full course-,/watch?v=vndLk7SqJCo,64639,うーちゃん!ASMR,1410000,4週間前,140327,46
【ASMR】BODY TAPPING SCRATCHING CLAVICLE 鎖骨がいい音！ボディタッピング&スクラッチング【息子のナイトルーティン】,/watch?v=tYrQ7fpZ0r8,71648,うーちゃん!ASMR,1410000,4週間前,140327,51
ASMR | 脳を食べる音 Super Closeup INTENSE BRAIN EATING,/watch?v=SLHgKolMXDw,36452,うーちゃん!ASMR,1410000,1か月前,140327,26
ASMR ニューマイクスクラッチング&紹介 NEW MIC SCRATCHING THE BRAIN Massage,/watch?v=QEdg5-2BPTA,51487,うーちゃん!ASMR,1410000,1か月前,140327,37
【ASMR】壁際でされる大人の囁き耳かき【音フェチ】Deep Ear Cleaning,/watch?v=CZa0pR4SBZA,100535,うーちゃん!ASMR,1410000,1か月前,140327,72
【睡眠ASMR】絶対眠くなるネイルタッピング！【音フェチ】,/watch?v=Dp0bcWs0lDE,18682,うーちゃん!ASMR,1410000,1か月前,140327,13
【ASMR】TASCAMで脳がゾクゾクするマイクスクラッチング 【No Talking】,/watch?v=5yIF_PeJAcM,22996,うーちゃん!ASMR,1410000,1か月前,140327,16
ASMR | JEAN SCRATCHING 眠くなる休日にOLがスクラッチング,/watch?v=k5vaarNn6Vc,104725,うーちゃん!ASMR,1410000,1か月前,140327,75
【睡眠ASMR】脳がとろける人妻の耳舐め Ear Licking 【眠くなるナイトルーティン】,/watch?v=aFFJgWzPb1k,107204,うーちゃん!ASMR,1410000,1か月前,140327,76
スクラッチング嬢による最高の癒し睡眠ASMR（ I am Japan's Scratching Girl）sleep,/watch?v=_IFO6IL_NFg,204149,うーちゃん!ASMR,1410000,1か月前,140327,145
【ASMR/咀嚼音】問題です。何を食べたか当ててみてね。女の囁き声💋먹방 Eating Sounds【モッパン】,/watch?v=vjmksA9TOaw,203795,うーちゃん!ASMR,1410000,1か月前,140327,145
【ASMR】耳かき&ネイルタッピング！脳がゾクゾクするよ【音フェチ】,/watch?v=rVh_H3nFebc,102625,うーちゃん!ASMR,1410000,1か月前,140327,73
【作業用ASMR】白パンツの眠くなるスクラッチングまとめてみた Aggressive Scratching Fall Asleep in 51 minutes,/watch?v=WG_UKRPU4w8,291330,うーちゃん!ASMR,1410000,1か月前,140327,208
ASMR | 日本発情陸の眠くなるタッピングとスクラッチング 【音フェチ】,/watch?v=6pgcX8zK8zY,41138,うーちゃん!ASMR,1410000,1か月前,140327,29
