title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[ファミリーモッバン]#キムチスゼョビ#韓国のキムチ水団レシピ＃デザートは山梨県の桃。韓国人家族のランチ。,/watch?v=NDVDRkOVi3g,1522,しゅTV,3980000,4日前,11144,14
[ファミリーモッバン]桃入りの韓国風混ぜそば&豚トロ。肉と甘酸っぱい蕎麦の組み合わせが抜群！🤤,/watch?v=ozQwyGbxltY,1562,しゅTV,3980000,1週間前,11144,14
[RD Mukbang]物足りない音フェチ。マックナゲット15個。るだ君ははたして何個まで食べれるの？！,/watch?v=ucfIAXAC0CA,2999,しゅTV,3980000,1週間前,11144,27
[RD Mukbang]物足りない音フェチ。サムギョプサル定食？！るだが好きな材料で作ってみたサムギョプサルセット！#韓国のサムギョプサルセット,/watch?v=9EUGFAU2flg,2559,しゅTV,3980000,2週間前,11144,23
[RD Mukbang]#미타라시당고#쫀득쫀득 일본떡꼬치#モチモチみたらし団子#最近ハマってる#Mitarashi dango#Japanese sweet dumplings🍡,/watch?v=UesMl1a0Hr4,2760,しゅTV,3980000,2週間前,11144,25
[日本生活VLOG][日本語字幕]雨の日、平凡な日常のVログ。しゅが腕が震え、足がしびれて病院に行きました！,/watch?v=ti_IY2kusCQ,1815,しゅTV,3980000,3週間前,11144,16
[ファミリーモッバン][日本語字幕]#セブンイレブンの#色んなカップラーメン&おにぎり#コロッケ#BIGポークフランク#ビッグアメリカンドッグ。近くて便利~🎵😁,/watch?v=Nu-B323wC2g,3416,しゅTV,3980000,3週間前,11144,31
[RD Mukbang]#物足りない音フェチ#トロトロ豚の角煮#初めて食べる~~~🍖,/watch?v=kV9nC-8l8sY,3217,しゅTV,3980000,1か月前,11144,29
[ファミリーモッバン]中国春雨と野菜をたっぷり入れた鶏肉煮込み。アンドンチムダック。今日も家族と食べる美味しい食事！,/watch?v=LKO08WiBtu4,2522,しゅTV,3980000,1か月前,11144,23
[ファミリーモッバン]#マルちゃんの冷やし生ラ—メン#家族モッバン#ツルツルラ—メン。　夏にぴったり！簡単で美味し—🍜,/watch?v=aOl4Sp5RHQs,2454,しゅTV,3980000,1か月前,11144,22
[RD Mukbang]#スイカ冷麺。るだが美味しくない！普通のスイカが食べたいって。😥自分は普通に美味しかったけど。＃美味しくないモッバン？！,/watch?v=y_SMyjzxc48,3629,しゅTV,3980000,1か月前,11144,33
[日本生活VLOG][日本語字幕]しゅちゃんが学校に登校した間にうちらは油そば、ゲ—ムセンター、山下公園、三人で楽しいお出かけ❣️,/watch?v=UPQDXhmWIN4,2852,しゅTV,3980000,1か月前,11144,26
[RD Mukbang]物足りない音フェチ。黒毛牛肉の照り焼き寿司。大きい寿司を一口？！,/watch?v=VshkNsCelCg,3381,しゅTV,3980000,1か月前,11144,30
[RD Mukbang]物足りない音フェチ。初めて作る、食べるチーズトンカツ。チーズ大大大好き！！！,/watch?v=2TXHwwcD_OU,4696,しゅTV,3980000,2か月前,11144,42
"[日本生活VLOG][日本語字幕]久しぶりに家で親友と遊ぶ, 玉ネギ醤油漬け、お買い物、自宅トレーニング！など、普通の日常動画。",/watch?v=U1qaBrfa4TQ,1998,しゅTV,3980000,2か月前,11144,18
[ファミリーモッバン]＃韓国袋ラーメン＃サミャンラーメン＆やみつきコマキンパ（韓国のミニ海苔巻き）今日も家族と一緒に美味しく食べました。,/watch?v=Z9Ds2lHIyhc,2974,しゅTV,3980000,2か月前,11144,27
[RD Mukbang]＃物足りない音フェチ。#소떡소떡#ソトッソトッ＃韓国のおやつ。ちょっとからいけど、美味しくて止められない！！,/watch?v=zP44lv5J5m4,3629,しゅTV,3980000,2か月前,11144,33
[日本生活VLOG][日本語字幕]久しぶりの外出、買い物、公園遊び。,/watch?v=cQrMUb5Q_ck,2116,しゅTV,3980000,2か月前,11144,19
[ファミリーモッバン]日本人の#お袋の味、#肉ジャガを真似してみました。日本食めちゃおいしい！,/watch?v=fyfb0snslCs,2478,しゅTV,3980000,2か月前,11144,22
[RD Mukbang]物足りない音フェチ。#サ—モンのづけ丼。箸が止まらない!めちゃおいし—,/watch?v=NzYbPFkY7x0,7481,しゅTV,3980000,2か月前,11144,67
