title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【パラパラ】紅蓮華を湯上り酔っ払いが踊ってみた‼︎,/watch?v=0KCUxePmA-o,320,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,50
YouTubeライブ横向き配信の仕方,/watch?v=MFzlfGyK0Lk,275,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,43
おはようライブ,/watch?v=MHkTyeRrBoU,348,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,54
【猫】第４話くろすけしますけを助けに行ってた‼︎,/watch?v=ZPo1U6E6JJ8,257,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,40
パイナップルとアイスクリーム弁当も作るかもライブ,/watch?v=HvYb65wT_V0,347,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,54
今夜8時からのクッキングライブの番宣ライブ,/watch?v=3KV43DTd6Po,279,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,44
フルーチェでアイスクリームライブ,/watch?v=YE_mYXeXFoU,410,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,64
【猫】第3話一夜明け傷口どうなったかな‼︎,/watch?v=lxeWkbAFXFY,295,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,46
【パラパラ】ランドセルでMAXトラトラトラ,/watch?v=hzQBRBABNH8,564,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,88
【猫】第2話　病院の薬で治します‼︎,/watch?v=ZSZPYJfth0U,362,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,56
【猫】第1話頬を喰いちぎられひどいケガの猫を自力で治してみせる‼︎,/watch?v=Fk0mU4WPla8,432,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,67
ココナッツフルコースライブ,/watch?v=KKBZjLKswuA,520,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,81
【ドラゴンフルーツライブ】,/watch?v=NzALFTWJfk0,507,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,79
【渾身のマンゴーライブ】,/watch?v=gBOgnTcEkQs,565,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,88
【ケガした猫】喧嘩弱いくせに…,/watch?v=T1QZUr8kl3c,472,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,74
マンゴー＆弁当ライブ‼︎,/watch?v=yVXQkrunnEs,667,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,104
【韓国料理】ライブKorean cooking,/watch?v=Vxe4tHxPxD0,470,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,73
【体操服】パラパラ安室奈美恵TRY ME,/watch?v=dqQDvlqWwGM,1002,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,156
【ライブ】アイス食べる会,/watch?v=qdq-xCI7aB4,666,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,104
【マンゴスチン弁当クッキングライブ】,/watch?v=bj4qNgO-JJg,442,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,69
【合コン風】ライブクッキング,/watch?v=vhARdvNo_x4,569,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,89
【子猫】首にロープが‼︎,/watch?v=MvpvgzOG-tc,736,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,115
緊急事態‼︎特別バージョンライブ‼︎,/watch?v=kwoiOXvXJxU,808,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,126
ライブたこ焼きパーティー‼︎,/watch?v=S4yuavJm91A,725,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,113
【セーラー服】パラパラ恋のマイアヒ〜,/watch?v=piY9Z6vgfgw,1455,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,227
【ライブレストラン】高級食材ディナー‼︎,/watch?v=oJbhXj7WPaw,723,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,113
【ライブ居酒屋ブラウン】🏮いらっしゃいませ,/watch?v=L3P_EcCgHq8,725,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,113
オス猫同士の喧嘩をメス猫が追いかけた‼︎,/watch?v=rEl2MNXErs4,568,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,89
【ライブごはん】コンビニ飯を華やかに‼︎,/watch?v=tUxIpMIL9EU,700,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,109
【ライブクッキング】ブラウン亭‼︎,/watch?v=YcWBqeiADbg,673,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,105
【ジャニーズ】手洗い Wash Your Hands まさかのアクシデント‼︎,/watch?v=vDbEsUjPigI,457,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,71
【エアロビクス】激痩ヤセ‼︎３日で2キロこれで痩せました‼︎,/watch?v=q7HG9v1gMo8,790,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,123
【ベリーダンス】夏が来る大黒摩季に乗せてタイパンツお披露目‼︎,/watch?v=VUy0S-FP1Gw,1027,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,160
【水着】エクササイズ‼︎EZ Do DANCE,/watch?v=K4qzUGm9lJQ,1813,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,283
冷蔵庫紹介‼︎,/watch?v=VbhSaT_gLTM,538,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,84
【水着】ラジオ体操第一で準備運動‼︎,/watch?v=FG8OBMsMlec,1646,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,257
【猫と犬の由来】,/watch?v=nucPzqgumEk,378,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,59
【トルコ風アイス】納豆で作ったよ‼︎,/watch?v=72aXvhBK0yo,608,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,95
【ダルゴナコーヒー】メイドコスプレ‼︎,/watch?v=i81iTKK2QK4,648,チャンネルお師匠Cat&amp;Cooking&amp;S,1840,,641,101
