title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】大盛りタラコパスタ作って食べる Pasta【飯テロ/mukbang/eating sounds】,/watch?v=NTGaq9e302Y,2444,ソラ。,1830,2か月前,2872,85
【咀嚼音】チキン南蛮作って食べる Chicken Namban【飯テロ/mukbang/eating sounds】,/watch?v=sZ2LB1UjYyM,1972,ソラ。,1830,2か月前,2872,69
【咀嚼音】よだれ鶏作って食べる steamed chicken【飯テロ/mukbang/eating sounds】,/watch?v=-fR4mf_cD3U,1420,ソラ。,1830,2か月前,2872,49
【咀嚼音】ツナキャベツと塩こんぶのパスタ作って食べる　Pasta【飯テロ/mukbang/eating sounds】,/watch?v=xVH3_Ijp_t0,1359,ソラ。,1830,2か月前,2872,47
【咀嚼音】なめ茸作ってご飯食べる Nametake mushroom【飯テロ/mukbang/eating sounds】,/watch?v=qIX8uYpDj4U,1678,ソラ。,1830,3か月前,2872,58
【咀嚼音】えのきの豚バラ巻きを作って食べるPork belly wrapped Enoki mushroom【飯テロ/mukbang/eating sounds】,/watch?v=pRvx2F5BtpQ,1461,ソラ。,1830,3か月前,2872,51
【咀嚼音】唐揚げ作って食べる japanese fried chicken【飯テロ/mukbang/eating sounds】,/watch?v=B2caspKXw98,2086,ソラ。,1830,3か月前,2872,73
【咀嚼音】鶏肉の炊き込みご飯作って食べる Japanese mixed rice【飯テロ/mukbang/eating sounds】,/watch?v=54vxaQErbjw,1824,ソラ。,1830,3か月前,2872,64
【咀嚼音】大盛りの回鍋肉作って食べる twice cooked pork【飯テロ/mukbang/eating sounds】,/watch?v=KEqoOhnRKfU,1470,ソラ。,1830,3か月前,2872,51
【咀嚼音】カルボナーラ作って食べる Carbonara【飯テロ/mukbang/eating sounds】,/watch?v=xNeEZeSkxGk,1706,ソラ。,1830,3か月前,2872,59
【咀嚼音】あんかけ焼そば作って食べる Chow mein noodles with starchy sauce【飯テロ/mukbang/eating sounds】,/watch?v=06xMi_Gh8fw,1804,ソラ。,1830,3か月前,2872,63
【咀嚼音】チーズインハンバーグ作って食べるCheese hamburger【飯テロ/mukbang/eating sounds】,/watch?v=jEytr_M5cK4,2088,ソラ。,1830,3か月前,2872,73
【咀嚼音】具沢山な豚汁とタラコご飯作って食べるMiso soup with pork and vegetables【飯テロ/mukbang/eating sounds】,/watch?v=m6qxIdC_SzM,1767,ソラ。,1830,3か月前,2872,62
【咀嚼音】スイートチリマヨチキン作って食べる mayonnaise-fried chicken【飯テロ/mukbang/eating sounds】,/watch?v=g7i4bAzZ3Rk,1864,ソラ。,1830,4か月前,2872,65
【咀嚼音】油淋鶏作って食べる fried chicken Chinese style【飯テロ/mukbang/eating sounds】,/watch?v=WH7PHYXDu30,1566,ソラ。,1830,4か月前,2872,55
【咀嚼音】海老とアスパラのトマトパスタ作って食べる pasta【飯テロ/mukbang/eating sounds】,/watch?v=09MU32LnbMo,1854,ソラ。,1830,4か月前,2872,65
【咀嚼音】鶏胸肉でクリスピー唐揚げ作って食べる crispy chicken【飯テロ/mukbang/eating sounds】,/watch?v=E3tZgUrb75s,1751,ソラ。,1830,4か月前,2872,61
【咀嚼音】チーズオムカレー作って食べる cheese curry【飯テロ/mukbang/eating sounds】,/watch?v=EplfzMigUwA,2303,ソラ。,1830,4か月前,2872,80
【咀嚼音】サーモンの手まり寿司作って食べる salmon sushi【飯テロ/mukbang/eating sounds】,/watch?v=O-LQUIOCtYE,1182,ソラ。,1830,4か月前,2872,41
【咀嚼音】ガーリックライス目玉焼き丼作って食べる Garlic rice fried egg don【飯テロ/mukbang/eating sounds】,/watch?v=FPvhnFV8knY,1867,ソラ。,1830,4か月前,2872,65
【咀嚼音】タラコマヨパスタ作って食べる  pasta【飯テロ/mukbang/eating sounds】,/watch?v=Cg2sOf_paMU,2409,ソラ。,1830,4か月前,2872,84
【咀嚼音】海老カツ作って食べる Shrimp cutlet【飯テロ/mukbang/eating sounds】,/watch?v=5NI96zqFHT0,1785,ソラ。,1830,4か月前,2872,62
【咀嚼音】照り焼きマヨチキン作って食べる Teriyaki chicken【飯テロ/mukbang/eating sounds】,/watch?v=gCMuSnFH3mI,2090,ソラ。,1830,4か月前,2872,73
【咀嚼音】ジャージャー麺作って食べる Zhajiangmian 짜장면【飯テロ/mukbang/eating sounds】,/watch?v=euhjBFugcZ4,2354,ソラ。,1830,4か月前,2872,82
【咀嚼音】チーズ味の唐揚げ作って食べる（おにぎり、卵焼き）japanese fried chicken【飯テロ/mukbang/eating sounds】,/watch?v=FqRr79TUevQ,2758,ソラ。,1830,5か月前,2872,96
【咀嚼音】クリームチーズパスタ作って食べる Cream cheese pasta【飯テロ/mukbang/eating sounds】,/watch?v=N3LmDNYsMrE,4649,ソラ。,1830,5か月前,2872,162
【咀嚼音】海老の唐揚げ作って食べる Fried shrimp【飯テロ/mukbang/eating sounds】,/watch?v=mnpVgZgaBYs,1566,ソラ。,1830,5か月前,2872,55
【咀嚼音】焼きカレー作って食べる curry【飯テロ/mukbang/eating sounds】,/watch?v=-_mbxm3OgRw,2332,ソラ。,1830,5か月前,2872,81
【咀嚼音】麻婆春雨作って食べる【飯テロ/mukbang/eating sounds】,/watch?v=9pyE9VfKvMc,2897,ソラ。,1830,5か月前,2872,101
【咀嚼音】ネギ塩チキン作って食べる【飯テロ/mukbang/eating sounds】,/watch?v=p000uV-a56E,2020,ソラ。,1830,5か月前,2872,70
【外食動画】一蘭でラーメン食べてきた Rahmen【飯テロ】,/watch?v=ArVt-h1qOfM,1645,ソラ。,1830,5か月前,2872,57
【咀嚼音】大盛りタラコとイカの和風パスタ作って食べる pasta【飯テロ/mukbang/eating sounds】,/watch?v=feaeMT2883M,2775,ソラ。,1830,5か月前,2872,97
【咀嚼音】メンチカツ作って食べる a fried cake of minced meat 【飯テロ/mukbang/eating sounds】,/watch?v=el0TRk5_TPs,2274,ソラ。,1830,5か月前,2872,79
【咀嚼音】たっぷりのしらす丼で朝ごはん食べる【飯テロ/mukbang/eating sounds】,/watch?v=vpMGqq_0MMI,1949,ソラ。,1830,6か月前,2872,68
【咀嚼音】大盛りエビピラフ作って食べる shrimp pilaf【飯テロ/mukbang/eating sounds】,/watch?v=AH0n-f21aPI,1958,ソラ。,1830,6か月前,2872,68
【咀嚼音】パンチョ風ナポリタン作って食べる pasta【飯テロ/mukbang/eating sounds】,/watch?v=-iaFkcC1CkE,1796,ソラ。,1830,6か月前,2872,63
【咀嚼音】特盛りな豚の生姜焼き定食を作って食べる ginger fried pork【飯テロ/mukbang/eating sounds】,/watch?v=QN8QQ4vaRnw,1889,ソラ。,1830,6か月前,2872,66
【咀嚼音】大盛りドライカレー作って食べる Curry pilaf【飯テロ/mukbang/eating sounds】,/watch?v=AsauzvJ3Fqo,2087,ソラ。,1830,6か月前,2872,73
【咀嚼音】タルタルソース作ってビックチキンカツとエビフライ食べる big chicken/ Fried Shrimp【飯テロ/mukbang/eating sounds】,/watch?v=YgcS0IwaQMw,2363,ソラ。,1830,6か月前,2872,82
【咀嚼音】大盛り和風ツナマヨパスタ作って食べる Pasta 【飯テロ/mukbang/eating sounds】,/watch?v=w23PhIEClGQ,4459,ソラ。,1830,6か月前,2872,155
【咀嚼音】浅漬けを作って朝ごはん食べる breakfast【飯テロ/mukbang/eating sounds】,/watch?v=n9ZPpMqUqUo,3484,ソラ。,1830,6か月前,2872,121
【咀嚼音】大きいオムライス作って食べる【飯テロ/mukbang/eating sounds】,/watch?v=Tm53unvD_n0,3146,ソラ。,1830,6か月前,2872,110
【咀嚼音】チーズハムカツ作って食べる cheese ham cutlet【飯テロ/mukbang/eating sounds】,/watch?v=qcHID5l_PQ4,2241,ソラ。,1830,7か月前,2872,78
【咀嚼音】プルダッククリームパスタ食べる spicy pasta 불닭크림파스타【飯テロ/mukbang/eating sounds】,/watch?v=QhFlSq3fj-E,3116,ソラ。,1830,7か月前,2872,108
【咀嚼音】大きい海老でエビマヨ作って食べる shrimp with mayonnaise【飯テロ/mukbang/eating sounds】,/watch?v=JlEwbG3GzJI,4278,ソラ。,1830,7か月前,2872,149
【咀嚼音】フライドチキン作って食べる fried chicken【飯テロ/mukbang/eating sounds】,/watch?v=zldH818Z9C8,1720,ソラ。,1830,7か月前,2872,60
【咀嚼音】唐揚げチャーハン作って食べる fried chicken/Fried Rice【飯テロ/mukbang/eating sounds】,/watch?v=28RRMK9xoKM,3505,ソラ。,1830,7か月前,2872,122
【咀嚼音】ボロネーゼ作って食べる Bolognese/Pasta【飯テロ/mukbang/eating sounds】,/watch?v=LcHSlNQAfbU,2378,ソラ。,1830,7か月前,2872,83
【咀嚼音】ビーフデミチーズグラコロ食べる McDonald's/マクドナルド【飯テロ/mukbang/eating sounds】,/watch?v=lJmc4QHaEPI,2103,ソラ。,1830,7か月前,2872,73
【咀嚼音】豚の角煮とおにぎり作って食べる Boiled pork/rice ball【飯テロ/mukbang/eating sounds】,/watch?v=fDxswUgm05c,3865,ソラ。,1830,7か月前,2872,135
【咀嚼音】クリームコロッケとジョンソンヴィル食べる Cream croquette /Johnsonville【飯テロ/mukbang/eating sounds】,/watch?v=G6fal8_7NY8,3635,ソラ。,1830,7か月前,2872,127
【咀嚼音】コンビニの商品色々食べる。おにぎり、サンドイッチ、パスタ【飯テロ/mukbang/eating sounds】【セブンイレブン】,/watch?v=8pQdWXcpY-4,2614,ソラ。,1830,8か月前,2872,91
【咀嚼音】牡蠣とトッポッキ入りの辛ラーメン食べるspicy ramen 신라면【飯テロ/mukbang/eating sounds】,/watch?v=dGDAFWhgDPA,2210,ソラ。,1830,8か月前,2872,77
【咀嚼音】サーモン、マグロづくしとサーモン親子丼食べる SUSHI【飯テロ/mukbang/eating sounds】,/watch?v=tmrdOLW9Er0,3086,ソラ。,1830,8か月前,2872,107
