title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【歌詞付き】Lemon/米津玄師(Full Covered by あさぎーにょ)ドラマ『アンナチュラル』主題,/watch?v=efzGqPugd4o,9380466,あさぎーにょ,7490000,2年前,1511858,620
【女性が歌う】そっけない / RADWIMPS (Covered by あさぎーにょ ),/watch?v=kWXJ1hqSv9k,4757260,あさぎーにょ,7490000,)作成者:1年前,1511858,315
【MV】瞬き/back number「8年越しの花嫁 奇跡の実話」主題歌(Covered by あさぎーにょ),/watch?v=sd0qiai9akU,2312069,あさぎーにょ,7490000,2年前,1511858,153
【女性が歌う】別の人の彼女になったよ/wacci  (Covered by あさぎーにょ),/watch?v=S4Vvy8h1CTA,2264811,あさぎーにょ,7490000,1年前,1511858,150
【MV】愛を伝えたいだとか/あいみょん(Covered by あさぎーにょ),/watch?v=yAdSoXeJw6U,1765090,あさぎーにょ,7490000,2年前,1511858,117
【MV】Kitai  / あさぎーにょ,/watch?v=Egbn7h8aDRU,1622814,あさぎーにょ,7490000,作成者:2年前,1511858,107
もう限界。無理。逃げ出したい。,/watch?v=XGL2n1yCY1I,4609061,あさぎーにょ,7490000,7か月前,1511858,305
香水 / 瑛人 (Full Covered by あさぎーにょ)【歌詞付き】,/watch?v=0Shy5nObzPg,3633491,あさぎーにょ,7490000,2か月前,1511858,240
【歌詞付き】ドラえもん/星野源 (Full Covered by あさぎーにょ)映画『ドラえもん のび太の宝島』主題歌 歌詞付,/watch?v=afnfSfQKFyg,2874897,あさぎーにょ,7490000,2年前,1511858,190
【ダイエット】食事制限が出来ない私の成功の秘訣と方法とは…😳,/watch?v=QfkyDRi3VtU,2808078,あさぎーにょ,7490000,2年前,1511858,186
バックの中身をパオっと紹介すっよ。,/watch?v=0UG9HfgCTgk,2162590,あさぎーにょ,7490000,1年前,1511858,143
嫌いにならないで…ガチモーニングルーティーン,/watch?v=lYCL34Ng5ew,1718781,あさぎーにょ,7490000,1年前,1511858,114
ニキビが憎くて許せないので息の根を止めてやる。,/watch?v=uNRL4qHmuTo,200393,あさぎーにょ,7490000,1日前,1511858,13
一人でたらこパスタ専門店に行ってきた,/watch?v=uuK0lcPgvRQ,221796,あさぎーにょ,7490000,3日前,1511858,15
高校の時の毎日メイクを思い出してやってみたら違和感が生まれた。,/watch?v=2xIL-qvGkG8,214722,あさぎーにょ,7490000,5日前,1511858,14
お金はかかるけどスキンケアは大事。,/watch?v=08lj1wOIrQk,196222,あさぎーにょ,7490000,1週間前,1511858,13
お腹減ったから簡単スイーツ作りしたよ！世界レベルの可愛さじゃねぇか…,/watch?v=iucUBJ7qB14,281740,あさぎーにょ,7490000,1週間前,1511858,19
ダンス初心者が１時間でTWICEの「MORE&MORE」を覚えて踊ってオーディションに参加してきた。,/watch?v=rxMYU8le_5k,397853,あさぎーにょ,7490000,2週間前,1511858,26
韓国アイドルメイクしてTWICEになって踊りたい。,/watch?v=HRmdykazK4M,212102,あさぎーにょ,7490000,2週間前,1511858,14
【重大発表】熱い想いを語らせていただきます。,/watch?v=aFz_4SYSYc4,230620,あさぎーにょ,7490000,2週間前,1511858,15
20代女子のリアルな生活をお見せします。,/watch?v=-IoEW4DgcAg,308950,あさぎーにょ,7490000,2週間前,1511858,20
【爆買い】これでお部屋が可愛くなるわ！フライングタイガー購入品〜！,/watch?v=Utr8nWG_G-c,324305,あさぎーにょ,7490000,3週間前,1511858,21
【ASMR】巨大サーモン大好きだから余裕でしょ【モッパン】,/watch?v=m06K6MPpieM,261215,あさぎーにょ,7490000,3週間前,1511858,17
【ライブシネマ】迷宮クローゼット　〜謎の女を追いかけるとそこは奇妙な世界だった…？〜,/watch?v=e2qoc31ZqXw,362607,あさぎーにょ,7490000,2か月前,1511858,24
続きだよ【あつ森】貧乏生活から早く抜け出したい…,/watch?v=nAaxENZkBQM,90160,あさぎーにょ,7490000,4か月前,1511858,6
【あつ森】貧乏生活から早く抜け出したい…,/watch?v=BA128qJ8-HA,97813,あさぎーにょ,7490000,4か月前,1511858,6
【人生初】あつまれどうぶつの森,/watch?v=lfCTU84oX0k,177080,あさぎーにょ,7490000,4か月前,1511858,12
私のゲームの腕前をみよ！！！,/watch?v=qLLxISbsnJE,120628,あさぎーにょ,7490000,4か月前,1511858,8
重大発表があります,/watch?v=ssQuA9_yjHg,236276,あさぎーにょ,7490000,11か月前,1511858,16
