title,url,view,channel_name,channel_subscriber,create_stamp
【ASMR】【咀嚼音 】WAGASHI PARTY 夏の和菓子特集 MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING MOCHI DAIFUKU わらび餅,/watch?v=UxsSVZxxza8,6640,ASMR RION,7300,1日前
【ASMR】【咀嚼音 】琥珀糖*食べれる宝石*KOHAKUTO*코하쿠토*JEWEL CANDY*CRYSTAL CANDY*먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=QJKVr1A9bNU,9620,ASMR RION,7300,2日前
【ASMR】【咀嚼音 】GREEN DESSERTS EDIBLE SPOON MACARON NERDSROPE MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=Gr2hHAeD2JQ,4840,ASMR RION,7300,3日前
【ASMR】【咀嚼音 】BLUEDESSERTS 青いデザート PLANETGUMMI NERDSROPEMUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=l6R-L-Me0s4,9025,ASMR RION,7300,5日前
【ASMR】【咀嚼音 】WHITEDESSERTS 白いデザート MARSHMALLOW ROPECANDY MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=TGRHn6L8o6Y,8695,ASMR RION,7300,6日前
【ASMR】【咀嚼音 】CHOCOLATE PARTY CHOCOLATE ICECREAM MAGNUM MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=72PMUH6eo70,3531,ASMR RION,7300,1週間前
【ASMR】【咀嚼音 】WATERMELON DESSERTS EDIBLESPOON CREPECAKE JELLY MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=e02SXHRmTGM,5487,ASMR RION,7300,1週間前
【ASMR】【咀嚼音 】琥珀糖*食べれる宝石*KOHAKUTO*코하쿠토*JEWEL CANDY*CRYSTAL CANDY*먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=XYda47Yo2gk,35355,ASMR RION,7300,1週間前
【ASMR】【咀嚼音 】WAGASHI PARTY 和菓子特集 MOCHI DANGO KOHAKUTO MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=TGPzhQFkapM,28707,ASMR RION,7300,1週間前
【ASMR】【咀嚼音 】GALAXY DESSERTS ギャラクシーデザートMUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING MERMAIDTAKE CUPCAKE,/watch?v=cKueswAKTmo,6898,ASMR RION,7300,2週間前
【ASMR】【咀嚼音 】PINK PURPLE DESSERTS MACARON MARSHMALLOW MUKBANG 먹방 食べる音 EATINGSOUNDS,/watch?v=ojdllkKwXwc,7118,ASMR RION,7300,2週間前
【ASMR】【咀嚼音 】CARBO FIRE NOODLE プルダックポックンミョン SAUSAGE シャウエッセンMUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=Kgqrc6myL4I,6029,ASMR RION,7300,2週間前
【ASMR】【咀嚼音 】RAINBOW DESSERTS レインボーデザート MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING LEGO BLOCK GUMMY,/watch?v=w2ZbsqsDg0A,5886,ASMR RION,7300,2週間前
【ASMR】【咀嚼音 】JELLY PARTY ゼリー特集 MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING POPPINGCANDY JELLYNOODLE,/watch?v=_oLo4pEriQE,9086,ASMR RION,7300,3週間前
【ASMR】咀嚼音 ギャラクシー*宇宙*galaxy desserts* MUKBANG 먹방 咀嚼音 食べる音 EATINGSOUNDS NOTALKING KOHAKUTO EDIBLESPOON,/watch?v=2S_vGYnca7I,6075,ASMR RION,7300,3週間前
【ASMR】【咀嚼音 】UNICORNDESSERTS ユニコーンデザート MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING MARSHMALLOW MACARON,/watch?v=tChetM54kro,7869,ASMR RION,7300,3週間前
