title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【大食い 】超激辛の生タコ 、中華料理と食べ方は可笑しい！日本人なら出来ないな！シーフドチャレンジ 、パート三十二eating show seafood boil,/watch?v=eVoiXbeK05U,310417,MIRAI TV,,1か月前,2434069,13
【大食い 】超激辛の生タコ 、中華料理と食べ方は可笑しい！日本人なら出来ないな！シーフドチャレンジ 、パート三十一eating show seafood boil,/watch?v=h2LXWIwcmVo,22014,MIRAI TV,,1か月前,2434069,1
【大食い 】超激辛の生タコ 、中華料理と食べ方は可笑しい！日本人なら出来ないな！シーフドチャレンジ 、パート三十eating show seafood boil,/watch?v=Gdv48aX0JJc,28189,MIRAI TV,,1か月前,2434069,1
【大食い 】超激辛の生タコ 、中華料理と食べ方は可笑しい！日本人なら出来ないな！シーフドチャレンジ 、パート二十八eating show seafood boil,/watch?v=YxQLfPV4qeg,44960,MIRAI TV,,2か月前,2434069,2
【大食い 】超激辛の生タコ 、中華料理と食べ方は凄いですね！日本人なら出来ないな！シーフドチャレンジ 、パート二十七 eating show seafood boil,/watch?v=P3b665U_El8,647258,MIRAI TV,,3か月前,2434069,27
Đau đớn tình tay ba ngang trái - Truyện ngắn đời thường - Bài học cuộc sống,/watch?v=W4NofgbRMng,1659,MIRAI TV,,3か月前,2434069,0
Tóm tắt con người đa nghi Tào Tháo - Anh hùng hay kẻ độc ác đa mưu,/watch?v=fnKixjU8Rhg,1692,MIRAI TV,,3か月前,2434069,0
The process of pressing hydraulic piles to consolidate the foundation of rural housing construction,/watch?v=-09fKh37X38,8485,MIRAI TV,,6か月前,2434069,0
Construction of foundation excavation by excavator Part 2,/watch?v=7bCOxe_3xRw,2906,MIRAI TV,,6か月前,2434069,0
Instructions for assembling the details of the bicycle brake,/watch?v=jngWKeNAYPk,3373,MIRAI TV,,7か月前,2434069,0
Instructions for fixing a broken bicycle bell,/watch?v=LF5YVo0k4JE,2979,MIRAI TV,,7か月前,2434069,0
【大食い 】超激辛の生タコ 、中華料理はユニクですね！日本人なら出来ないな。。。！シーフドチャレンジ 、パート三十二,/watch?v=MRAFQHYTQwQ,4226200,MIRAI TV,,9か月前,2434069,174
【大食い 】超激辛のタコと巨大カニ 、中華料理はユニクですね日本人なら出来ないな。。。！シーフドチャレンジ 、パート三十,/watch?v=GSqdB1DVkAg,13654465,MIRAI TV,,10か月前,2434069,561
【大食い 】大胃王 超激辛の生ジオダック 、生タコも凄い！パート二十五,/watch?v=UhfnvX5HmV8,13692644,MIRAI TV,,10か月前,2434069,563
【咀嚼音】氷を食べる音 メロンと硬い氷の音フェチ 大食い | ไอซ์ซี่ กินนัว ICE EATING 얼음ASMR,/watch?v=eK2vRirnYzw,3863791,MIRAI TV,,1年前,2434069,159
