title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【大公開】カバンの中身チェックしたら色々とやばかったwww,/watch?v=bWmfORUktWk,20772,あいすチャンネル,27500,2か月前,29043,72
【JO1】男二人の【無限大】掛け声,/watch?v=mlkTY_EWQ78,10310,あいすチャンネル,27500,2か月前,29043,35
【検証】ほろよい×アイスの実×スーパーカップは本当に美味しいのか？飲みながら初体験語る【初体験】,/watch?v=2TrvrqLfef4,11965,あいすチャンネル,27500,3か月前,29043,41
【Morning Routine】解説が終始うるさい自粛中モーニングルーティン,/watch?v=P55aEZIvkes,39284,あいすチャンネル,27500,3か月前,29043,135
【ASMR】サクサク韓国スナック菓子モッパン【咀嚼音】,/watch?v=zmr4oSsbOUY,13751,あいすチャンネル,27500,3か月前,29043,47
【レアチーズケーキ】一人暮らし男子が作る簡単レアチーズケーキ&質問コーナー【質問コーナー】,/watch?v=t-M4e9Akwnw,19948,あいすチャンネル,27500,3か月前,29043,69
【超きつい】スプーンで3000回まぜたら完璧なダルゴナコーヒーできた,/watch?v=xqjSuanudvs,14079,あいすチャンネル,27500,3か月前,29043,48
【ヘアセット】現役oceanモデルによるヘアセット5分チャレンジ！,/watch?v=luaDayUXqxo,12510,あいすチャンネル,27500,3か月前,29043,43
【スキンケア】美肌男子が教えるスキンケア・ニキビ改善【肌トラブル】,/watch?v=lkqev9TOP6U,90240,あいすチャンネル,27500,3か月前,29043,311
【ASMR】板チョコアイス！パリパリ【咀嚼音】,/watch?v=YtZQxwH7FzY,29819,あいすチャンネル,27500,3か月前,29043,103
【ASMR】大阪お菓子でモッパン【咀嚼音】【먹방】,/watch?v=4UHBhyDgllo,7076,あいすチャンネル,27500,4か月前,29043,24
【ASMR】韓国青いスナック菓子モッパン【咀嚼音】,/watch?v=Q1pmueHLDkk,12637,あいすチャンネル,27500,4か月前,29043,44
【ASMR】いちご飴モッパン strawberry Candy🍭 popular food  MUKBANG 먹방 【咀嚼音】,/watch?v=_eDCnfJUQAc,16942,あいすチャンネル,27500,4か月前,29043,58
【ASMR】イケメン2人のケンタッキーサクサク咀嚼音,/watch?v=m0y1x312ue8,25892,あいすチャンネル,27500,4か月前,29043,89
【チョコ】チョコレート博覧会1万円企画【1万円企画】,/watch?v=Dz02au6VZMk,9344,あいすチャンネル,27500,4か月前,29043,32
負けたらじゃがりこ40箱バトル！,/watch?v=jUYkCoXpCSs,6419,あいすチャンネル,27500,5か月前,29043,22
JO1グッズ紹介&雑談！初ファンミ！,/watch?v=qDYrmsArW74,12064,あいすチャンネル,27500,6か月前,29043,42
わんころもちから皆さんへご報告があります。,/watch?v=RcYTyO2u-Rc,23377,あいすチャンネル,27500,6か月前,29043,80
メンバーへ恋愛についての１００質問！,/watch?v=1xc9eJwvS7w,32799,あいすチャンネル,27500,8か月前,29043,113
【エロ】JKが斎藤さんしたら変態だらけだったwww,/watch?v=Z91yqg27v2U,26106,あいすチャンネル,27500,8か月前,29043,90
【メイク】現役JKにアイメイクしてもらったらめちゃくちゃ可愛くなった。,/watch?v=Wm7Go0s4GiM,42324,あいすチャンネル,27500,8か月前,29043,146
SEVENTEEN大好きナムジャcaratがメンバーに無理やりセブチ推してみた,/watch?v=GBna5aOuFM8,29534,あいすチャンネル,27500,8か月前,29043,102
【爆買い】30万円で引っ越すんだ【30万円企画】,/watch?v=tezAmIOGy64,26947,あいすチャンネル,27500,9か月前,29043,93
顔面加工バトル！！モデルVSインスタグラマー！,/watch?v=SYS5xTyqaDI,31185,あいすチャンネル,27500,9か月前,29043,107
【大食い】ナゲット100個食べる,/watch?v=5TV93YmCkG8,33134,あいすチャンネル,27500,9か月前,29043,114
３人で×××始めました、、？！（わんころもち）,/watch?v=4mNw19zijD8,102396,あいすチャンネル,27500,9か月前,29043,353
マジックバトル！！負けたらおし●こ飲み？！,/watch?v=4uhUIcXTM7s,12229,あいすチャンネル,27500,1年前,29043,42
【コラボ】おむすびに質問コーナー,/watch?v=UNwo2Vpf0ko,44155,あいすチャンネル,27500,1年前,29043,152
【引越し】黒系家具１Kルームツアー【SEVENTEEN グッズ】,/watch?v=e0hpdLAGjWw,55225,あいすチャンネル,27500,1年前,29043,190
【飯テロ注意】名前聞いただけの料理作ってみた【イタリアン】,/watch?v=WlXwBMzYLYo,23263,あいすチャンネル,27500,1年前,29043,80
【自己紹介】ゆる〜くやってきます【あいす⠀】,/watch?v=jaW2JZhtmgY,64617,あいすチャンネル,27500,1年前,29043,222
