title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
暇すぎて海外セレブのモーニングルーティン完コピしてみた　This Is Dove Cameron's Morning Routine | Waking Up With... | ELLE,/watch?v=Xie3NtSsTFQ,360257,丸山礼チャンネル,760000,6日前,640101,56
そのお悩み、J.Y.Parkが解決します,/watch?v=UktgmVDOEM8,323437,丸山礼チャンネル,760000,1週間前,640101,51
毎日メイクモノマネで古川優香ちゃん化計画,/watch?v=rqIPxgR2o_M,362982,丸山礼チャンネル,760000,1週間前,640101,57
【ご報告】丸山礼、彼氏ができました※顔面公開します！,/watch?v=xo5OZPKfbDA,1598590,丸山礼チャンネル,760000,2週間前,640101,250
「初耳学」の収録裏！ゆきりぬちゃんとたけうちほのかちゃんと会えたけど密になっちゃうので即解散,/watch?v=FnHnjpaFDUA,96200,丸山礼チャンネル,760000,2週間前,640101,15
うちの永遠の敵いちご鼻のケア紹介する,/watch?v=GlOY3KBopbU,265434,丸山礼チャンネル,760000,2週間前,640101,41
丸山礼、中国のいちご鼻メイクで大変身させていただくわ謝謝,/watch?v=SYxh0arKfSo,214176,丸山礼チャンネル,760000,2週間前,640101,33
元スーパーネガティブ人見知り女 丸山礼 が誰とでも仲良くなれる方法教えちゃいます！,/watch?v=TUi4VW6X6G8,272727,丸山礼チャンネル,760000,3週間前,640101,43
엄마의 맛있는 잡채 만드는 방법　【먹방】,/watch?v=5laZdQvlWU8,280513,丸山礼チャンネル,760000,3週間前,640101,44
経済ぶんぶんぶん回しグルメツアー　胃袋だけ帰郷編,/watch?v=BsvmLwa2o3U,212282,丸山礼チャンネル,760000,1か月前,640101,33
脳みそ韓国丸山礼、念願のじゃじゃ麺に巡り合えた！【짜장면】【ASMR】,/watch?v=8bnYMd3hHrU,397671,丸山礼チャンネル,760000,1か月前,640101,62
キム・ミリンが教えるオモニの味「甘辛肉じゃがタットリタン」【モッパン】【닭볶음탕】,/watch?v=SjdHJpwTzlA,365809,丸山礼チャンネル,760000,1か月前,640101,57
"""美髪”を保つ丸山礼メソッド教えちゃいます！",/watch?v=4T8NBWeuA28,209291,丸山礼チャンネル,760000,1か月前,640101,33
丸山礼、断食しました。,/watch?v=ZhBCUUaD97I,329930,丸山礼チャンネル,760000,1か月前,640101,52
【台湾カステラ】トレンド女丸山礼、次は台湾攻めます【モッパン】【먹방】,/watch?v=UIOvM3EUWJA,293061,丸山礼チャンネル,760000,1か月前,640101,46
ノンフィクション～おじさんと熊のみゆきの愛の物語～,/watch?v=zw_xr8axZU8,196793,丸山礼チャンネル,760000,1か月前,640101,31
みんなのうっぷんアンミカ先生が全部プラスに変えて差し上げます,/watch?v=uSi86Mfarcs,579252,丸山礼チャンネル,760000,1か月前,640101,90
ASMRしすぎた女の末路【ASMR】,/watch?v=4xXJ1MhqO9M,193130,丸山礼チャンネル,760000,1か月前,640101,30
丸山礼、今年はチーズの海に溺れることにしました,/watch?v=CgXRw9AgHog,365141,丸山礼チャンネル,760000,1か月前,640101,57
丸山礼、アリアナグランデ風 雲メイクしてみました【Cloud  makeup】,/watch?v=esdx-h81MdQ,398964,丸山礼チャンネル,760000,2か月前,640101,62
極上の入浴体験へと貴方を誘う風呂ナビゲーター丸山礼,/watch?v=2hJUaE_L2_4,250533,丸山礼チャンネル,760000,2か月前,640101,39
自宅でブンブン経済ぶん回しおとりよせグルメツアー,/watch?v=uZMb8l3isE4,285509,丸山礼チャンネル,760000,2か月前,640101,45
イケメン俳優様をおかずにメシを食うオンナ,/watch?v=C0CKCs54x8M,358703,丸山礼チャンネル,760000,2か月前,640101,56
同担拒否！井上千晶が地雷メイクしてみた,/watch?v=COQzna1kOW0,967523,丸山礼チャンネル,760000,2か月前,640101,151
食べられませんでした………,/watch?v=21oozxRkuu8,419288,丸山礼チャンネル,760000,2か月前,640101,66
虹プロのオーディションを1人で開催しながらオレオチーズケーキを作る流行りon流行り女、丸山礼,/watch?v=bHZjP-5Y9SA,679518,丸山礼チャンネル,760000,2か月前,640101,106
韓国ファッション 爆買い1週間コーデ紹介しちゃいます,/watch?v=oWFeIjQ53B4,1409469,丸山礼チャンネル,760000,2か月前,640101,220
【チュロドッグ】ソーセージを爆発させる魂の料理人、丸山礼,/watch?v=qyN_MrBtiCI,333950,丸山礼チャンネル,760000,2か月前,640101,52
【100の質問】インスタから輸入した質問にNG無しで返答したった,/watch?v=8Q2tukImkBo,556284,丸山礼チャンネル,760000,2か月前,640101,87
チキンにチョコかけて食ってみな？飛ぶぜ…？【ASMR】【モッパン】,/watch?v=EUvGeiUN9xc,307775,丸山礼チャンネル,760000,2か月前,640101,48
全然学校が再開しないのでリモートで黒川健に生存確認する井上千晶【土佐兄弟コラボ】,/watch?v=BpysZ5cVWzE,689933,丸山礼チャンネル,760000,2か月前,640101,108
【作業動画】丸山礼があなたの目の前で一緒に作業させていただく世界一集中できない動画です乙【モッパン】【早川さおり】,/watch?v=MGPcZFIN7LE,240072,丸山礼チャンネル,760000,2か月前,640101,38
ちゃんとしたルーティン動画撮ったから見てほしい【自粛ルーティン】,/watch?v=lIq84CluFUs,989493,丸山礼チャンネル,760000,2か月前,640101,155
丸山礼、入隊します 【stayhome】,/watch?v=SMnLy7BeoPA,496204,丸山礼チャンネル,760000,3か月前,640101,78
過去のネタ帳掘り出したけどあたしはこれを【黒歴史】だと認めないわ,/watch?v=AbMThX1tvsE,174476,丸山礼チャンネル,760000,3か月前,640101,27
丸山礼、おうちの防災グッズを紹介します！,/watch?v=RjNn0nj20KM,218722,丸山礼チャンネル,760000,3か月前,640101,34
도깨비 신부의 마음으로 이태원 클래스의 OST를 부르며 신라면을  먹방하는 여자 　ートッケビの花嫁の気持ちで梨泰院クラスのOSTを歌いながら辛ラーメンモッパンする女ー【ASMR】【먹방】,/watch?v=1zI5WzTnOo8,1047394,丸山礼チャンネル,760000,3か月前,640101,164
stayhomeしすぎた女の末路…,/watch?v=3RIpi87Inq0,771748,丸山礼チャンネル,760000,3か月前,640101,121
自分を土屋太鳳と信じて止まない一般女性がキャラメルポップコーン風のパンと青汁で優勝する動画,/watch?v=Mj3hvDBTuJQ,1148378,丸山礼チャンネル,760000,3か月前,640101,179
【ご報告】美術部部長 井上千晶、言いたいことがあります。,/watch?v=yfNXww2QPmk,899441,丸山礼チャンネル,760000,3か月前,640101,141
給料日当日に物欲が爆発したオンナの購入品紹介,/watch?v=CXYZrWN9Jtk,771047,丸山礼チャンネル,760000,4か月前,640101,120
エミリンのものまねしたら見た目がペ・ヨンジュンになった【エミリンウーバーイーツ食べ放題パロディ】,/watch?v=0DBpksPVT7c,971087,丸山礼チャンネル,760000,4か月前,640101,152
【Maltesers】モノマネしながらモルティーザースチョコを食い漁る女【新作モノマネあり】【먹방】,/watch?v=CmOrlpggwB4,1114769,丸山礼チャンネル,760000,4か月前,640101,174
ねえ今日誕生日だから新グッズを着てカロリー底なし爆食祭する【モッパン】【ASMR】,/watch?v=Ugr0wrzkJMg,678372,丸山礼チャンネル,760000,4か月前,640101,106
ちっさいおててでメイクしたけど極小プラスチックすぎておもてたんと違う 【TINY HANDS MAKEUP CHALLENGE 】,/watch?v=jPChFOuA_lM,294211,丸山礼チャンネル,760000,4か月前,640101,46
待った？うちの春コーデ見て【１週間コーデ】,/watch?v=oMrpyDkhVuU,737543,丸山礼チャンネル,760000,4か月前,640101,115
丸山礼コント「大学の石サークルの新入生歓迎会で独特な乾杯を要求する女子大生 早川さおり」,/watch?v=BF7QVAzQmc0,575093,丸山礼チャンネル,760000,5か月前,640101,90
【おるたなChannelコラボ】アラサー男子2人の恋バナを聞きながらお茶を召し上がれ〜？,/watch?v=686m7xPtnME,203885,丸山礼チャンネル,760000,5か月前,640101,32
一人暮らし歴6年女が新生活に本当に必要な物教えたげるからついてきな,/watch?v=kvLihW0aZZo,477799,丸山礼チャンネル,760000,5か月前,640101,75
あー！ストレス！ストレス！発散！発散！,/watch?v=cj2ZS6cRT7M,467869,丸山礼チャンネル,760000,5か月前,640101,73
みんな集まれ～！ネバネバちゃんたちてんこ盛りパーティー【ズボラ飯】【モッパン】,/watch?v=8sNEumD4plc,321545,丸山礼チャンネル,760000,5か月前,640101,50
