title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR風/咀嚼音】野菜大量摂取しちゃお！,/watch?v=Bo6VI7UBlYg,188,藤井菜央,494,1日前,528,36
【弾き語り】裸の心 / あいみょん,/watch?v=O-vD1ASX8_w,288,藤井菜央,494,3日前,528,55
【おうちごはん】誰でも作れる！超簡単ビビンバ作り！,/watch?v=JFl3Zo7ARlA,219,藤井菜央,494,6日前,528,41
【弾き語り】明日へ / MISIA,/watch?v=4dDBEFYE2C8,232,藤井菜央,494,1週間前,528,44
【マクドナルド】新商品食べてみた！〜あれ？ここもしかしてハワイ？〜,/watch?v=Ef8WfrJJkME,305,藤井菜央,494,1週間前,528,58
広島の友達にいきなり電話して、私の本性を暴露して！と言ったら・・・,/watch?v=BR4GrDnqa8g,501,藤井菜央,494,1週間前,528,95
【弾き語り】365日の紙飛行機 / AKB48,/watch?v=VPXGouWJNJs,327,藤井菜央,494,2週間前,528,62
【弾き語り】笑顔 / いきものがかり,/watch?v=MVd_A55YH7M,358,藤井菜央,494,2週間前,528,68
【おうちごはん】鰻を食べるだけの3分間（飯テロ）〜アフレコ付き〜,/watch?v=LVr7oG-1EFU,297,藤井菜央,494,2週間前,528,56
【思い出話】藤井菜央の吉本坂46への軌跡,/watch?v=tp0VG_p2rSw,446,藤井菜央,494,3週間前,528,84
【弾き語り】HAPPY BITHDAY / back number,/watch?v=C0AoRcIP7h4,384,藤井菜央,494,3週間前,528,73
【おうちごはん】キンパ作ってみたけど、想像以上に難しかった～！,/watch?v=NpXw2Ly3LqA,316,藤井菜央,494,3週間前,528,60
【弾き語り】カタオモイ / Aimer,/watch?v=djxcY6zrbw0,563,藤井菜央,494,4週間前,528,107
【弾き語り】恋人ごっこ / マカロニえんぴつ,/watch?v=OYZrDac7Wvo,696,藤井菜央,494,1か月前,528,132
【緊急企画】みんな助けて～！そろそろ”挨拶”を決めたい！,/watch?v=cqVNb-oF28A,412,藤井菜央,494,1か月前,528,78
【おうちごはん】激辛プルダックポックンミョンに挑戦！,/watch?v=YIMLUe5llFY,642,藤井菜央,494,1か月前,528,122
【弾き語り】香水 / 瑛人,/watch?v=tyBvSfSxtyY,1377,藤井菜央,494,1か月前,528,261
【おうちごはん】１８歳女子が作る生姜焼き定食,/watch?v=JBxHF7rlkEI,763,藤井菜央,494,1か月前,528,145
【初投稿】藤井菜央YouTubeはじめます！,/watch?v=G80VrrXJSOE,1713,藤井菜央,494,1か月前,528,324
