title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR FILET OF BEEF WELLINGTON MUKBANG 먹방 | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=Rn4kU9SNH44,1344244,Zach Choi ASMR,9560000,作成者:5日前,3059842,44
ASMR A5 WAGYU KATSU SANDO MUKBANG | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=VIVkAihA-Os,1916259,Zach Choi ASMR,9560000,作成者:2週間前,3059842,63
ASMR SPICY FRIED CHICKEN & CHEESE CORN MUKBANG | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=EsYhLHubh4k,2639754,Zach Choi ASMR,9560000,作成者:3週間前,3059842,86
ASMR TOMAHAWK STEAK & FRIES MUKBANG 먹방 | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=7UYelSOSo3Q,2855868,Zach Choi ASMR,9560000,作成者:1か月前,3059842,93
ASMR PHILLY CHEESESTEAK MAC N CHEESE MUKBANG | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=DLthdq_TVUM,1275991,Zach Choi ASMR,9560000,作成者:1か月前,3059842,42
ASMR SPICY NOODLES 비빔면 & PORK BELLY BOSSAM 보쌈 MUKBANG 먹방 (No Talking) COOKING & EATING SOUNDS,/watch?v=dJtQnqb7xG4,1113975,Zach Choi ASMR,9560000,1か月前,3059842,36
ASMR A5 JAPANESE WAGYU STEAK & CHEESE FONDUE MUKBANG | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=Lbo6d4aRkJM,3540521,Zach Choi ASMR,9560000,作成者:1か月前,3059842,116
ASMR BLACK BEAN FIRE NOODLES & CHEESY KIELBASA SAUSAGE MUKBANG (No Talking) COOKING & EATING SOUNDS,/watch?v=kv-tfu5mVnI,2229920,Zach Choi ASMR,9560000,1か月前,3059842,73
ASMR ULTIMATE MUSHROOM SWISS BURGER MUKBANG | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=Q7ibyf3eXFA,1487265,Zach Choi ASMR,9560000,作成者:1か月前,3059842,49
ASMR FRIED CHICKEN & BEER MUKBANG | EXTREME JOB | COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=R6kT82wDqE0,1543422,Zach Choi ASMR,9560000,作成者:1か月前,3059842,50
"ASMR GALAXY HONEYCOMB, JELLY NOODLES, GALAXY PLANET GUMMY, MACARONS, NERDS ROPE MUKBANG 먹방",/watch?v=ibDsq2ffTk0,6048912,Zach Choi ASMR,9560000,2か月前,3059842,198
ASMR CHEESY GIANT SPICY RICE CAKES & CHICKEN NUGGETS MUKBANG (No Talking) COOKING & EATING SOUNDS,/watch?v=1e--us7gnUo,1881746,Zach Choi ASMR,9560000,2か月前,3059842,61
ASMR NUCLEAR FIRE NOODLES & FILET MIGNON MUKBANG 먹방 (No Talking) COOKING & EATING SOUNDS | Zach Choi,/watch?v=BnskG2qMOy0,2612656,Zach Choi ASMR,9560000,2か月前,3059842,85
ASMR CARBONARA PASTA with CHICKEN MUKBANG (No Talking) COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=hXoMMS-x5XY,930024,Zach Choi ASMR,9560000,作成者:2か月前,3059842,30
ASMR PRIME RIBEYE & GARLIC ASPARAGUS MUKBANG (No Talking) COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=I_tmIGwU2gI,1504903,Zach Choi ASMR,9560000,作成者:2か月前,3059842,49
ASMR SPICY INDOMIE MI GORENG with GARLIC SHRIMP MUKBANG 먹방 (No Talking) EATING & COOKING SOUNDS,/watch?v=nBYv98wYVXk,3235219,Zach Choi ASMR,9560000,2か月前,3059842,106
ASMR JELLY NOODLES & NERDS ROPE & PLANET GUMMY & ROCK CANDY & MACARONS & POPPING BOBA MUKBANG 먹방,/watch?v=eZYblzPn2VE,2052026,Zach Choi ASMR,9560000,2か月前,3059842,67
ASMR CHEESY CHICKEN SANDWICH & FRIES MUKBANG 먹방 (No Talking) COOKING & EATING SOUNDS,/watch?v=eVzWZ60yzc4,2587374,Zach Choi ASMR,9560000,2か月前,3059842,85
ASMR CHEESY HASH BROWNS & SPAM & TRIPLE CHEESEBURGERS MUKBANG 먹방 (No Talking) EATING SOUNDS,/watch?v=k3fCgT2Hq7U,6474025,Zach Choi ASMR,9560000,2か月前,3059842,212
ASMR CHEESY SPICY RICE CAKES & CHICKEN WINGS & SAUSAGE MUKBANG (No Talking) EATING SOUNDS,/watch?v=A6Y7ZNYirOo,1284481,Zach Choi ASMR,9560000,2か月前,3059842,42
ASMR MUKBANG CHEESY FRIED CHICKEN & ONION RINGS & CHICKEN NUGGETS (No Talking) EATING SOUNDS,/watch?v=B83isGe_dho,1531486,Zach Choi ASMR,9560000,2か月前,3059842,50
ASMR EDIBLE SPOONS & POPPING BOBA & ROCK CANDY & MACARONS & ICE CUBES & PEEPS MARSHMALLOWS MUKBANG,/watch?v=U7yw9YAtdkY,2415781,Zach Choi ASMR,9560000,2か月前,3059842,79
ASMR BLACK BEAN FIRE NOODLES & SPAM MUKBANG (No Talking) COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=tSGQAxIcmrk,2138205,Zach Choi ASMR,9560000,作成者:2か月前,3059842,70
ASMR SPICY ENOKI MUSHROOM MUKBANG 먹방 (No Talking) COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=PFDbdJQmspE,2073349,Zach Choi ASMR,9560000,作成者:2か月前,3059842,68
ASMR NUCLEAR FIRE FRIED CHICKEN & ONION RINGS MUKBANG 먹방 (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=IcN7gBaUXjE,1823187,Zach Choi ASMR,9560000,作成者:2か月前,3059842,60
ASMR MUKBANG CHEESY CHICKEN NUGGETS & BBQ CHICKEN & GARLIC FRIES (No Talking) EATING SOUNDS,/watch?v=Y_zagyyN3vE,2137235,Zach Choi ASMR,9560000,2か月前,3059842,70
"ASMR YELLOW FOOD BANANA JELLY, MACARONS, JELLY NOODLES, ROCK CANDY, PEEPS MARSHMALLOWS MUKBANG 먹바",/watch?v=oRNM8cEFlts,1319996,Zach Choi ASMR,9560000,2か月前,3059842,43
ASMR MUKBANG CHEESY HASH BROWNS & SPICY FRIED CHICKEN & SHRIMP COCKTAILS (No Talking) EATING SOUNDS,/watch?v=db7NM-mli3g,1981025,Zach Choi ASMR,9560000,2か月前,3059842,65
ASMR SPICY FIRE NOODLES & BLUE JELLY NOODLES MUKBANG (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=v_jyAw3DFYw,2643627,Zach Choi ASMR,9560000,作成者:2か月前,3059842,86
"ASMR RED FOOD VS BLUE FOOD, GIANT GUMMY WORM, NERDS ROPE, PLANET GUMMY, ROCK CANDY, GUMMY BALLS 먹방",/watch?v=n_gb9aO70X8,2173857,Zach Choi ASMR,9560000,3か月前,3059842,71
ASMR MUKBANG CHEESY FILET MIGNON & SPAM (No Talking) COOKING & EATING SOUNDS | Zach Choi ASMR,/watch?v=st-CnDyRjt8,2349606,Zach Choi ASMR,9560000,作成者:3か月前,3059842,77
"ASMR RED JELLY ORBS & ROCK CANDY & DICE GUMMY & JELLY NOODLE, PEEPS MARSHMALLOWS & RED SPRINKLES",/watch?v=C-hbdu0zGIk,949924,Zach Choi ASMR,9560000,3か月前,3059842,31
ASMR MUKBANG CHICKEN WINGS & WAFFLE FRIES (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=wkv5Zx13ViE,1392964,Zach Choi ASMR,9560000,作成者:3か月前,3059842,46
ASMR MUKBANG CHEESY CHICKEN NUGGETS & SPICY CHICKEN SANDWICH & MAC N CHEESE (No Talking),/watch?v=2x6_XyiJ8x0,1728676,Zach Choi ASMR,9560000,3か月前,3059842,56
ASMR GREEN FOOD JELLY NOODLES & EDIBLE SPOONS & MACARONS & ROCK CANDY & GREEN ROLL CAKE & CREPE CAKE,/watch?v=sAJsx3CfR4w,2340353,Zach Choi ASMR,9560000,3か月前,3059842,76
ASMR MUKBANG BLACK BEAN FIRE NOODLES & CHEESY ONION RINGS (No Talking) COOKING & EATING SOUNDS,/watch?v=uAZS3Nbi7K0,3832315,Zach Choi ASMR,9560000,3か月前,3059842,125
ASMR GALAXY CANDY & PLANET GUMMY & NERD ROPE & JELLY NOODLES & GALAXY ROCKS (No Talking),/watch?v=oxOPZoVsZEE,5736804,Zach Choi ASMR,9560000,3か月前,3059842,187
ASMR MUKBANG SPICY INDOMIE MI GORENG & CHEESY SPICY FRIED CHICKEN (No Talking) EATING SOUNDS,/watch?v=y7cUgGXu-c4,2178185,Zach Choi ASMR,9560000,3か月前,3059842,71
ASMR MUBANG TRIPLE CHEESEBURGERS & CHICKEN WINGS & CHICKEN NUGGETS (No Talking) EATING SOUNDS,/watch?v=LVsaKm-eaRA,1401998,Zach Choi ASMR,9560000,3か月前,3059842,46
ASMR MUKBANG CHEESY BBQ CHICKEN & CHEESY SPAM & CHEESY HASH BROWNS (No Talking) EATING SOUNDS,/watch?v=5N8ihTQPWg0,2163111,Zach Choi ASMR,9560000,3か月前,3059842,71
ASMR MUKBANG SHRIMP COCKTAILS & EXTRA CHEESY PIZZA (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=AxbZntccjK0,1106508,Zach Choi ASMR,9560000,作成者:3か月前,3059842,36
ASMR MUKBANG KFC FRIED CHICKEN & CHICKEN SANDWICHES & POPCORN CHICKEN & MAC N CHEESE (No Talking),/watch?v=bgtQh-O4DHQ,5067597,Zach Choi ASMR,9560000,3か月前,3059842,166
ASMR MUKBANG BLACK BEAN FIRE NOODLES & CHICKEN NUGGETS (No Talking) EATING SOUNDS,/watch?v=4a_NGIdhqKw,8257637,Zach Choi ASMR,9560000,3か月前,3059842,270
ASMR MUKBANG TRIPLE CHEESEBURGERS & CHICKEN WINGS & ONION RINGS (No Talking) EATING SOUNDS,/watch?v=kEHyckvcJwM,995614,Zach Choi ASMR,9560000,3か月前,3059842,33
ASMR MUKBANG FRIED CHICKEN & HASH BROWNS with HONEY (No Talking) EATING SOUNDS,/watch?v=z50Mfyj2M3A,988504,Zach Choi ASMR,9560000,3か月前,3059842,32
ASMR MUKBANG CHEESY SPAM & SHRIMP COCKTAILS (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=BP75tmhqSso,2053229,Zach Choi ASMR,9560000,作成者:3か月前,3059842,67
ASMR MUKBANG FRIED CHICKEN & STRETCHY CHEESE & ONION RINGS & RICE CAKES (No Talking) EATING SOUNDS,/watch?v=jJNuu6KNVOs,1393777,Zach Choi ASMR,9560000,3か月前,3059842,46
ASMR CHEESY BBQ CHICKEN & TRIPLE CHEESEBURGERS & HASH BROWNS (No Talking) EATING SOUNDS,/watch?v=sP2O2bjT2V4,3180922,Zach Choi ASMR,9560000,3か月前,3059842,104
ASMR MUKBANG S'MORES DIP & CREPE CAKE & MOCHI ICE CREAM & MACARONS & MACARON ICE CREAM (No Talking),/watch?v=9OnWI2hPe6I,1164285,Zach Choi ASMR,9560000,3か月前,3059842,38
ASMR MUKBANG ASMR PHILLY CHEESESTEAK & FRIES (No Talking) COOKING & EATING SOUNDS,/watch?v=1Rt_3GaZZSs,1205256,Zach Choi ASMR,9560000,3か月前,3059842,39
ASMR MUKBANG SPICY CHICKEN SANDWICH & CHEESY ONION RINGS & TRIPLE CHEESEBURGER (No Talking),/watch?v=1zFpLCWXgA4,1062111,Zach Choi ASMR,9560000,3か月前,3059842,35
"ASMR MUKBANG THAI FOOD (SPICY NOODLES, FRIED RICE, PAD THAI, CURRY) No Talking | EATING SOUNDS",/watch?v=W2wYb2bJi8Y,807266,Zach Choi ASMR,9560000,4か月前,3059842,26
ASMR MUKBANG GIANT CHEESY SPICY RICE CAKES & BBQ CHICKEN (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=f2-D8nNS7zI,1624381,Zach Choi ASMR,9560000,作成者:4か月前,3059842,53
ASMR MUKBANG DOUBLE BIG MAC & CHEESY HASH BROWNS & CHICKEN NUGGETS (No Talking) EATING SOUNDS,/watch?v=--ZI0dSbbNU,2263368,Zach Choi ASMR,9560000,4か月前,3059842,74
ASMR MUKBANG BLACK BEAN FIRE NOODLES & EXTRA CHEESY PIZZA (No Talking) EATING SOUNDS | Zach Choi,/watch?v=IkH0xOP_n_I,4984217,Zach Choi ASMR,9560000,4か月前,3059842,163
ASMR MUKBANG CHICKEN WINGS & ONION RINGS & WAFFLE FRIES & CORN (No Talking) EATING SOUNDS,/watch?v=2iLqJe2jXOI,1140913,Zach Choi ASMR,9560000,4か月前,3059842,37
ASMR MUKBANG DOUBLE CHEESEBURGER & ONION RING & CHICKEN NUGGETS & CURLY FRIES (No Talking),/watch?v=cHzXw6yAzFU,1598282,Zach Choi ASMR,9560000,4か月前,3059842,52
ASMR MUKBANG SPICY FIRE NOODLES & BBQ CHICKEN (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=-edb9TrQpAU,2078312,Zach Choi ASMR,9560000,作成者:4か月前,3059842,68
ASMR MUKBANG TRIPLE CHEESEBURGERS & CHEESY HASH BROWNS (No Talking) EATING SOUNDS | Zach Choi ASMR,/watch?v=RSqU8e_0o8M,3108675,Zach Choi ASMR,9560000,作成者:4か月前,3059842,102
