title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
インスタの質問答えます！おしゃれな写真の撮り方・加工・撮影スポット選びなど,/watch?v=iEVcYddrWiI,6319,k,86800,,92173,7
オカムラ コンテッサ セコンダの魅力を語る！心からおすすめできる素晴らしいオフィスチェア,/watch?v=NFXMuBqz3I8,26256,k,86800,,92173,28
【キッチンツアー後編】一人暮らしのシンク下の収納 おしゃれで便利な調理器具 おすすめ調味料,/watch?v=ZCmWjWwY1fM,27800,k,86800,,92173,30
【キッチンツアー前編】一人暮らしのキッチン収納やシンク周りの収納 おすすめキッチン用品や調味料も紹介します,/watch?v=aAwjiZ3SsU4,41690,k,86800,,92173,45
おしゃれなYouTube動画の作り方 カメラ機材の選び方から撮影方法 動画編集のやり方まで,/watch?v=QMau54t30k4,25542,k,86800,,92173,28
【おすすめサブスクリプション】僕が加入しているサブスク全部紹介！音楽や動画やクリエイティブ系も,/watch?v=BLCPRxcFUOk,23065,k,86800,,92173,25
デスクツアー シンプルで快適な社会人のワークデスク ドッキングステーションとOrbital2を使った動画編集も紹介,/watch?v=uG6r1fc2Ucw,79582,k,86800,,92173,86
フレンチブルドッグこたつのルーティン [Kotatsu Vlog],/watch?v=du_9Hk6m4KY,101168,k,86800,,92173,110
無印良品の購入品を全紹介 話題の水ボトルやキッチンアイテム、コオロギせんべいも・・,/watch?v=zYHgZmIMK28,117144,k,86800,,92173,127
IKEA購入品おすすめ22アイテム全紹介 【2020最新IKEA HAUL】一人暮らし向けキッチンアイテム多め,/watch?v=lehrLAtj3vo,61835,k,86800,,92173,67
Tokyo Vlog 10【IKEA原宿】一人暮らし社会人(男)の休日の過ごし方,/watch?v=TkEoWZg9OaI,47809,k,86800,,92173,52
買って良かったもの2020年4月〜6月【おうち時間やリモートワークを快適にするアイテムなど】,/watch?v=aiQVJnGnzrY,75238,k,86800,,92173,82
アイスコーヒーと水出しコーヒーの作り方とコーヒーグッズ 器具の紹介【おまけ：ミルク出しコーヒーの作り方】,/watch?v=kWKxTp8ljgg,44637,k,86800,,92173,48
家計簿アプリでラクに一人暮らし社会人のお金を管理【マネーフォワードMEの使い方】,/watch?v=Y40f_rVL80s,16649,k,86800,,92173,18
琥珀糖の作り方 簡単で失敗しないレシピ【咀嚼音 ASMRも】,/watch?v=aPWF5KTeyvw,30674,k,86800,,92173,33
UNIQLO U 2020で夏のメンズ1週間コーデ【エアリズムコットンオーバーサイズTシャツ最強説】,/watch?v=AshhVwBbgSY,122973,k,86800,,92173,133
Tokyo Vlog 09【渋谷】一人暮らし社会人(男)の休日の過ごし方,/watch?v=LAV_ygGSgL4,49923,k,86800,,92173,54
MacBook Proをクラムシェルモードで使うためのデスク周辺機器と配線整理方法【デスクセットアップ後編】,/watch?v=M6E-VLWO1_M,174039,k,86800,Proをクラムシェルモードで使うためのデスク周辺機器と配線整理方法【デスクセットアップ後編】作成者:imimaro2か月前,92173,189
34インチ ウルトラワイドモニタをモニタアームで浮かせてデスクをスッキリおしゃれにする【デスクセットアップ前編】,/watch?v=Dj30SFvq6PU,172691,k,86800,,92173,187
大人メンズのスキンケアルーティン 【無印良品多め】,/watch?v=vNzTAs41x_E,45469,k,86800,,92173,49
オレンジピール豆乳パンの簡単な作り方 台湾を思い出す朝食,/watch?v=DdVbRWZz534,12904,k,86800,,92173,14
【犬用グッズ】フレンチブルドッグこたつの服や首輪 便利アイテムやケア用品など紹介します,/watch?v=PjFA4sVqhB4,48022,k,86800,,92173,52
本格スパイスキーマカレーの作り方 レシピ動画【男の料理】,/watch?v=QrIZ0CqLpkU,18362,k,86800,,92173,20
小型プロジェクターで一人暮らしの部屋のおうち時間を楽しむならNebula Capsule 2がおすすめ【使い方とレビュー】,/watch?v=Jt5-LIErtOI,104659,k,86800,,92173,114
【過去動画を見る 後編】kimimaroチャンネル開設1周年！過去動画をプレーバックします,/watch?v=UqS-21UCrS4,12186,k,86800,,92173,13
【過去動画を見る 前編】kimimaroチャンネル開設1周年！過去動画をプレーバックします,/watch?v=OfnJAjlmUss,20945,k,86800,,92173,23
【外出自粛ルーティン】社会人(男)の平日のリモートワークとおうち時間 stay home vlog,/watch?v=PfJFSJmR4n4,152691,k,86800,,92173,166
スマホの中身紹介 社会人(男)のおすすめアプリ,/watch?v=tCU1in5vJLU,73873,k,86800,,92173,80
買って良かったもの2020年1月〜3月【大人の男が選ぶおすすめの服・ガジェット・生活雑貨】,/watch?v=VMKqOsa-aGQ,128215,k,86800,,92173,139
おうちカフェのおしゃれな撮り方とインスタ加工のやり方【いちご飴 ダルゴナコーヒー 編】,/watch?v=mqxwl9ODYOQ,21891,k,86800,,92173,24
Tokyo Vlog 08【中目黒】一人暮らし社会人(男)の休日の過ごし方,/watch?v=tvKSLcSm4Kw,39398,k,86800,,92173,43
Tokyo Vlog 07【下北沢】一人暮らし社会人(男)の休日の過ごし方,/watch?v=ocUG9_jMxZ8,71472,k,86800,,92173,78
社会人(男)の休日バッグの中身 ミニマリストではないけどコンパクトに,/watch?v=MxXGJrwJs50,47444,k,86800,,92173,51
Tokyo Vlog 06【浅草・蔵前】一人暮らし社会人(男)の休日の過ごし方,/watch?v=9aSA5S5E4yk,75033,k,86800,,92173,81
一人暮らし社会人(男)のルームツアー【後編】統一感のあるインテリアを心がける,/watch?v=Ecm0xNwoBe0,136933,k,86800,,92173,149
一人暮らし社会人(男)のルームツアー【前編】おしゃれで丁寧な生活を送りたい,/watch?v=N34uEmjGRk0,196837,k,86800,,92173,214
Tokyo Vlog 05【表参道】一人暮らし社会人(男)の休日の過ごし方,/watch?v=xSN8MmB5uDc,115071,k,86800,,92173,125
ASMR 犬の咀嚼音 バースデーケーキ・エサ・ボーンをフレンチブルドッグのこたつが食べ尽くす！,/watch?v=y3dF_0ZmxJ0,39007,k,86800,,92173,42
ASMR 犬の睡眠と寝起きの生活音 寝るときもフレンチブルドッグこたつは喋っているのかもしれない,/watch?v=6KChNz7LHJw,51316,k,86800,,92173,56
Tokyo Vlog 04【二子玉川】一人暮らし社会人(男)の休日の過ごし方,/watch?v=2L3cLnRbwB8,58715,k,86800,,92173,64
MOFT Xレビュー 超薄スマートなスマホ・タブレットスタンド,/watch?v=nRQ7-K39_ak,29144,k,86800,,92173,32
Tokyo Vlog 03【築地場外市場・有楽町・東京駅】一人暮らし社会人(男)の休日の過ごし方,/watch?v=oY0AOF8cpTA,113168,k,86800,,92173,123
インスタの写真をLightroomでおしゃれに加工する方法,/watch?v=_KBLnRXqvVo,18559,k,86800,,92173,20
Tokyo Vlog 02【奥渋谷】一人暮らし社会人(男)の休日の過ごし方,/watch?v=TZIrombXlGM,129987,k,86800,,92173,141
リピート買い必至の台湾土産はコレ！調理方法も紹介します,/watch?v=EIncUEa0rIw,19995,k,86800,,92173,22
