title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
まるで本物５０万の美人ラブドールとリビングで遊んでたらレイナさん勘違いやばいwww,/watch?v=iqWbQTBRZNo,155941,ぷろたん日記,1780000,21時間前,636074,25
巨大チャーシュー増し増し二郎系ラーメンが超濃厚こってりし過ぎて最高,/watch?v=qHRk5g234FA,199857,ぷろたん日記,1780000,1日前,636074,31
俺が思う最高のファミマの激太りする朝ごはんがコレ！！,/watch?v=npWAOAHPOJQ,214569,ぷろたん日記,1780000,4日前,636074,34
濃厚味噌タレ巨大とんかつ定食が究極にご飯と合う,/watch?v=CDBZYVF_pdc,215578,ぷろたん日記,1780000,5日前,636074,34
懐かしのあの子を超デカGカップに豊胸させたら胸元がエロ過ぎて目が合わせれない,/watch?v=DTW4rJwR8ew,289993,ぷろたん日記,1780000,6日前,636074,46
罪悪感ある深夜に絶対食べちゃダメなセブンの激太りご飯が堪らない美味さで幸せ,/watch?v=nZwFQud2gf4,365167,ぷろたん日記,1780000,1週間前,636074,57
バスケ界のNo. 1ともやんと１点取るまでガチの１ON１対決したら化け物過ぎた,/watch?v=76ituaG0zcA,292158,ぷろたん日記,1780000,1週間前,636074,46
ご飯３合とマヨ唐揚げ１００個タワーにして食べたら米が進む進む！,/watch?v=kxeihcK4U2s,355402,ぷろたん日記,1780000,1週間前,636074,56
話題の超サクサクもちもち巨大たい焼きが無限に食える,/watch?v=dsuC_c-EmfI,254427,ぷろたん日記,1780000,1週間前,636074,40
レイナさんが俺の誕生日にドン引きする高額プレゼント買って結婚固めにきたwww,/watch?v=nvIhen7dBI8,312383,ぷろたん日記,1780000,2週間前,636074,49
じゃがりこを衣にした特大唐揚げの食感が過去一サクサクで最高だった,/watch?v=R1z3O5qPHEg,348463,ぷろたん日記,1780000,2週間前,636074,55
どちらが多く濃厚ラーメン大食いできるかやったら想像以上に食えすぎて最高の気分。,/watch?v=_vAw8Q_FL1U,274070,ぷろたん日記,1780000,2週間前,636074,43
レイナさんとデート中に偶然に元カノと出くわして気まず過ぎた映像がこちらです。,/watch?v=QVURHlr_1-k,641985,ぷろたん日記,1780000,3週間前,636074,101
深夜にファミマの絶対太るおかずと米が最高に罪悪感だけど堪らない。,/watch?v=p2Ps_8iTnZQ,498890,ぷろたん日記,1780000,3週間前,636074,78
世界一デカい揚げパンにかぶりついたらサックサクのモチモチで最高すぎ【巨大学校給食】,/watch?v=H8slm-B4L0o,466346,ぷろたん日記,1780000,3週間前,636074,73
殴られ屋中に大事な髪の毛掴んで顔面パンチしたら撮影中断する程キレられた。,/watch?v=k3kbalRqr4k,290711,ぷろたん日記,1780000,3週間前,636074,46
一食で3kgも増えた5000kcalの朝飯が最高すぎたけど罪悪感やばい,/watch?v=Pn_vbNzj2QY,422885,ぷろたん日記,1780000,4週間前,636074,66
この家に引っ越します！筋肉だけで稼いだ男の一人暮らしがコレです！！,/watch?v=sYt2bpyNKEw,550538,ぷろたん日記,1780000,1か月前,636074,87
【台所一人立ち食い焼肉】極厚すぎるタン２kgを網焼きしてご飯と食べたら本当にヤバい美味い,/watch?v=BMxzLMnq9sU,734309,ぷろたん日記,1780000,1か月前,636074,115
筋トレ誘ったらレイナさんの胸が無残な形になってるので見てください泣,/watch?v=Lmz27EYuUqs,641098,ぷろたん日記,1780000,1か月前,636074,101
５日間断食後に5000kcal一気に大好物食べたら今までで1番幸せだった,/watch?v=c2cQkL-um28,620658,ぷろたん日記,1780000,1か月前,636074,98
１週間固形物食べずに水だけで生活したら１週間後身体がとんでもない状態になってた！,/watch?v=Zqtq8L18IQg,962383,ぷろたん日記,1780000,1か月前,636074,151
同棲中絶対見せてくれないレイナさんの部屋マジで見なきゃ良かった・・,/watch?v=C3w5GKiRFG8,427476,ぷろたん日記,1780000,1か月前,636074,67
【リベンジ】朝倉未来に目隠しさせてスパーリング挑んだらボッコボコにできて最高だった,/watch?v=lQeUdRpz2Ps,655526,ぷろたん日記,1780000,1か月前,636074,103
