title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音 お餅】バター揚げ餅 磯辺巻き作って食べるだけ♪ ASMR おもち 飯テロ / sweets / Eating sounds 音フェチ / no talking / おすすめ,/watch?v=-FUPJW7QPcw,1027,ANMI Channel ASMR,79,1年前,380,270
【咀嚼音】ファミマのスイーツ3種食べるだけ♪ 抹茶 もちっと丸ち～ず バウムクーヘン飯テロ / sweets / Eating sounds 音フェチ / no talking / おすすめ,/watch?v=Ps14-KkoJug,556,ANMI Channel ASMR,79,1年前,380,146
【咀嚼音・韓国・飯テロ】手作りトッポギ食べるだけ♪ 飯テロ / korea / Eating sounds 音フェチ / no talking / おすすめ / 떡볶이,/watch?v=EWMYlZUdAvM,353,ANMI Channel ASMR,79,1年前,380,93
【咀嚼音・asmr】ミスドの限定ポンデリング・カスタードフレンチ食べるだけ♪ 飯テロ / sweets / Eating sounds 音フェチ / no talking / Mister Donut,/watch?v=TmdDuBMgc38,816,ANMI Channel ASMR,79,1年前,380,215
【咀嚼音】浪花屋総本店のたい焼き食べるだけ♪ / Japanese sweets Taiyaki / Eating sounds 音フェチ asmr ASMR / no talking,/watch?v=oCaT0yh_WvA,526,ANMI Channel ASMR,79,1年前,380,138
【咀嚼音・飯テロ】まるごとバナナ食べるだけ♪クリームたっぷり！ / Banana sweets / Eating sounds 音フェチ asmr ASMR / no talking,/watch?v=cZg4WItakSs,531,ANMI Channel ASMR,79,1年前,380,140
【咀嚼音・揚げ物】カリッふわっアメリカンドッグ♪ / American hotdogs / Eating sounds 音フェチ asmr ASMR / no talking,/watch?v=v3NAOULRjeM,288,ANMI Channel ASMR,79,1年前,380,76
【咀嚼音】ナゲット＆チョコパイ2つ♪ /  Eating sounds 音フェチ ASMR / no talking / McDonald's  Chicken nuggets,/watch?v=i6NRytNOioU,367,ANMI Channel ASMR,79,1年前,380,97
【咀嚼音】大きい梨！まるまる一つ食べるだけ♪ / Eating 먹방 音フェチ asmr ASMR / eating sounds / no talking / Japanese pear,/watch?v=3_6rk5IKT3M,159,ANMI Channel ASMR,79,1年前,380,42
【咀嚼音/深夜の飯テロ】ファミマのクワトロチーズまん＆あんまん食べるだけ♪ほかほか中華まん☆　ASMR / eating sounds / no talking /,/watch?v=gpf95sAnquE,324,ANMI Channel ASMR,79,1年前,380,85
【咀嚼音/ASMR】手作りりんごトースト食べるだけ♪シャウエッセンも！さくさくジューシーアップルパイ風♪ / apple pie / eating sounds / no talking,/watch?v=4I5_huXwroA,171,ANMI Channel ASMR,79,1年前,380,45
【咀嚼音/ASMR】さくさくいちごポッキー 果肉たっぷり激ウマ！一気食い♪ / strawberry pocky / sweets / eating sounds / no talking,/watch?v=_KTTR_0xGIc,94,ANMI Channel ASMR,79,1年前,380,25
【咀嚼音/ASMR】成城石井ふんわりたまごパン♪ / Egg Bread / sweets / eating sounds / no talking,/watch?v=O46otviEWGk,622,ANMI Channel ASMR,79,1年前,380,164
【咀嚼音/ASMR】成城石井の濃厚プレミアムチーズケーキ♪  / Cheesecake / sweets / eating sounds / no talking,/watch?v=vfTVGas9qLA,199,ANMI Channel ASMR,79,1年前,380,52
【咀嚼音/ASMR】新発売！サクサク濃厚チーズおかき♪ Japanese food OKAKI / rice crackers / eating sounds / no talking,/watch?v=FMe5Huymy4s,106,ANMI Channel ASMR,79,1年前,380,28
【咀嚼音 辻利の抹茶ブッセアイス♡ ASMR】スイーツ クリーム 音フェチ Eating sweets | Eating Sounds | No Talking,/watch?v=jiMmOPMpEZA,216,ANMI Channel ASMR,79,1年前,380,57
【咀嚼音 ASMR】 りんご 音フェチ Eating Apples | Fruit Eating Sounds | No Talking,/watch?v=okLrpUSpSv8,97,ANMI Channel ASMR,79,1年前,380,26
