title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR * タンミョンカルボナーラとフランクフルト(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang notalking 食べる音,/watch?v=ImonqhyNKDg,3834,ASMR aaAsahI,775,,2170,177
ASMR *プルタックカルボナーラと海老(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=dxH9ynzIMpE,1923,ASMR aaAsahI,775,,2170,89
ASMR *モンテクリストと蟹クリームコロッケ(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=68H7CbVZtLk,6333,ASMR aaAsahI,775,,2170,292
ASMR *コーン味噌バターうどん (EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=t1n-3tON48o,2622,ASMR aaAsahI,775,,2170,121
ASMR *エビクリームパスタ (EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=VGfPeoAJCWI,17826,ASMR aaAsahI,775,,2170,821
ASMR * 柿の種唐揚げ(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=itjvTxTwak8,2998,ASMR aaAsahI,775,,2170,138
ASMR * オニオンリングとアメリカンドッグ(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=yb79ZhqEWvQ,2579,ASMR aaAsahI,775,,2170,119
ASMR *チーズボール(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=7LIoqBBZbcc,8296,ASMR aaAsahI,775,,2170,382
ASMR *蒙古タンメン中本の辛旨焼そば(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=-QOd50hLF3g,2557,ASMR aaAsahI,775,,2170,118
ASMR *明星の塩焼きそば (EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=8I3h3oxrmSY,2021,ASMR aaAsahI,775,,2170,93
ASMR *ちくわとシソの天ぷらと卵焼き (EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=3sUKTBOP5ro,2980,ASMR aaAsahI,775,,2170,137
ASMR *揚げウインナー(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=mdL0wBkF_3o,2016,ASMR aaAsahI,775,,2170,93
ASMR * 豆乳キムチうどん(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=dZpz5L1-2x8,1660,ASMR aaAsahI,775,,2170,76
ASMR *唐揚げとプチトマト(EATINGSOUNDS) 咀嚼音 音フェチ eating show Mukbang  notalking 食べる音,/watch?v=iWxr632QSNA,1627,ASMR aaAsahI,775,,2170,75
