title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[音フェチ]お昼でも唐揚げとビールは美味い(囁き)[asmr],/watch?v=sgvfVbtsdGI,1668,ASMR p,12600,,13082,13
[音フェチ]ネイルとアイシャドウ(囁き)[asmr],/watch?v=chhpIwHKDcI,2743,ASMR p,12600,,13082,21
[音フェチ]瓶の音、砂の音(小声)[asmr],/watch?v=xNvaNl7bC5Q,2377,ASMR p,12600,,13082,18
[音フェチ]真夜中のフレンチトースト(ほぼ映ってない),/watch?v=GU0uPH3N4Ak,3000,ASMR p,12600,,13082,23
[音フェチ]マニキュア指甲油(小声)[asmr],/watch?v=Qxys57ApXxs,1290,ASMR p,12600,,13082,10
[音フェチ]焼き菓子とキャベツを食べる(囁き)[asmr],/watch?v=BPernuwbePg,1630,ASMR p,12600,,13082,12
[音フェチ]食器紹介(小声)[asmr],/watch?v=EluVD5KnDqo,2158,ASMR p,12600,,13082,16
[音フェチ]アイスの咀嚼音(囁き)[asmr],/watch?v=xf-LpjSJL_Y,1812,ASMR p,12600,,13082,14
[音フェチ]CANDO購入品、スライム[小声](asmr),/watch?v=E8HjHGKyt4g,1999,ASMR p,12600,,13082,15
※音量注意　ソリティアしてるだけ,/watch?v=F2Oply5e7xw,1581,ASMR p,12600,,13082,12
[音フェチ]タイピング(無言)[asmr],/watch?v=-uItu286gWc,2408,ASMR p,12600,,13082,18
[音フェチ]アクセサリー、収納(小声)[asmr],/watch?v=1QALSUIlF-Y,3236,ASMR p,12600,,13082,25
[音フェチ]ネイル(囁き)[asmr],/watch?v=xaIa28o62KA,2679,ASMR p,12600,,13082,20
[音フェチ]ピアスの紹介(小声)[asmr],/watch?v=kau06UxTwuI,4455,ASMR p,12600,,13082,34
[音フェチ]チョコレート開封、食べる(囁き)[asmr],/watch?v=BYarL_nawbM,2157,ASMR p,12600,,13082,16
[音フェチ]苺のお菓子の咀嚼音(囁き)[asmr],/watch?v=FJZexgfMWJA,1939,ASMR p,12600,,13082,15
明けましてハッピーバレンタイン。,/watch?v=HnyBVHJt0JU,2617,ASMR p,12600,,13082,20
[音フェチ]手帳、スマホケース紹介(小声)[asmr],/watch?v=0KbsIxZJkN0,3669,ASMR p,12600,,13082,28
[音フェチ]ネイル、玉転がしの巻(小声)[asmr],/watch?v=CQad9uM4rrA,3105,ASMR p,12600,,13082,24
[音フェチ]お漬物ポリポリ(無言)[asmr],/watch?v=rRl1Cn-ptCA,1899,ASMR p,12600,,13082,15
[音フェチ]髪を梳かして巻く(囁き)[asmr],/watch?v=8tjAJzY3Sf4,5812,ASMR p,12600,,13082,44
[音フェチ]マスクの紹介？(小声)[asmr],/watch?v=GqPMlODeqVo,5961,ASMR p,12600,,13082,46
[音フェチ]桜色のゆびさき(小声)[asmr],/watch?v=R4Pe97V_1NQ,3732,ASMR p,12600,,13082,29
［音フェチ］出勤前のお化粧(声無)［asmr］,/watch?v=28UuZRURgrc,5182,ASMR p,12600,,13082,40
What's in my bag 小声でカバンの中身紹介,/watch?v=QePT334n_jU,8190,ASMR p,12600,,13082,63
[音フェチ]購入品紹介(ささやき)[asmr],/watch?v=O4mBlpcw5uk,7365,ASMR p,12600,,13082,56
［音フェチ]お化粧をする(小声)[asmr],/watch?v=SyyHXZ8XEuM,12777,ASMR p,12600,,13082,98
ぐでんぐでん雑談(小声),/watch?v=P8EJgu8OUMA,4919,ASMR p,12600,,13082,38
[音フェチ]炭の音(小声)[asmr],/watch?v=uNmdeTAisCg,6962,ASMR p,12600,,13082,53
[音フェチ]メイクブラシでササッ(小声)[asmr],/watch?v=XBVwGh4_LHU,4378,ASMR p,12600,,13082,33
小声でメキシコ雑貨の紹介,/watch?v=JFc7bZL0Lds,7002,ASMR p,12600,,13082,54
[音フェチ]購入品カバン靴アクセサリー(小声)［asmr],/watch?v=g6ElvuQ-AH0,9232,ASMR p,12600,,13082,71
[音フェチ]ネイル、落とす、塗る(小声)[asmr],/watch?v=NgApkUdMXyY,6703,ASMR p,12600,,13082,51
新宿御苑にて,/watch?v=4OMWzVFZNSk,1926,ASMR p,12600,,13082,15
[音フェチ]アクセサリー収納(小声)[asmr],/watch?v=9DDoS17UEWQ,6711,ASMR p,12600,,13082,51
[音フェチ]スクラッチアート２(小声)[asmr],/watch?v=aWIXkyypL-c,4508,ASMR p,12600,,13082,34
[音フェチ]スクラッチアート(小声)[asmr],/watch?v=z-qzN-lpRrE,4385,ASMR p,12600,,13082,34
[音フェチ]nail polish(小声)[asmr],/watch?v=GQQwZP0sMUo,7488,ASMR p,12600,,13082,57
今年もよろしくお願いします♪[asmr],/watch?v=WmSHceJ5Srk,4368,ASMR p,12600,,13082,33
[音フェチ]手帳紹介と書く音(小声)[japanese asmr],/watch?v=HO1AI7lwmbk,6637,ASMR p,12600,,13082,51
[音フェチ]アクセサリー紹介(小声)[asmr],/watch?v=kqc5blKzgbk,7096,ASMR p,12600,,13082,54
[音フェチ]購入品のご紹介(小声)[asmr],/watch?v=b7B7WYybZm4,14662,ASMR p,12600,,13082,112
第一回プレゼント企画☆当選者様発表,/watch?v=D_XeLX61rPw,3843,ASMR p,12600,,13082,29
締め切りました。 はじめてのプレゼント企画☆,/watch?v=64t_VE4ouXY,5281,ASMR p,12600,,13082,40
[音フェチ]ネイル nail polish (小声)[asmr],/watch?v=D_9Q8Wy-pxU,8561,ASMR p,12600,,13082,65
[音フェチ]手作りピアス紹介(小声)[asmr],/watch?v=E1dZ4ZwiwH0,7318,ASMR p,12600,,13082,56
[音フェチ]パーツの紹介(小声)[asmr],/watch?v=Iye0U48mfA0,8677,ASMR p,12600,,13082,66
[音フェチ]さくらのお菓子(小声)[asmr],/watch?v=-dVgJJYHLFE,7535,ASMR p,12600,,13082,58
[音フェチ]文旦の皮剥き、咀嚼音有り(小声)[asmr],/watch?v=DSPHIWTG0P4,4632,ASMR p,12600,,13082,35
小声でオススメのアプリ紹介,/watch?v=0LwUO2dAbkI,5149,ASMR p,12600,,13082,39
囁き声で2017年１本目の動画☆,/watch?v=D_7N6VzZ4f8,7438,ASMR p,12600,,13082,57
[音フェチ]ネイル(小声)[asmr],/watch?v=ft95aNCgiGc,7778,ASMR p,12600,,13082,59
ささやき声で近況☆,/watch?v=04_WNn4-u3k,10412,ASMR p,12600,,13082,80
[音フェチ]絵本の読み聞かせ(小声)[asmr],/watch?v=YVqncAcVGq0,4717,ASMR p,12600,,13082,36
[音フェチ]ゆるい購入品紹介(小声)[asmr],/watch?v=Xxo8C3ZMp_g,14743,ASMR p,12600,,13082,113
[音フェチ]ホロネイル(小声)[asmr],/watch?v=ZYns3yS1aAY,11521,ASMR p,12600,,13082,88
[音フェチ]石の音(小声)[asmr],/watch?v=ZxUCW3QbAZU,11727,ASMR p,12600,,13082,90
[音フェチ]もみもみ動画(小声)[asmr],/watch?v=_fd66hotSBo,10394,ASMR p,12600,,13082,79
[音フェチ]おせんべいの咀嚼音(囁き)eating rice cracker[asmr],/watch?v=i3l8LjoZ7KA,7046,ASMR p,12600,,13082,54
[音フェチ]購入品、ペン、筆箱、雑談(小声)[asmr],/watch?v=M6Gn9gZFbZI,22249,ASMR p,12600,,13082,170
[音フェチ]コスメ、ポーチの中身(小声)[asmr],/watch?v=77lkgqIPBP4,34460,ASMR p,12600,,13082,263
[音フェチ]コットンの音(囁き)[asmr],/watch?v=Qx3X5pvUAtM,9332,ASMR p,12600,,13082,71
[音フェチ]レジンパーツ(小声)[asmr],/watch?v=5BawKYcLiPs,10433,ASMR p,12600,,13082,80
[音フェチ]Ｗhat's in my bag カバンの中身(小声)[asmr],/watch?v=0OE0z1t63_g,39497,ASMR p,12600,,13082,302
[音フェチ]hair brushing(小声)[asmr],/watch?v=DJotXvMSvBE,17831,ASMR p,12600,,13082,136
[音フェチ]岩塩キャンドル、塩の音(小声)[asmr],/watch?v=ndPjatNN2So,13887,ASMR p,12600,,13082,106
[音フェチ]強めネイルタッピング(無言)[asmr],/watch?v=pZynV6NmLpI,9187,ASMR p,12600,,13082,70
[音フェチ]付箋の開封(囁き)[asmr],/watch?v=ollGvJMBd2U,12324,ASMR p,12600,,13082,94
小声でプレゼント開封(今年最後の動画),/watch?v=KMGEY8PwkDA,8168,ASMR p,12600,,13082,62
[音フェチ]うきわ、ビニールの音(小声)[asmr],/watch?v=cBQ7cSVGSTo,11237,ASMR p,12600,,13082,86
[音フェチ]エア枕(囁き)[音フェチ],/watch?v=fcC6keS7Ogk,8084,ASMR p,12600,,13082,62
[音フェチ]手帳紹介、紙、ビニールの音(小声)[asmr],/watch?v=p5TRcbhkrNc,14173,ASMR p,12600,,13082,108
いつの間にか100本！小声,/watch?v=zFafaZ6fQio,9494,ASMR p,12600,,13082,73
[音フェチ]トレーシングペーパーに写し絵(小声)[asmr],/watch?v=RRm-4heRadI,12218,ASMR p,12600,,13082,93
[音フェチ]髪を巻く(小声)[asmr],/watch?v=sq06mDFPPJQ,18603,ASMR p,12600,,13082,142
[音フェチ]飲み物づくり(無言)[asmr],/watch?v=EKo7PokBhmU,16703,ASMR p,12600,,13082,128
[音フェチ]少しだけ購入品(小声)[asmr],/watch?v=ZQGdXPnAfl8,14949,ASMR p,12600,,13082,114
[音フェチ]ペン立てと雑談(囁き)[asmr],/watch?v=2mZEEwJsDxw,13538,ASMR p,12600,,13082,103
[音フェチ]日記の時間(囁き)[asmr],/watch?v=gYZgjyc-SVo,17256,ASMR p,12600,,13082,132
小声でお礼と短いお話,/watch?v=7VaA0fxt2_w,8939,ASMR p,12600,,13082,68
[音フェチ]木箱に収納(囁き)[asmr],/watch?v=EOy30SFlYOU,24321,ASMR p,12600,,13082,186
[音フェチ]つげ櫛の音(囁き)[asmr],/watch?v=3xdgX4l2YIg,23255,ASMR p,12600,,13082,178
[音フェチ]フタの開閉音(無言)[asmr],/watch?v=d3JFpdae8lw,19629,ASMR p,12600,,13082,150
[音フェチ]ココナッツオイルでマッサージ(小声)[asmr],/watch?v=GGV5-SNda30,41709,ASMR p,12600,,13082,319
[音フェチ]ガラス瓶(囁き)[asmr],/watch?v=9e5_SXZP-wU,13482,ASMR p,12600,,13082,103
[音フェチ]こんぺいとう咀嚼音(無言)[asmr],/watch?v=OY0edOlhy6k,12500,ASMR p,12600,,13082,96
小声で質問返し,/watch?v=uy-pPQoTTRU,18674,ASMR p,12600,,13082,143
[音フェチ]消しゴムで消す音(小声)[asmr],/watch?v=Px-lvMWCsjk,10182,ASMR p,12600,,13082,78
[爽快系音フェチ]デコポン(小声)[asmr],/watch?v=tWBUepJzX6g,9374,ASMR p,12600,,13082,72
[音フェチ]トレーシングペーパーをクリアファイルに収納(無言)[asmr],/watch?v=8D035admNJs,16707,ASMR p,12600,,13082,128
[音フェチ]トレーシングペーパーを定規でカット(囁き)[asmr],/watch?v=qE0J95Onjpw,13189,ASMR p,12600,,13082,101
[音フェチ]コロコロでお掃除(小声)[asmr],/watch?v=YHrBfRYZ_j8,11002,ASMR p,12600,,13082,84
新年のご挨拶(ささやき声),/watch?v=ZzNay9xvq9s,10885,ASMR p,12600,,13082,83
小声で喋る(soft speaking),/watch?v=Go7ci5OUQus,11046,ASMR p,12600,,13082,84
[音フェチ]※点滅注意LEDライト開封(小声)[asmr],/watch?v=NDshAKz21Z8,11101,ASMR p,12600,,13082,85
[音フェチ]ちりめん折り紙(小声)[asmr],/watch?v=pbO9LWq-oOE,17365,ASMR p,12600,,13082,133
[音フェチ]キャンドルホルダー開封(小声)[asmr],/watch?v=NbB5EgJwGHk,16303,ASMR p,12600,,13082,125
[音フェチ]筆箱の中身、色えんぴつ(小声)[asmr],/watch?v=ZwT5Kdb0DQI,24223,ASMR p,12600,,13082,185
[音フェチ]発泡スチロール(無言)[asmr],/watch?v=O-EeM8Il2Kc,9809,ASMR p,12600,,13082,75
[音フェチ]開封動画(囁き)[asmr],/watch?v=5e0aArc0ntM,18938,ASMR p,12600,,13082,145
[音フェチ]パフでマイクをナデナデする(小声)[asmr],/watch?v=LzLP_OazN9k,20136,ASMR p,12600,,13082,154
[音フェチ]ボールペンで書く(小声)[asmr],/watch?v=5Azl8HUqzKE,19388,ASMR p,12600,,13082,148
[音フェチ]ガチャガチャ、クレヨン(小声),/watch?v=lUrRFgbRaMQ,19655,ASMR p,12600,,13082,150
※お知らせ、マスキングテープ紹介(小声),/watch?v=WDtYTwA6BEE,36523,ASMR p,12600,,13082,279
[音フェチ]本の音(囁き)[asmr],/watch?v=G_k6PYE0Sb0,19671,ASMR p,12600,,13082,150
[音フェチ]トランプと木が当たる音(声無)[asmr],/watch?v=i-7NtRdpc8k,14867,ASMR p,12600,,13082,114
[音フェチ]ホワイトボードに落書き(声有)[asmr],/watch?v=g-n4NpQkAvY,34096,ASMR p,12600,,13082,261
[音フェチ]風鈴の音色(声無),/watch?v=aI2XUZ9HAFk,6518,ASMR p,12600,,13082,50
[音フェチ]購入品紹介(小声)[asmr],/watch?v=DGJ8B4z8wKw,41358,ASMR p,12600,,13082,316
[音フェチ]シールの小分け作業(声有)[asmr],/watch?v=bkQiZ3xBPPA,16958,ASMR p,12600,,13082,130
[音フェチ]ふ菓子の咀嚼音(声有)[asmr],/watch?v=NjuAxu-5AWE,17638,ASMR p,12600,,13082,135
[音フェチ]雑なお部屋紹介(小声)[asmr],/watch?v=iN8bu4WFKM8,70586,ASMR p,12600,,13082,540
ヒソヒソ声でおしゃべり,/watch?v=htWUpVp4hL8,50844,ASMR p,12600,,13082,389
[音フェチ]ヘアアクセサリー紹介(小声)[asmr],/watch?v=utT_K3b-kdg,23890,ASMR p,12600,,13082,183
[音フェチ]琉球ガラス(小声)[asmr],/watch?v=uWONaBRu7Mk,16305,ASMR p,12600,,13082,125
[音フェチ]ネイルポリッシュ2(声無)[visual asmr],/watch?v=Am2Z_5Gr_WE,62661,ASMR p,12600,,13082,479
[音フェチ]購入品マニキュアなど(声有)[asmr],/watch?v=WNoWf-54Nuo,28808,ASMR p,12600,,13082,220
[音フェチ]ウォールステッカーを貼る(声有)[asmr],/watch?v=glB7ul3gT84,9803,ASMR p,12600,,13082,75
[音フェチ]アクセサリーの収納作業(小声)[asmr),/watch?v=z_H0840NxeY,22661,ASMR p,12600,,13082,173
[音フェチ]木製の主張が強いえんぴつでゆっくり書く(声無)[asmr],/watch?v=7VdKBupBTYQ,50050,ASMR p,12600,,13082,383
