title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】KOREAN SPICY CHICKEN EATING SOUNDS/양념 치킨/ヤンニョムチキンを食べる音/咀嚼音/NO TALKING,/watch?v=7AlHnEYolrE,28,ASMR_ M,,,100,28
【ASMR】AJILLO EATING SOUNDS/アヒージョを食べる音/咀嚼音/NO TALKING,/watch?v=uCbxTnaaAkc,24,ASMR_ M,,,100,24
【ASMR】PINEAPPLE EATING SOUNDS/パイナップルを食べる音/咀嚼音/NO TALKING,/watch?v=qwlm5m_nUOc,28,ASMR_ M,,,100,28
【ASMR】PORK CUTLET EATING SOUNDS/梅しそとんかつ弁当を食べる音/咀嚼音/NO TALKING,/watch?v=146PFJlZmjA,81,ASMR_ M,,,100,81
【ASMR】 CHOCOLATE CEREALS EATING SOUNDS/チョコワを食べる音/NO TALKING /咀嚼音,/watch?v=fZnRBMJcwvA,36,ASMR_ M,,,100,36
【ASMR】FRIED CHICKEN  WINGS EATING  SOUNDS/手羽先を食べる音/咀嚼音/NO  TALKING,/watch?v=9u_vulF3hW8,46,ASMR_ M,,,100,46
【ASMR】SUSHI  EATING  SOUNDS/お寿司を食べる音/咀嚼音/NO  TALKING,/watch?v=a8CKnXxrPeU,174,ASMR_ M,,,100,174
【ASMR】KOREAN SPICY NOODLES WITH EGG AND SAUSAGES EATING  SOUNDS/アレンジ辛ラーメンを卵とウィンナーと食べる音♪/NO  TALKING,/watch?v=g-oqtURSI_Y,50,ASMR_ M,,,100,50
【ASMR】CUT OCTOPUS EATING SOUNDS/セブンイレブンのたこぶつを食べる音/咀嚼音/NO  TALKING,/watch?v=oK_TwXRsENE,68,ASMR_ M,,,100,68
【晩酌】(※音量注意)酔っぱらい女子2人がASMRを撮ろうとしてみた動画,/watch?v=TlGpv-ZaDY4,64,ASMR_ M,,,100,64
【ASMR】CURRY AND RICE EATING  SOUNDS /カレーライスを食べる音/咀嚼音/NO  TALKING,/watch?v=1pJXphdQOsU,174,ASMR_ M,,,100,174
【ASMR】KOREAN NOODLES EATING  SOUNDS /辛ラーメンを食べる音/NO  TALKING/咀嚼音,/watch?v=LObivdzYuwY,139,ASMR_ M,,,100,139
【ASMR】SEA GRAPES EATING  SOUNDS /海ぶどうを食べる音/咀嚼音/NO  TALKING,/watch?v=X4huWmq8_9A,204,ASMR_ M,,,100,204
【ASMR】McDonalds HAMBURGER / HASH BROWNS EATING  SOUNDS/朝マック/ハンバーガーを食べる音/マクドナルド/咀嚼音/NO  TALKING,/watch?v=OjlOakcxUmQ,62,ASMR_ M,,,100,62
【ASMR】PORK CUTLET EATING SOUNDS/とんかつ弁当を食べる音/咀嚼音/NO  TALKING,/watch?v=cbzPteUgqxs,118,ASMR_ M,,,100,118
【ASMR】JAPANESE NOODLE SOMEN EATING SOUNDS/素麺を食べる音/咀嚼音/NO  TALKING,/watch?v=FT2ZaVjbI8g,137,ASMR_ M,,,100,137
【ASMR】MACARONI SALAD EATING SOUNDS/マカロニサラダを食べる音/咀嚼音/NO  TALKING,/watch?v=zbQq3fBF4HI,110,ASMR_ M,,,100,110
【ASMR】OCTOPUS EATING SOUNDS/タコを食べる音/咀嚼音/NO  TALKING,/watch?v=SXQx5XOU8TY,100,ASMR_ M,,,100,100
【ASMR】MACARONI AND CHEESE/MAC N CHEESE EATING  SOUNDS/マカロニチーズを食べる音/咀嚼音/NO  TALKING,/watch?v=w1Q1mTw_hBA,68,ASMR_ M,,,100,68
【ASMR】SAUSAGES EATING SOUNDS/ウィンナー/ソーセージを食べる音/咀嚼音/NO  TALKING,/watch?v=sJP9DEWm4lM,110,ASMR_ M,,,100,110
【ASMR】CHOCOLATE/COOKIE/CAKE/EATING SOUNDS/チョコレートお菓子を食べる音/咀嚼音/NO TALKING,/watch?v=f6QBDaOrtRw,66,ASMR_ M,,,100,66
【ASMR】CHILLI FRIED CHICKEN / フライドチキンを食べる音/EATING SOUNDS/咀嚼音/NO TALKING,/watch?v=BYfKY2hOixI,49,ASMR_ M,,,100,49
【ASMR】HAMBURGER/CHICKEN NUGGETS/FRENCH FRIES/MOSBURGER/EATINGSOUNDS/モスバーガーを食べる音/咀嚼音/NOTALKING,/watch?v=NWK4XBH05Gc,66,ASMR_ M,,,100,66
【ASMR】TACO RICE  EATING SOUNDS / タコライスを食べる音/咀嚼音/NO TALKING,/watch?v=LKN6kKH6eZA,66,ASMR_ M,,,100,66
【ASMR】HAM & EGG MAYONNAISE SANDWICHS/EATING SOUNDS/咀嚼音/ハムと卵のサンドイッチを食べる音/NO TALKING,/watch?v=6cEcO-uWDcs,62,ASMR_ M,,,100,62
【ASMR】APPLE EATING SOUNDS/FRUIT/りんごを食べる音/咀嚼音/NO TALKING,/watch?v=fiscdzsj1GY,76,ASMR_ M,,,100,76
"【ASMR】SASHIMI ,NATTO,RICE WITH RAW EGG. JAPANESE FOOD EATING SOUNDS/咀嚼音/NO TALKING",/watch?v=OW-U9-oEfDo,64,ASMR_ M,,,100,64
【ASMR】KOREAN HOT SPICY NOODLES EATING SOUNDS/アレンジ辛ラーメンを食べる音/咀嚼音/NO TALKING,/watch?v=ovVGb4BGHq0,185,ASMR_ M,,,100,185
【ASMR】BACON AND EGGS EATING SOUNDS/ベーコンと卵を食べる音/ジブリ飯/咀嚼音/NO TALKING,/watch?v=j03bGPm7tqc,68,ASMR_ M,,,100,68
【ASMR】GRANOLA CEREALES EATING SOUNDS/グラノーラを食べる音/咀嚼音/NO TALKING,/watch?v=LVAF2fQjQb8,60,ASMR_ M,,,100,60
【ASMR】RAMEN NOODLES EATING SOUNDS/ジブリ飯/再現/咀嚼音/ラーメンを食べる音/NO TALKING,/watch?v=OHU3HNyR_Eg,85,ASMR_ M,,,100,85
【ASMR】KOREAN SPICY NOODLES EATING SOUNDS/辛ラーメンを食べる男/咀嚼音/NO TALKING,/watch?v=TOvs-E3Rim4,179,ASMR_ M,,,100,179
ASMR SUSHI EATING SOUNDS/お寿司を食べる音/TUNA/マグロ/咀嚼音/NO TALKING,/watch?v=jobHwQ2IBoQ,214,ASMR_ M,,,100,214
ASMR HAM&EGG TOAST EATING SOUNDS / トーストを食べる音/咀嚼音/NO TALKING,/watch?v=8uvkFkxgdvk,85,ASMR_ M,,,100,85
ASMR PIZZA EATING SOUNDS/ピザを食べる音/咀嚼音/NO TALKING,/watch?v=lYD8bYrcl_M,111,ASMR_ M,,,100,111
ASMR BANANA/咀嚼音/バナナを食べる音/no talking/EATINGSOUNDS,/watch?v=VyjIMhAT8P4,100,ASMR_ M,,,100,100
ASMR GRAPES/ぶどうを食べる音/咀嚼音/no talking/EATINGSOUNDS,/watch?v=AsdZrJcDjmE,79,ASMR_ M,,,100,79
ASMR RAW HONEY COMB /咀嚼音/EATING SOUNDS/NO TALKING,/watch?v=-t9yJ02dQdw,372,ASMR_ M,,,100,372
