title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
大食い】超激辛の生タコとカニをチャレンジ、凄い、刺身に比べてどうですか。コメントは下ね 3#,/watch?v=MITfZV5qs58,57,Batalya TV,,10か月前,687,8
大食い】超激辛の生タコとカニをチャレンジ、凄い、刺身に比べてどうですか。コメントは下ね 2#,/watch?v=urwwf2Ew-NU,10,Batalya TV,,10か月前,687,1
大食い】超激辛の生タコとカニをチャレンジ、凄い、刺身に比べてどうですか。コメントは下ね 1#,/watch?v=pJ-SR8Shv-Q,21,Batalya TV,,10か月前,687,3
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#42,/watch?v=dS-DD6FTRFw,2120,Batalya TV,,1年前,687,309
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#01,/watch?v=N9OYfqo9fkw,1042,Batalya TV,,1年前,687,152
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#40,/watch?v=FXUF-ARi4Oo,1193,Batalya TV,,1年前,687,174
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILKICE EATING 氷ASMR#39,/watch?v=iGK9eTgac4g,302,Batalya TV,,1年前,687,44
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#37,/watch?v=oRFnQGOO0dI,310,Batalya TV,,1年前,687,45
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#36,/watch?v=55fWwjGqrQg,240,Batalya TV,,1年前,687,35
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#35,/watch?v=15A5xeRdV94,363,Batalya TV,,1年前,687,53
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#34,/watch?v=cjT_lZGcSRI,516,Batalya TV,,1年前,687,75
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#33,/watch?v=H_XJ56N9-zM,824,Batalya TV,,1年前,687,120
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#32,/watch?v=ebftB2UTrEI,697,Batalya TV,,1年前,687,101
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#30,/watch?v=2IQnW3HVm-8,332,Batalya TV,,1年前,687,48
【大食い】辛いチャジャンならモクバン_総合辛さと、中国当面本当においしく食べる核蜂蜜の組み合わせモクバンコレクションふふふ#03,/watch?v=81YStEThIMk,543,Batalya TV,,1年前,687,79
【大食い】辛いチャジャンならモクバン_総合辛さと、中国当面本当においしく食べる核蜂蜜の組み合わせモクバンコレクションふふふ#02,/watch?v=XKCeD1aPKe0,652,Batalya TV,,1年前,687,95
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#29,/watch?v=wUFggoNhvpA,454,Batalya TV,,1年前,687,66
【大食い】辛いチャジャンならモクバン_総合辛さと、中国当面本当においしく食べる核蜂蜜の組み合わせモクバンコレクションふふふ#01,/watch?v=kGWXJCdzD4k,153,Batalya TV,,1年前,687,22
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#28,/watch?v=pL_Hmqmdaew,344,Batalya TV,,1年前,687,50
【咀嚼音】氷を食べる音 魚とカニと熊氷 モッパン 大食い | ไอซ์ซี่ กินนัว FROZEN MILK ICE EATING 氷ASMR#27,/watch?v=E5LGbHyQQo0,287,Batalya TV,,1年前,687,42
