title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR Eat Ice| Spiral shape Shavedice & Hardice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=TLCBjUKtZgU,21114,Eat Ic,17400,,41918,50
ASMR Eat Ice| Pizza Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=UssXaU0IbmE,35857,Eat Ic,17400,,41918,86
ASMR Eat Ice| Crispy Shavedice Cube | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=meCClppnKzk,36700,Eat Ic,17400,,41918,88
ASMR Eat Ice| Snow Pastry Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=cJchM1JiLgM,95975,Eat Ic,17400,,41918,229
ASMR Eat Ice| Big Snowman Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Sydny06NHts,33403,Eat Ic,17400,,41918,80
ASMR Eat Ice| Big Cloud Shape Shavedice ☁  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=OQkyufLpB-o,24947,Eat Ic,17400,,41918,60
ASMR Eat Ice| Mushroom Shape Shavedice Tutorial | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=bVFfld7a2iU,28030,Eat Ic,17400,,41918,67
ASMR Eat Ice| Twitter Shavedice Icon | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=A2hUhhNcCng,17625,Eat Ic,17400,,41918,42
ASMR Eat Ice| 10K Subscribers 🎉🎉🎉 BIG Shavedice Cake Tutorial | 氷を食べる音 Thánh Ăn Đá  얼음  Satisfying,/watch?v=ep_IbM_CyyI,96061,Eat Ic,17400,,41918,229
ASMR Eat Ice|  Fries Ice & Shavedice Tutorial  | 氷を食べる音  Thánh Ăn Đá  얼음소리  Buz Yemek Satisfying,/watch?v=UCFXbX8MBtA,41034,Eat Ic,17400,,41918,98
ASMR Eat Ice| Crunchy Comb Shape Hardice ! Did you guess right ?| 氷を食べる音 Thánh Ăn Đá  얼음 리얼사운,/watch?v=Cwi70lVUKXc,36303,Eat Ic,17400,,41918,87
ASMR Eat Ice| Banana Shape Shavedice  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=FZcVUae-lyc,45424,Eat Ic,17400,,41918,108
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=gGywCYQeQu4,17379,Eat Ic,17400,,41918,41
