title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[Cooking ASMR]  羽根つき餃子を作る音 食べる音 料理音 咀嚼音 /Gyoza,/watch?v=HWJ71FNdOk0,1377,Gaga ASMR,3220,3か月前,1480,93
[Cooking ASMR] 朝食 モンティクリスト 料理音 咀嚼音 /Monte cristo sandwich,/watch?v=IC_IUKxL0sc,872,Gaga ASMR,3220,3か月前,1480,59
【　おしらせ　】　Important news　Gaga ASMR,/watch?v=xyoPq_XKFSQ,477,Gaga ASMR,3220,作成者:3か月前,1480,32
ASMR RAINBOW SHEET JELLY JELLY NOODLES ゼリー 麺 咀嚼音 레인보우  젤리 EATING SOUNDS 食べる音,/watch?v=nXZlf8mt1A8,3647,Gaga ASMR,3220,4か月前,1480,246
ASMR SAUSAGE シャウエッセン ソーセージを食べる音 咀嚼音 소시지 MUKBANG  EATING SOUNDS 먹방,/watch?v=-GLGCINmv9g,1495,Gaga ASMR,3220,4か月前,1480,101
ASMR CHEESE BALLS チーズボールを食べる音 치즈볼 咀嚼音 MUKBANG (No Talking) EATING SOUNDS 먹방,/watch?v=dLSuISaSs6o,1366,Gaga ASMR,3220,4か月前,1480,92
ASMR GREEN TEA PARTY 抹茶 MATCHA MOCHI CHOCOLATE ICE 녹차 咀嚼音 MUKBANG  EATING SOUNDS 食べる音,/watch?v=x6JfQ0o479o,1451,Gaga ASMR,3220,4か月前,1480,98
ASMR EATING CHOCOLATE CREPE CAKE チョコレート ミルクレープを食べる音 咀嚼音  크레이프 케이크 EATING SOUNDS MUKBANG,/watch?v=0lYSMvgRJMk,1258,Gaga ASMR,3220,5か月前,1480,85
ASMR CHOCOLATE PARTY ICE CREAM DONUT チョコレート パーティー アイス 咀嚼音도넛 초콜릿 파티 EATING SOUNDS 먹방 ช็อคโกแลต 食べる音,/watch?v=_tQxAsjDkXY,1402,Gaga ASMR,3220,5か月前,1480,95
ASMR RAINBOW MOCHI JELLY NOODLES GUMMY COLORFUL レインボー もち 咀嚼音 무지개  젤리 구미 EATING SOUNDS 食べる音,/watch?v=8b-9sqHHEzQ,1287,Gaga ASMR,3220,5か月前,1480,87
ASMR みかん飴 CANDIED FRUIT MANDARIN ORANGE 귤 TANGHULU フルーツ飴 咀嚼音 食べる音 MUKBANG EATING SOUNDS,/watch?v=cLPdAlD-zQg,2610,Gaga ASMR,3220,5か月前,1480,176
ASMR CHOCOLATE PARTY ICE CREAM チョコレートパーティー アイス 咀嚼音 초콜릿 파티  ช็อคโกแลต ไอศกรีม  พรรค EATINGSOUNDS 食べる音,/watch?v=ibKn1VNjOI0,1580,Gaga ASMR,3220,5か月前,1480,107
ASMR FRUIT DAIFUKU MOCHI フルーツ大福 과일 찹쌀떡 咀嚼音 MUKBANGS  rice cake 떡 食べる音 音フェチ  EATING SOUNDS 먹방,/watch?v=NE5y5Qe-vlM,1218,Gaga ASMR,3220,5か月前,1480,82
ASMR  STRAWBERRY ROLL CAKE WAFFLE いちごのロールケーキ ワッフル スイーツ딸기 롤 케이크 와플 咀嚼音 食べる音 MUKBANG EATING SOUNDS 먹방,/watch?v=eKWC7y-Filk,500,Gaga ASMR,3220,5か月前,1480,34
ASMR パイン飴 CANDIED FRUIT PINEAPPLE JELLY フルーツ飴 まるごとパインゼリー 咀嚼音 파인애플 젤리  食べる音 EATING SOUNDS 먹방 MUKBANGS,/watch?v=zw-AjOPR6XY,1438,Gaga ASMR,3220,5か月前,1480,97
ASMR PINK FOODS MOCHI CAKE CHOCOLATE JELLY ピンクフード 咀嚼音 핑크 떡 食べる音 (No Talking) EATING SOUNDS 먹방,/watch?v=IWbO-eq4Z3E,666,Gaga ASMR,3220,5か月前,1480,45
ASMR ぶどう飴 CANDIED FRUIT GRAPE CANDY フルーツ飴 TANGHULU 咀嚼音 MUKBANG 食べる音 포도사탕 EATING SOUNDS 먹방,/watch?v=hstDr_ZEQCg,3927,Gaga ASMR,3220,5か月前,1480,265
ASMR ひなまつり DANGO MOCHI 団子 Three colors GUMMY JELLY SAKURA CHERRY BLOSSOM 咀嚼音 MUKBANG 食べる音  먹방,/watch?v=UxrwU23BAIw,747,Gaga ASMR,3220,5か月前,1480,50
ASMR Strawberry millefeuille pie いちごミルフィーユを食べる スイーツ 咀嚼音 딸기 밀피유 स्ट्रॉबेरी 食べる音 モッパン EATING SOUNDS 먹방,/watch?v=GiSCt0XtbxI,977,Gaga ASMR,3220,5か月前,1480,66
ASMR Strawbwrry jelly いちご飴 いちごゼリー いちご大福TANGHULU Daifuku 咀嚼音 딸기사탕 EATING SOUNDS 먹방 食べる音 フルーツ飴 딸기찹쌀떡,/watch?v=zWqBbQHmEN4,1120,Gaga ASMR,3220,6か月前,1480,76
ASMR 咀嚼音 板チョコアイス ホワイト WHITE CHOCOLATE BAR ICE CREAM  초콜릿 아이스  食べる音 चॉकलेट EATING SOUNDS 먹방,/watch?v=OidvALheSvI,950,Gaga ASMR,3220,6か月前,1480,64
ASMR いちご飴 トマト飴 CANDIED FRUITS TANGHULU フルーツ飴 Strawberry TOMATO 과일사탕 咀嚼音 MUKBANG EATINGSOUNDS 먹방 食べる音,/watch?v=v18XvlKadfQ,3053,Gaga ASMR,3220,6か月前,1480,206
咀嚼音 SALMON SUSHI SASHIMI サーモン寿司 연어 사시미 초밥 ASMR सामन सुशी  MUKBANG 食べる音 EATINGSOUNDS 먹방 सैल्मन साशिमी,/watch?v=L4I9z_OO6eQ,994,Gaga ASMR,3220,6か月前,1480,67
ASMR トマト飴 TOMATO TANGHULU CANDIED FRUIT 咀嚼音 과일사탕 토마토사탕 CHERRY TOMATO EATING SOUNDS 먹방 食べる音 MUKBANG,/watch?v=LGC-ACXnWU0,1969,Gaga ASMR,3220,6か月前,1480,133
ASMR 抹茶 GREEN TEA PARTY MOCHI CHOCOLATE matcha 大福 CRUNCH 咀嚼音 녹차 떡  EATING SOUNDS 먹방 चॉकलेट,/watch?v=0NlY1qg5d9A,869,Gaga ASMR,3220,6か月前,1480,59
ASMR RAINBOW JELLY NOODLES ゼリー 麺 COLOR NOODLES 咀嚼音 젤리국수 जेली 食べる音 レインボー 무지개 EATING SOUNDS 먹방,/watch?v=pMJl1krIl08,1329,Gaga ASMR,3220,6か月前,1480,90
ASMR 咀嚼音 板チョコアイス CHOCOLATE BAR ICE CREAM Whipped cream 生クリーム चॉकलेट 초콜릿 아이스크림 EATING SOUNDS 먹방,/watch?v=S_zi7XSekJA,2389,Gaga ASMR,3220,6か月前,1480,161
ASMR 咀嚼音 フルーツサンド FRUIT SANDWICH Whipped Cream  과일샌드 फलों का सैंडविच EATING SOUNDS 먹방 softeating,/watch?v=A2TGSsnNUR0,963,Gaga ASMR,3220,6か月前,1480,65
ASMR 咀嚼音 Spicy Enoki Mushrooms 매운 팽이 버섯 スパイシー えのき 　मसालेदार कुकुरमुत्ता  MUKBANG  EATING SOUNDS 먹방,/watch?v=stYYf6kKJ_8,1876,Gaga ASMR,3220,6か月前,1480,127
ASMR 咀嚼音 ポテト盛りを食べる Eat french fries 감자 튀김을 먹고 फ्रेंच फ्राइज खाएं 食べる音 トルネードポテト フライドポテトFrench fries,/watch?v=UG3H1JpqoBc,859,Gaga ASMR,3220,7か月前,1480,58
【マクドナルド新商品】 大人のクリームパイ ベルギーショコラ スイートフロマージュ ダブルチョコメルツ ASMR 咀嚼音 MUKBANG McDonald 맥도날드 cream pie 크림 파이,/watch?v=s8pOZPL06vE,793,Gaga ASMR,3220,7か月前,1480,54
ASMR ローソンのチーズハットグが再販したので食べると…美味しすぎた!【チーズドッグ】치즈핫도그 Cheese Corn Dog 咀嚼音 食べる音,/watch?v=aQfMlNCUwp8,2638,Gaga ASMR,3220,7か月前,1480,178
ASMR 咀嚼音 ピンクフードを食べる PINK FOOD 핑크 후드 गुलाबी खाना MUKBANG 먹방 chocolate 초콜릿 चॉकलेट Strawberry Daifuku,/watch?v=wdMe1bcORQc,856,Gaga ASMR,3220,7か月前,1480,58
【CHOCOLATE PARTY】CRUNCHY チョコレート パーティー 초콜릿 ASMR  咀嚼音 MUKBANG )EATING SOUNDS 먹방 Dessert Pocky चॉकलेट,/watch?v=E79SWxdE9DI,841,Gaga ASMR,3220,7か月前,1480,57
