title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"ASMR JELLY PARTY *BANANA JELLO, GIANT GRAPE JELLO, GREEN GRAPE, PEACH, PLANET GUMMY 먹방 EATING SOUNDS",/watch?v=YZ3TlMnH0lo,443382,Jane ASMR 제인,9110000,21時間前,3475488,13
"ASMR PURPLE ICE CREAM *BTS ICE CREAM, OREO ICE CREAM, MACARON ICE CREAM, 아이스크림 먹방 EATING SOUNDS",/watch?v=2AtCRy2gOkk,875091,Jane ASMR 제인,9110000,1日前,3475488,25
"ASMR MINT CHOCOLATE *MINT BUBBLE TEA, MINT CHOCOLATE CAKE, MINT OREO 민트 초코 먹방 EATING SOUNDS",/watch?v=OF8WjM0IalA,1112653,Jane ASMR 제인,9110000,2日前,3475488,32
"ASMR RAINBOW PARTY *EDIBLE HAIR COMB, EDIBLE SPOON, UNICORN FRAPPE, CREPE CAKE 먹방 EATING SOUNDS",/watch?v=kEOjMBGIrSk,880574,Jane ASMR 제인,9110000,3日前,3475488,25
"ASMR GREEN FOODS *TENNIS BALL GUM, GREEN TEA OMELETTE, NUTELLA TOAST, JELLY NOODLES 먹방 EATING SOUNDS",/watch?v=Toz1wMlLySs,711545,Jane ASMR 제인,9110000,4日前,3475488,20
"ASMR CHOCOLATE DESSERTS *CHOCOLATE BANANA DIPPIN' DOTS, CHOCOLATE ICE CREAM, WAFFLE 먹방 EATING SOUNDS",/watch?v=kH9R3sZPMCI,651565,Jane ASMR 제인,9110000,5日前,3475488,19
"ASMR WATERMELON *HOT POPS, WATERMELON SHAVED ICE, WATERMELON GUMMY, RICE CAKE 수박 먹방 EATING SOUNDS",/watch?v=lSCKiZMw_Bg,1698012,Jane ASMR 제인,9110000,6日前,3475488,49
"ASMR RAINBOW FOODS *HEART CHOCOLATE, RAINBOW MACARON, LAYER CAKE, MARSHMALLOW, GUMMY먹방 EATING SOUNDS",/watch?v=-KyS7fSXwM8,1306299,Jane ASMR 제인,9110000,1週間前,3475488,38
"ASMR PINK FOODS *HEART CAKE, PINK OREO, EDIBLE LIPSTICK, PINK JELLO, PINK CHOCOLATE 먹방 EATING SOUNDS",/watch?v=lW-5Dnnrd4E,1066665,Jane ASMR 제인,9110000,1週間前,3475488,31
"ASMR CHOCOLATE PARTY *MALTESERS SPREAD, CHOCOLATE CONE, TIRAMISU CREPE CAKE 초코 몰티져스 먹방 EATING SOUNDS",/watch?v=Qduxy3pJa1Y,2268679,Jane ASMR 제인,9110000,1週間前,3475488,65
"ASMR BLUE ICE CREAM *DIPPIN' DOTS, JAWS BAR, CANDY BAR, ICE CRACKING SOUNDS 아이스크림 먹방 EATING SOUNDS",/watch?v=os33BEO8WxQ,1829938,Jane ASMR 제인,9110000,1週間前,3475488,53
"ASMR YELLOW FOODS *MANGO ICE CREAM, HONEYCOMB, MANGO JELLY, SWEET POTATO CAKE 먹방 EATING SOUNDS",/watch?v=hO8gGC-ekMg,1034731,Jane ASMR 제인,9110000,1週間前,3475488,30
"ASMR RAINBOW FOODS *EDIBLE HAIR BRUSH, JELLY NOODLES, CREPE CAKE, NERDS ROPE GUMMY 먹방 EATING SOUNDS",/watch?v=UET3rWu_aA0,1813055,Jane ASMR 제인,9110000,1週間前,3475488,52
"ASMR GREEN FOODS *ICE CREAM, EDIBLE SPOON, GREEN TEA CREPE CAKE, JELLY 먹는숟가락, 아이스크림 먹방 EATING SOUNDS",/watch?v=Yh0WEMQAq70,3064024,Jane ASMR 제인,9110000,1週間前,3475488,88
"ASMR DOLPHIN JELLY, MERMAID CAKE, SEA PEARLS, CLAM CUP CAKE 돌고래 젤리, 인어공주 케이크, 진주 조개 먹방 EATING SOUNDS",/watch?v=HtNGqX67YlU,1059379,Jane ASMR 제인,9110000,2週間前,3475488,30
"ASMR CHOCOLATE PARTY *CHOCOLATE ICE CREAM, WAFFLE, RICE CAKES, TART 초콜릿 아이스크림, 초코찰떡 먹방 EATING SOUNDS",/watch?v=S2stgcrQlYE,2413183,Jane ASMR 제인,9110000,2週間前,3475488,69
"ASMR PURPLE DESSERTS *BTS ICE CREAM, EDIBLE SPOON, MACARON ICE CREAM, GRAPE JELLY 보라먹방 EATING SOUNDS",/watch?v=eJ61WtCRDd4,2003755,Jane ASMR 제인,9110000,2週間前,3475488,58
"ASMR STRAWBERRY ICE CREAM, HONEY, GREEN TEA, MANGO, BLUEBERRY RICE CAKE 딸기 찹쌀떡, 꿀떡 먹방 EATING SOUNDS",/watch?v=4Y4X12aN6QQ,1026953,Jane ASMR 제인,9110000,2週間前,3475488,30
"ASMR PINK DESSERTS *PEACH RICE CAKE, NIK-L-NIP WAX STICK, JELLY GUMMY 복숭아 떡, 닉클립 왁스 먹방 EATING SOUNDS",/watch?v=pWFX-BD7Xrc,1346738,Jane ASMR 제인,9110000,2週間前,3475488,39
"ASMR WATERMELON DESSERTS *EDIBLE SPOON, WATERMELON CAKE, ROCK CANDY, JELLY 수박 디저트 먹방 EATING SOUNDS",/watch?v=cWnoweEjx_w,2851565,Jane ASMR 제인,9110000,2週間前,3475488,82
"ASMR RAINBOW ICE CREAM *GREEN TEA, GRAPE, STRAWBERRY, ORANGE 무지개 아이스크림 *녹차, 쌍쌍바 먹방 EATING SOUNDS",/watch?v=W6pCV6WF_WY,2389571,Jane ASMR 제인,9110000,2週間前,3475488,69
"ASMR GUMMY JELLY PARTY *RAINBOW JELLY BELT, GIANT COLA GUMMY, HAMBURGER GUMMY 젤리 파티 먹방 EATING SOUNDS",/watch?v=L0RwVd9Gh0c,2480417,Jane ASMR 제인,9110000,3週間前,3475488,71
ASMR JELLY FOOD VS REAL FOOD CHALLENGE 먹방 EATING SOUNDS,/watch?v=U3vNicBH0Yo,866763,Jane ASMR 제인,9110000,3週間前,3475488,25
"ASMR RAINBOW DESSERTS *CRYSTAL JELLY, CAKE, MACARON 무지개 마카롱, 무지개 케이크, 보석 젤리 먹방 EATING SOUNDS",/watch?v=eVZa-r0oRCU,1706017,Jane ASMR 제인,9110000,3週間前,3475488,49
"ASMR GREEN FOODS *GREEN TEA CREPE CAKE, GRAPE JELLO, NIK-L-NIP WAX BOTTLE 녹차 크레이프 먹방 EATING SOUNDS",/watch?v=JdDG2NvcuUc,2458100,Jane ASMR 제인,9110000,3週間前,3475488,71
"ASMR RAINBOW FOODS *RAINBOW STICKS, CAKE POP, JELLY, MACARON 무지개 스틱, 케이크팝, 젤리, 마카롱 먹방 EATING SOUNDS",/watch?v=SoK2jNxtTsA,1530623,Jane ASMR 제인,9110000,3週間前,3475488,44
"ASMR PEACH CAKE, WATERMELON BAR, MACARON JELLY, PINK RICE CAKES 복숭아 케이크, 수박떡, 마카롱젤리 먹방 EATING SOUNDS",/watch?v=pHG3wTM-SDA,2785490,Jane ASMR 제인,9110000,3週間前,3475488,80
"ASMR CHOCOLATE ICE CREAM *OREO ICE CREAM, MAGNUM ICE CREAM 초콜릿 아이스크림, 펭수 아이스크림, 매그넘 먹방 EATING SOUNDS",/watch?v=NwKRPqjbRpo,1822026,Jane ASMR 제인,9110000,3週間前,3475488,52
"ASMR FRUIT CAKE PARTY *STRAWBERRY, PEACH, MANGOSTEEN, ICE CREAM 과일 화과자, 딸기, 복숭아, 귤 먹방 EATING SOUNDS",/watch?v=aKTClctFTes,2692939,Jane ASMR 제인,9110000,4週間前,3475488,77
"ASMR GRAPE JELLO, PEACH JELLO, MANGO JELLO, JELLY NOODLES, MOUSSE CAKE 포도 젤리, 무스케이크 먹방 EATING SOUNDS",/watch?v=rhe4o0ySuMY,1937546,Jane ASMR 제인,9110000,4週間前,3475488,56
"ASMR RAINBOW FOODS *WATERMELON SQUARE, RICE CAKE, CREPE CAKE 무지개 바람떡, 수박떡, 바람개비 초콜릿 먹방 EATING SOUNDS",/watch?v=DHKtwktjtNE,5446520,Jane ASMR 제인,9110000,4週間前,3475488,157
"ASMR RAINBOW ICE CREAM PARTY *GREEN TEA, TARO, MANGO, MAGNUM 무지개 아이스크림 먹방 EATING SOUNDS",/watch?v=1ISmvxgzRfM,5394446,Jane ASMR 제인,9110000,1か月前,3475488,155
"ASMR OREO PARTY *RAINBOW OREO COOKIE, DIPPIN' DOTS OREO ICE CREAM 오레오 구슬 아이스크림, 이글루 먹방 EATING SOUNDS",/watch?v=G6tnqa45HYw,1038811,Jane ASMR 제인,9110000,1か月前,3475488,30
"ASMR GREEN FOODS *EDIBLE SPOON, BUBBLE TEA, APPLE GUMMY 녹차 먹는 숟가락, 사과 젤리, 크롱 초콜릿 먹방 EATING SOUNDS",/watch?v=v0L32P_lQfs,3897323,Jane ASMR 제인,9110000,1か月前,3475488,112
"ASMR PURPLE&PINK JELLY NOODLES, CHERRY PLUM, CUP JELLO 보라 핑크 체리 자두, 젤리 국수, 컵 젤리 먹방 EATING SOUNDS",/watch?v=FjVCU1zmMac,1035882,Jane ASMR 제인,9110000,1か月前,3475488,30
"ASMR S'MORES DIP, CHOCOLATE ICE CREAM, MARSHMALLOW 스모어딥, 초콜릿 아이스크림, 마쉬멜로우 먹방 EATING SOUNDS",/watch?v=cMuXpd7xH2o,2686015,Jane ASMR 제인,9110000,1か月前,3475488,77
"ASMR RAINBOW FOODS *JELLY STICK, CAKE POP, CREPE CAKE, GUMMY BALL 무지개 케이크팝, 젤리 스틱 먹방 EATING SOUNDS",/watch?v=e7odT9eUKb8,3132234,Jane ASMR 제인,9110000,1か月前,3475488,90
"ASMR ORANGE FOODS *JACKFRUIT, MANGO GUMMY, PINEAPPLE JELLY 잭프루트, 망고 젤리, 파인애플 젤리 먹방 EATING SOUNDS",/watch?v=4qgsObg10W0,2204128,Jane ASMR 제인,9110000,1か月前,3475488,63
"ASMR FLOWER JELLO, GRAPE JELLY, PLANET GUMMY JELLY 꽃 젤리, 청포도 젤리, 지구 젤리 먹방 EATING SOUNDS",/watch?v=Qz7QyRfKrrM,1092868,Jane ASMR 제인,9110000,1か月前,3475488,31
"ASMR PINK FOODS *STRAWBERRY CHOCOLATE PIE, CREPE CAKE, PEACH MACARON 복숭아 마카롱, 딸기 초코 먹방 EATING SOUNDS",/watch?v=_xUUqDM_bCM,1829946,Jane ASMR 제인,9110000,1か月前,3475488,53
"ASMR ICE CREAM PARTY *OREO ICE CREAM, CHOCOLATE ICE CREAM 오레오 아이스크림, 배라 초콜릿 아이스크림 먹방 EATING SOUNDS",/watch?v=1h0hwiTOXwI,12730403,Jane ASMR 제인,9110000,1か月前,3475488,366
"ASMR RAINBOW FOODS *TWIST DRINK, RAINBOW BOBA, LEGO MAN JELLY 트위스트 음료, M&M'S 아이스크림 먹방 EATING SOUNDS",/watch?v=prNKjc_3THw,4250630,Jane ASMR 제인,9110000,1か月前,3475488,122
"ASMR RAINBOW FOODS *RAINDROP JELLY, FRUIT GUMMY, JELLY NOODLES 무지개 물방울 젤리, 과일 톡톡 젤리 먹방 EATING SOUNDS",/watch?v=aBPFH3yfqGk,3668869,Jane ASMR 제인,9110000,1か月前,3475488,106
"ASMR PINK FOODS *PEACH CAKE, JELLY, COTTON CANDY, RICE CAKE 복숭아 떡, 복숭아 젤리, 핑크 솜사탕 먹방 EATING SOUNDS",/watch?v=Dn1K5xj_GSM,3693703,Jane ASMR 제인,9110000,1か月前,3475488,106
"ASMR WATERMELON GUMMY JELLY, WATERMELON RICE CAKE, WATERMELON TOAST 수박 떡, 수박 젤리 먹방 EATING SOUNDS",/watch?v=xyThF05w3lQ,2126274,Jane ASMR 제인,9110000,1か月前,3475488,61
"ASMR GIANT CHOCOLATE ICE CREAM, ANIMAL ICE CREAM, RICE CKAE 대왕 초콜릿 아이스크림, 발바닥 아이스크림 먹방EATING SOUNDS",/watch?v=r4UkqrgJ_Fk,2680490,Jane ASMR 제인,9110000,1か月前,3475488,77
"ASMR PINK FOODS *ROSE ICE CREAM, FLAMINGO MACARON, PEACH RICE CAKE 장미 아이스크림, 복숭아 젤리 먹방 EATING SOUNDS",/watch?v=FUgW2QECoRA,2689024,Jane ASMR 제인,9110000,1か月前,3475488,77
"ASMR RED FOODS *TWIST DRINK, HEART CAKE, TIKTOK JELLO 빨간색 음식 *트위스트 음료수, 하트 케이크, 젤리 먹방 EATING SOUNDS",/watch?v=_D7ULzpVoRU,1805665,Jane ASMR 제인,9110000,1か月前,3475488,52
"ASMR LASER POP, WOOL CAKE, LUMINOUS CANDY, GRAPE JELLY 레이저 팝, 털실 케이크, 야광 캔디, 포도 젤리 먹방 EATING SOUNDS",/watch?v=3pJhP_EkAYQ,2241330,Jane ASMR 제인,9110000,1か月前,3475488,64
"ASMR RAINBOW CUBE JELLY, FRUIT RICE CAKE, BOBA BUBBLE TEA 무지개 큐브 젤리, 과일 찹쌀떡, 딸기 먹방 EATING SOUNDS",/watch?v=LWe8pqw-FtE,956382,Jane ASMR 제인,9110000,1か月前,3475488,28
"ASMR EDIBLE EYE SHADOW, EDIBLE LIPSTICK, EDIBLE HAIR COMB, WAX LIPS 먹는 립스틱, 먹는 빗 먹방 EATING SOUNDS",/watch?v=Dqp09rv7vvA,4143827,Jane ASMR 제인,9110000,1か月前,3475488,119
"ASMR CHOCOLATE ICE CREAM, HONEYCOMB MACARON, RAINBOW CREPE CAKE 초콜릿 아이스크림, 달고나 마카롱 먹방 EATING SOUNDS",/watch?v=snngzcOnSac,3088676,Jane ASMR 제인,9110000,1か月前,3475488,89
"ASMR RAINBOW FOODS *BIG KONPEITO, GUMMY, ICE CREAM MARSHMALLOW 무지개 케이크, 젤리, 머랭쿠키 먹방 EATING SOUNDS",/watch?v=LcKP-dQik-8,4850852,Jane ASMR 제인,9110000,1か月前,3475488,140
"ASMR PEACH CHOCOLATE, PEACH JELLY, PEACH GUMMY, PEACH CAKE 복숭아 초콜릿, 복숭아 젤리, 복숭아 케이크 먹방 EATING SOUNDS",/watch?v=EKs1tIU8OdU,2436031,Jane ASMR 제인,9110000,1か月前,3475488,70
"ASMR GREEN TEA ICE CREAM *BIG DIPPIN' DOTS, CHOCOLATE ICE CREAM 녹차 아이스크림, 구슬아이스크림 먹방 EATING SOUNDS",/watch?v=O2et_sk-AV8,3368699,Jane ASMR 제인,9110000,1か月前,3475488,97
"ASMR PINK ICE CREAM *DIPPIN' DOTS, MAGNUM, MACARON ICE CREAM 핑크 구슬 아이스크림, 매그넘 아이스크림 먹방 EATING SOUNDS",/watch?v=5r0F7mA4OSU,13001488,Jane ASMR 제인,9110000,1か月前,3475488,374
"ASMR RAINBOW EDIBLE PERFUME BOTTLE JELLY, EDIBLE LIPSTICK 무지개 먹는 향수병, 무지개 먹는 립스틱 먹방 EATING SOUNDS",/watch?v=YgMde6uA25I,3708434,Jane ASMR 제인,9110000,1か月前,3475488,107
"ASMR BLUE FOODS *CRYSTAL JELLY, HONEYCOMB, CUP JELLO, GUMMY JELLY 크리스탈 젤리, 컵 젤리, 벌집꿀 먹방EATING SOUNDS",/watch?v=sZYJIjKXJI4,3027779,Jane ASMR 제인,9110000,1か月前,3475488,87
