title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[咀嚼音]ジョンソンヴィルソーセージ&もちもちパンケーキ&目玉焼き&玉ねぎとブロッコリーのブラックペッパー炒め[食べるだけ][Eating sounds][モッパン],/watch?v=3MyJWMGRBIg,433,KIYO-ASMR,1300,5日前,864,50
[咀嚼音]もち麦入りチーズインオムライス&厚切りベーコンガーリックポテト[食べるだけ][Eating sounds][モッパン],/watch?v=8tgkAcO0SCQ,458,KIYO-ASMR,1300,1週間前,864,53
[咀嚼音]コーンバターオムライスカレー&きたあかりコロッケ[食べるだけ][Eating sounds][モッパン],/watch?v=wXILemtAMU0,825,KIYO-ASMR,1300,3週間前,864,95
[咀嚼音]牛ひき肉入りカルボナーラスパゲティ[食べるだけ][Eating sounds][モッパン],/watch?v=XxblewjM8SI,841,KIYO-ASMR,1300,4週間前,864,97
[咀嚼音]えのきフライ&若鶏の竜田揚げ&イカリングフライ&おにぎり&ブロッコリー&たくあん&味噌汁[食べるだけ][Eating sounds][モッパン],/watch?v=vUna9I3HWic,768,KIYO-ASMR,1300,1か月前,864,89
[咀嚼音]ほうれん草とソーセージとトマトのピリ辛スパゲティ&サラダ&目玉焼き[食べるだけ][Eating sounds][モッパン],/watch?v=RvHQ6bUCQRM,755,KIYO-ASMR,1300,1か月前,864,87
[咀嚼音]コロッケ&ジョンソンヴィル&ほうれん草卵焼き&おにぎり&ブロッコリー&ミニトマト&サラダ[食べるだけ][Eating sounds][モッパン],/watch?v=G8e8tFqXo2I,605,KIYO-ASMR,1300,1か月前,864,70
[咀嚼音]焼きそば&納豆オムレツ&ブロッコリー&味噌汁[食べるだけ][Eating sounds][モッパン],/watch?v=Rd83WcJc7oQ,700,KIYO-ASMR,1300,1か月前,864,81
[咀嚼音]チーズ焼きおにぎりカレーライス&北海道産きたあかりコロッケ&サラダ[食べるだけ][ASMR][モッパン],/watch?v=S8H7Mkm5Fwg,639,KIYO-ASMR,1300,1か月前,864,74
[咀嚼音]ヘルシー豆腐チーズお好み焼き&シャウエッセン&若鶏の竜田揚げ&きゅうりのぬか漬け[食べるだけ][ASMR][モッパン],/watch?v=HgIgwOQR0sE,789,KIYO-ASMR,1300,1か月前,864,91
[咀嚼音]スパイシーチキンマックナゲット&シャカチキレッドペッパー&ホットアップルパイ&マックフルーリーブラックサンダー&サラダを食べる[食べるだけ][ASMR][モッパン],/watch?v=VdSW_UEePnk,546,KIYO-ASMR,1300,1か月前,864,63
[咀嚼音]ウインナーチーズロール揚げパン&パン耳ラスクを食べる[食べるだけ][ASMR][モッパン],/watch?v=BDrb8ZRDqTI,615,KIYO-ASMR,1300,1か月前,864,71
[咀嚼音]キャベツとベーコンの豆乳カルボナーラうどん&イカリングフライとニラ玉炒めを食べる Udon[食べるだけ][ASMR][モッパン],/watch?v=wKLyEdj-LEc,697,KIYO-ASMR,1300,1か月前,864,81
[咀嚼音]セブンイレブンのカレーパン&ピザスティックパン&のむヨーグルトいちご&蒸し鶏と卵のバンバンジーサラダを食べる[食べるだけ][ASMR][モッパン],/watch?v=t0_yKrjX30E,641,KIYO-ASMR,1300,1か月前,864,74
[咀嚼音]サクもちチーズボール&目玉焼き&ポテトサラダ&ジョンソンヴィルソーセージを食べる[食べるだけ][ASMR][モッパン],/watch?v=rcq-iuiD7dg,733,KIYO-ASMR,1300,1か月前,864,85
[咀嚼音]茄子たっぷりのミートソーススパゲティ&ミニチーズハンバーグを食べる Pasta[食べるだけ][ASMR][モッパン],/watch?v=FFqZAeijIX8,887,KIYO-ASMR,1300,1か月前,864,103
[咀嚼音]メンチカツ&えのきフライ&納豆玉子焼き&のりたまおにぎりとシソゆかりおにぎりを食べる[食べるだけ][ASMR][モッパン],/watch?v=3dQxi7Ntxpc,718,KIYO-ASMR,1300,2か月前,864,83
