title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
かほの部屋を俺の写真で埋め尽くしてやった by パパ  🤪,/watch?v=JrWkmU0yTbU,17752,KahoSei Channel from C,78200,,1327384,1
なんじゃこりゃ😲 TikTok クッキング🍳 流行のレシピを再現😎 ジャンクフード全部入れちゃうの？,/watch?v=_w5nfE_p_p4,146684,KahoSei Channel from C,78200,,1327384,11
落ちまくる😑 しっかりしてください😝 Fall Guys(落ちるやつら) ゲーム実況,/watch?v=eNZk59afLkc,364537,KahoSei Channel from C,78200,,1327384,27
ABC順で24時間チャレンジ😝 食べられるのはABCの食べ物だけ😲 過酷です・・・😑,/watch?v=-cLNv587Lag,417696,KahoSei Channel from C,78200,,1327384,31
ぎゃぁぁ～ なにこれ？😱 水の中はなんだろな？ Part 3,/watch?v=wcN6RKeKS-g,371612,KahoSei Channel from C,78200,,1327384,28
強烈です😱 かほちゃんクイズ💗かほのこと誰が一番知ってるかな？,/watch?v=w0DEue3C_a0,625375,KahoSei Channel from C,78200,,1327384,47
パパ ヘタすぎ😑 マクドナルドからの脱出😝久しぶりのオービーに挑戦 ROBLOX　Escape Fast Food Restaurant Obby,/watch?v=waQW8NlR1Uk,339778,KahoSei Channel from C,78200,,1327384,26
反則です😲 24時間 小っちゃな手チャレンジ🤲 やっぱり大変😑,/watch?v=XTgR0u9uNZU,732079,KahoSei Channel from C,78200,,1327384,55
NGワード言ったら罰ゲーム😱 恐怖の 辛い すっぱい くさい ミラクル,/watch?v=_z7NPyJTuOk,327276,KahoSei Channel from C,78200,,1327384,25
神ペン ポスカでNikeエアーフォース をカスタマイズ🤩スニーカーカスタム👟,/watch?v=Mm9NN2iopU0,477845,KahoSei Channel from C,78200,,1327384,36
むずかしすぎ😑 せいちゃんクイズ😝 せいちゃんの好きな女の子はだれ？,/watch?v=PXCmS_Ntr0k,540723,KahoSei Channel from C,78200,,1327384,41
