title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
耳型マイクにちゅ〜るをのせたらゾクゾクが止まらない音になった。,/watch?v=9_fb2Ox5SUM,480,Mikiteee ASMR,414,4か月前,2304,21
モフモフのゴロゴロ,/watch?v=VHURDXSLsZ0,122,Mikiteee ASMR,414,5か月前,2304,5
猫のカリカリ咀嚼音,/watch?v=Qn3Y2aedGbk,834,Mikiteee ASMR,414,6か月前,2304,36
【猫の咀嚼音】ちゅーるーをペロペロ舐める音,/watch?v=XqF4Y8-6xfw,602,Mikiteee ASMR,414,10か月前,2304,26
うちの猫サチとフクの子猫時代【めちゃカワ】,/watch?v=ULO5p7cv71E,94,Mikiteee ASMR,414,1年前,2304,4
イヤホン型マイクで猫のモフモフな毛を撫でてみたら寝落ちサウンドが撮れた！,/watch?v=Hpl9YIMqRlE,373,Mikiteee ASMR,414,1年前,2304,16
猫の爆音ゴロゴロとふみふみ,/watch?v=m7NYz5E_3v0,801,Mikiteee ASMR,414,1年前,2304,35
ASMR 猫がスープをゴクゴク飲む音,/watch?v=PJIWeFx9FZ0,4869,Mikiteee ASMR,414,1年前,2304,211
猫の咀嚼音 猫缶を食べている時の音 ASMR,/watch?v=uqaajIlXYTM,14062,Mikiteee ASMR,414,1年前,2304,610
砂糖袋を触る音vol.2 ASMR,/watch?v=TUNN_Uq-yOI,153,Mikiteee ASMR,414,1年前,2304,7
耳元でフワフワ梵天 タッピング 水系スクイーズ をバイノーラルサウンドで,/watch?v=ahdtU1JrgN0,136,Mikiteee ASMR,414,1年前,2304,6
うちの猫の鳴き声 お返事集,/watch?v=JuWRmDgolBk,316,Mikiteee ASMR,414,1年前,2304,14
思わず呑みたくなる缶ビールを開ける音vol.2,/watch?v=WwzA3Q8UB4I,5684,Mikiteee ASMR,414,1年前,2304,247
猫がカリカリを耳元で食べる音 ASMR,/watch?v=IQSjiegU_S8,24532,Mikiteee ASMR,414,1年前,2304,1065
猫が耳元でちゅーるーを舐める音 ASMR,/watch?v=TvdDIiDo_8Y,14128,Mikiteee ASMR,414,1年前,2304,613
ASMR 砂糖袋の音vol.1,/watch?v=M7U_A09B5IY,266,Mikiteee ASMR,414,1年前,2304,12
耳かき棒でカリカリするよVol.3,/watch?v=Qbuu-XDOkQk,403,Mikiteee ASMR,414,1年前,2304,17
ASMR プチプチを潰す音,/watch?v=bD98JjYgJQo,138,Mikiteee ASMR,414,1年前,2304,6
3匹の猫がちゅーるーを舐める音[ASMR],/watch?v=obtO-yr9tRs,567,Mikiteee ASMR,414,1年前,2304,25
卵の殻を潰す音 ASMR,/watch?v=4QOAxIet1MU,1739,Mikiteee ASMR,414,1年前,2304,75
ASMR 速いタッピング やってみました。,/watch?v=xsCmAHR4eDk,200,Mikiteee ASMR,414,1年前,2304,9
100均のキネティックサンドを切る,/watch?v=YcQ6981Oa_0,727,Mikiteee ASMR,414,1年前,2304,32
イヤホンマイクとフローラルフォーム夢のコラボ【ASMR】,/watch?v=V22faZ2rb-A,582,Mikiteee ASMR,414,1年前,2304,25
100均のプチブロックを組立てたが…,/watch?v=-0GJyPmQDrs,50,Mikiteee ASMR,414,1年前,2304,2
耳かきでスポンジをカリカリするよ ASMR,/watch?v=x25l2jff0Bg,135,Mikiteee ASMR,414,1年前,2304,6
耳かきでフローラルフォームをカリカリしてたら途中で眠たくなってきた,/watch?v=X_sw4CaG3js,931,Mikiteee ASMR,414,1年前,2304,40
耳かきリクエストASMR,/watch?v=xRt-2oyImZ0,152,Mikiteee ASMR,414,1年前,2304,7
耳かき棒でハートの緩衝材をカリカリ　ASMR,/watch?v=ULOuORXuFrE,369,Mikiteee ASMR,414,1年前,2304,16
耳かき棒でカリカリするよ第2回（タッピング付き）,/watch?v=pqoSygRxPZY,442,Mikiteee ASMR,414,1年前,2304,19
猫がカリカリを食べる音　03【ASMR】,/watch?v=yI_XREp5q_g,986,Mikiteee ASMR,414,1年前,2304,43
耳かき棒でカリカリするよ第1回,/watch?v=9Clvnijl0T0,793,Mikiteee ASMR,414,1年前,2304,34
鳥の動画を夢中で見る猫のサチ,/watch?v=I8pyUszlITw,235,Mikiteee ASMR,414,1年前,2304,10
猫の咀嚼音🐈猫缶を食べる3匹の猫 ASMR,/watch?v=Q4jHt5bv_WI,424,Mikiteee ASMR,414,1年前,2304,18
ASMR耳かきでフローラルフォームをカリカリ2,/watch?v=2rYLVvNk3Ck,310,Mikiteee ASMR,414,1年前,2304,13
ASMR 耳かきでフローラルフォームをカリカリする,/watch?v=Nj7RmEg9RVw,513,Mikiteee ASMR,414,1年前,2304,22
ASMR  思わず呑みたくなる缶ビールを開ける音　Canned Beer Opening Sound,/watch?v=3fgUZrjb_v0,3033,Mikiteee ASMR,414,1年前,2304,132
"ASMR コルクボードを耳かきでガリガリ＆タッピング　Shave cork with earpick, tapping",/watch?v=9XUd9Lbvhjc,231,Mikiteee ASMR,414,2年前,2304,10
ASMR 咀嚼音 深夜の飯テロ 焼き飯,/watch?v=dY4Nk_qbgXs,203,Mikiteee ASMR,414,2年前,2304,9
ASMR 恍惚の表情でふみふみゴロゴロ Cats Kneading&Cat purr,/watch?v=VsFCur585Gs,62,Mikiteee ASMR,414,2年前,2304,3
スクイーズと猫と耳かき（ボツネタ）,/watch?v=cTXcUV_eHwc,49,Mikiteee ASMR,414,2年前,2304,2
ASMR 猫がカリカリを食べる音　ロングバージョン,/watch?v=fSJzUpOBt0U,22124,Mikiteee ASMR,414,2年前,2304,960
ASMR　シャンプーの音　1　shampoo sounds  ヘッドホン推奨,/watch?v=9nj33M6uc_o,389,Mikiteee ASMR,414,2年前,2304,17
ASMR 見てるとだんだん眠くなる猫の動画,/watch?v=Fk9gGhKzad0,882,Mikiteee ASMR,414,2年前,2304,38
ASMR　耳かきの音（梵天多め）01,/watch?v=Kb7ft7iu53A,219,Mikiteee ASMR,414,2年前,2304,10
ASMR　氷を食べる音,/watch?v=3qDT2OXPFa4,195,Mikiteee ASMR,414,2年前,2304,8
ASMR 咀嚼音　アイスを食べる音,/watch?v=oONA5x7SWeM,442,Mikiteee ASMR,414,2年前,2304,19
ASMR 本をめくる音,/watch?v=pvCUYGMkiWo,185,Mikiteee ASMR,414,2年前,2304,8
ASMR　石鹸の箱をタッピング,/watch?v=M4XjRBEwl4o,183,Mikiteee ASMR,414,2年前,2304,8
海で見つけた不思議な物体,/watch?v=QJQbmS7-NMk,38,Mikiteee ASMR,414,2年前,2304,2
ASMR  咀嚼音 おせんべいを食べる音,/watch?v=GLVzowc3JQY,1117,Mikiteee ASMR,414,2年前,2304,48
ASMRハサミの音　Scissors Sound,/watch?v=GYmw9B_2uzM,125,Mikiteee ASMR,414,2年前,2304,5
ASMR タイピング音＃１,/watch?v=FOjYjo4vlUw,154,Mikiteee ASMR,414,2年前,2304,7
ASMR 鉛筆で曲線を描くイメージの音,/watch?v=YqaSvZr5ZbE,118,Mikiteee ASMR,414,2年前,2304,5
ASMR 黒板の音 2　Blackboard Sound 2,/watch?v=hDJRmik8Un0,538,Mikiteee ASMR,414,2年前,2304,23
猫のゴロゴロ詰め合わせpart1,/watch?v=C3lHB2encbE,106,Mikiteee ASMR,414,2年前,2304,5
ASMR イヤホンマイクで猫を撫でる。,/watch?v=Yx4nEuwq2K0,2324,Mikiteee ASMR,414,2年前,2304,101
ASMR　100均つぶつぶスクイーズの音,/watch?v=uYw_SBUDNF4,498,Mikiteee ASMR,414,2年前,2304,22
ASMR 猫がちゅーるーを必死で舐めている音,/watch?v=r7am5Xna-C0,585,Mikiteee ASMR,414,2年前,2304,25
ASMR 黒板に書く音　blackboard sounds,/watch?v=6vaqxc_Ssvw,1482,Mikiteee ASMR,414,2年前,2304,64
ASMR 猫がカリカリを食べる音02,/watch?v=a0sqgJCOToE,1796,Mikiteee ASMR,414,3年前,2304,78
ASMR 耳かきの音 01 ear pick sound,/watch?v=UoccRKVJbvM,181,Mikiteee ASMR,414,3年前,2304,8
【ASMR】炭酸飲料を氷の入ったグラスに注ぐ音,/watch?v=w4-OftiY9EY,545,Mikiteee ASMR,414,3年前,2304,24
【ASMR】猫のフミフミとゴロゴロ,/watch?v=fo6fEhVsjKY,230,Mikiteee ASMR,414,3年前,2304,10
【ASMR】 cat purr sound 猫のゴロゴロ,/watch?v=lX-nC5Hg6v4,206,Mikiteee ASMR,414,3年前,2304,9
【asmr】slime sounds 自作スライムで音を楽しむ,/watch?v=WgTEFCyUKsc,206,Mikiteee ASMR,414,3年前,2304,9
【ASMR】ふうせんねんど,/watch?v=v3mN_pY_yeE,259,Mikiteee ASMR,414,3年前,2304,11
asmr  「たまごあめーばぁぁぁ」でペタペタ,/watch?v=4acBR093NLM,268,Mikiteee ASMR,414,3年前,2304,12
ASMR  折り紙 origami　紙の音,/watch?v=8BYb1X9ExDM,581,Mikiteee ASMR,414,3年前,2304,25
