title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR MUKBANG｜ダッタリをバリバリ言わせてやった｜食べる音｜닭다리｜モッパン｜モクバン｜咀嚼音｜먹방｜EATING SHOW｜REAL SOUNDS [Ryu ASMR],/watch?v=QQqmOCZ9p0M,124,Ryu ASMR,42,4か月前,140,89
ASMR MUKBANG｜カンホドンチキン + チキンム + キャベツサラダを食べる音｜モッパン｜食べる動画｜咀嚼音｜먹방｜EATING SHOW｜REAL SOUNDS  [Ryu ASMR],/watch?v=radmKeeHmbQ,140,Ryu ASMR,42,4か月前,140,100
ASMR MUKBANG｜カルボプルダックポックンミョン2つ + チーズハットグ + カクテキを食べる音｜咀嚼音｜モッパン｜먹방｜EATING SHOW｜REAL SOUNDS  [Ryu ASMR],/watch?v=m5I7zVs_lkI,537,Ryu ASMR,42,4か月前,140,384
ASMR MUKBANG | 新大久保で買ったUFOチキンを食べる音＋チキンム＋チルソンサイダー＋ミチョサイダー｜咀嚼音｜モッパン｜먹방｜EATING SHOW｜[Ryu ASMR],/watch?v=F27vESZcCME,210,Ryu ASMR,42,4か月前,140,150
ASMR MUKBANG 韓国海鮮ちゃんぽん + スパム + キムチ + 唐揚げ 食べる音  맛짬뽕 먹방 ｜EATING SHOW | Ryu ASMR,/watch?v=omgN2cZo4c4,469,Ryu ASMR,42,作成者:4か月前,140,335
【食べる音】フルーツ飴！食べる音 咀嚼音 ASMR FRUIT CANDY TANGHULU(EATING SOUND) NO TALKING｜MUKBANG｜먹방｜,/watch?v=eKH7lebvnHg,286,Ryu ASMR,42,4か月前,140,204
【咀嚼音】 激辛２倍のプルダックポックンミョン（プルダック炒め麺）とトッポギの食べる音｜MUKBANG｜咀嚼音｜EATING SOUNDS | NO TALKING,/watch?v=FVDIj8wx5q4,140,Ryu ASMR,42,4か月前,140,100
【咀嚼音】 牛肉ステーキと1Lビール 食べる音 STEAK＆BEER EATING SOUNDS MUKBANG | NO TALKING,/watch?v=IS9YHdQ-Hqc,79,Ryu ASMR,42,4か月前,140,56
【ASMR】トッポギソースで絡めた辛いエビを食べる音｜咀嚼音｜MUKBANG｜먹방｜食べる音｜Ryu ASMR,/watch?v=21LUXCzAXlg,84,Ryu ASMR,42,作成者:4か月前,140,60
【ASMR】 ハムチーズタマゴトーストとフライドポテトを食べる音｜咀嚼音｜モッパン｜MUKBANG｜,/watch?v=HFoT6mAAl6w,179,Ryu ASMR,42,5か月前,140,128
【咀嚼音】トッポギとキムチとカクテキと唐揚げを食べる音｜ASMR｜MUKBANG｜モッパン｜먹방｜Ryu ASMR,/watch?v=VcZ1lbv3kl4,132,Ryu ASMR,42,作成者:5か月前,140,94
【咀嚼音】映画パラサイトのチャパグリを食べる音｜먹방｜MUKBANG｜モッパン｜EATING SOUNDS｜ASMR｜Ryu ASMR｜,/watch?v=OXoXqBMXI_E,115,Ryu ASMR,42,5か月前,140,82
【Ryu ASMR】唐揚げ棒の咀嚼音 MUKBANG 먹방 | EATING SOUNDS / NO TALKING / モッパン,/watch?v=iigOHNI9ywE,88,Ryu ASMR,42,5か月前,140,63
【Ryu ASMR】コンビニのメンチカツ 咀嚼音 MUKBANG 먹방 | EATING SOUNDS / NO TALKING / モッパン,/watch?v=mSCPEx0yFfI,56,Ryu ASMR,42,5か月前,140,40
【Ryu ASMR】森永 チョコモナカジャンボ 咀嚼音｜MUKBANG/EATING SOUNDS/먹방 CHOCOLATE ICE CREAM,/watch?v=WsrDN3Fjin8,85,Ryu ASMR,42,5か月前,140,61
【Ryu ASMR】ごはんベーコンレタスとフライドポテト MUKBANG マクドナルド｜Ryu ASMR,/watch?v=2ne1irQ8jzw,37,Ryu ASMR,42,作成者:5か月前,140,26
【ASMR】日本のお弁当 도시락 먹방 咀嚼音 Eating Sounds【Ryu ASMR】,/watch?v=nujvopALQro,92,Ryu ASMR,42,6か月前,140,66
【ASMR】 スパイシーなチーズタッカルビを食べる音 Mukbang 먹방 (咀嚼音) モッパン | Ryu ASMR,/watch?v=VtmBAcVr6ww,51,Ryu ASMR,42,作成者:6か月前,140,36
【ASMR】目玉と歯ゼリーを食べる音 먹방 MUKBANG (咀嚼音) モッパン| Ryu ASMR,/watch?v=QrOHOT-Q5Ek,109,Ryu ASMR,42,作成者:6か月前,140,78
【ASMR】スパイシーな巨大なエビを食べる MUKBANG SEAFOOD udang กุ้ง 먹방 | Ryu ASMR,/watch?v=TaW7rZ1NCdE,58,Ryu ASMR,42,作成者:6か月前,140,41
"[ASMR] ロール寿司を作って食べる 절인 연어 김밥 먹방(咀嚼音) ""SOY SAUCE SEAFOOD MUKBANG"" NO TALKING EATING SOUNDS",/watch?v=er3XjTZRekg,85,Ryu ASMR,42,6か月前,140,61
MUKBANG ASMR | 핫도그 먹방|corn dog eating sounds [Ryu ASMR],/watch?v=9lYBye7ruSw,78,Ryu ASMR,42,6か月前,140,56
센베이 먹방 Japanese Cracker Mukbang -ASMR-,/watch?v=vuf0Z1kZpho,54,Ryu ASMR,42,6か月前,140,39
더블 치즈 버거와 먹방 DOUBLE CHEESE BURGER MUKBANG,/watch?v=hNMyM_pyh74,61,Ryu ASMR,42,7か月前,140,44
