title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
トンネルフォトン水６０ｄｂ使い方：卵焼き,/watch?v=bCx72vnrvVc,2,Shuzou Arakak,77,,537,0
下肢静脈エコートレーニングについて、ShuzouArakaki周超音波研究所,/watch?v=EeKDxZ2pnNs,94,Shuzou Arakak,77,,537,18
海洋深層水添加によるマグロなど鮮魚用細胞活性水の作り方,/watch?v=y2DvxFdSfYI,6,Shuzou Arakak,77,,537,1
極性の取れた水（トンネルフォトン水６０db）で美顔美白用クリームソープ作りShuzouArakaki周超音波研究所,/watch?v=61l4kgNeOzo,8,Shuzou Arakak,77,,537,1
沖縄糸満沖深海１４００ｍ調合液トンネルフォトン水６０ｄｂと水道水の指の皮膚細胞の潤い浸透比較,/watch?v=b1tQC-nVRYQ,12,Shuzou Arakak,77,,537,2
令和２年４月１６日沖縄の夕暮れ時の発光物体は何！,/watch?v=5DGXJUvvUPk,5,Shuzou Arakak,77,,537,1
エコートレーニングフルーツゼリーを使った走査トレーニングとゲイン、フォーカス設定の意味：ShuzouArakaki周超音波研究所,/watch?v=z9skvfW1dnk,21,Shuzou Arakak,77,,537,4
港川マグロ水揚げ情報,/watch?v=w6cfpgummeI,7,Shuzou Arakak,77,,537,1
１０Mhz超音波B-モード総頚動脈と鎖骨下動脈観察時のアーチファクトについてリアルタイム動画,/watch?v=v2bY5I9wsbU,25,Shuzou Arakak,77,,537,5
超音波目利きと走査トレーニング・超音波10Mhzミカンゼリー超音波映像目利き、腕橈骨筋観察ShuzouArakaki周超音波研究所,/watch?v=g2m8hmyAJMw,10,Shuzou Arakak,77,,537,2
20080101港川漁港で初日の出、初日の出はやはり美しく感じるので昔の映像をアップしました,/watch?v=5wOMG47dc0w,6,Shuzou Arakak,77,,537,1
2020初日の出を沖縄本島南部東海岸より：ShuzouArakaki周超音波研究所,/watch?v=JtmkTI4RGdA,21,Shuzou Arakak,77,,537,4
深海１４００ｍ調合トンネルフォトン水各種倍率の凍結スピードと氷結晶構築および透明度などの特性実験,/watch?v=5nom-I0VhW0,6,Shuzou Arakak,77,,537,1
ShuzouArakakiシェルアート工房,/watch?v=b2oatOxeJwI,48,Shuzou Arakak,77,,537,9
ShuzouArakaki周超音波研究所海洋深層水水分子結合エネルギー観察,/watch?v=91cdmbbfo68,5,Shuzou Arakak,77,,537,1
トンネルフォトン水６０ｄｂ沖縄糸満沖深海１４００ｍ調合水の皮膚細胞への潤い浸透スピードマイクロビデオスコープでリアルタイム観察動画,/watch?v=ovb0okMBEKE,14,Shuzou Arakak,77,,537,3
夜光貝ランプの輝きを最大限に生かす工法デザイン資料,/watch?v=50AEu-K2Thw,94,Shuzou Arakak,77,,537,18
夜光貝ボリュームレンダリング彩色の勧め美彩輝きは無限大,/watch?v=zUxLUjE0ANE,37,Shuzou Arakak,77,,537,7
ShuzouArakaki夜光貝細工加工品一覧,/watch?v=ajtvZchdiV8,54,Shuzou Arakak,77,,537,10
ShuzouArakaki周超音波研究所,/watch?v=QwAIMNwnDWQ,20,Shuzou Arakak,77,,537,4
海洋深層水調合液トンネルフォトン水潤い浸透実験ビデオスコープ観察と超音波B-モードリアルタイム映像によるキャビテーション抑制テスト動画資料,/watch?v=VcYWcZ6WXm0,15,Shuzou Arakak,77,,537,3
深海１４００ｍ海洋深層水調合液トンネルフォトン水６０ｄｂ皮膚細胞うるおい浸透スピード再現性テスト：美容水つくりを極めるための実験,/watch?v=YjzlOvNbc7w,6,Shuzou Arakak,77,,537,1
深海１４００ｍ深層水調合液純度別氷結テスト,/watch?v=Z2oLI5g_A6s,12,Shuzou Arakak,77,,537,2
トンネルフォトン水６０ｄｂ細胞浸透スピード計測,/watch?v=CnwRFCGhDfk,23,Shuzou Arakak,77,,537,4
ShuzouArakakⓇ自然工房のある日の記録,/watch?v=_-ZBpslKaEA,8,Shuzou Arakak,77,,537,1
マグロ目利きトレーニング模様と旬時期と超音波検査,/watch?v=2mNxaslCA58,49,Shuzou Arakak,77,,537,9
自宅でできる夜光貝磨き,/watch?v=0zdx9FtMYfo,478,Shuzou Arakak,77,,537,89
沖縄糸満沖深海１４００ｍ深層水の使い方,/watch?v=qessvZsjzKs,77,Shuzou Arakak,77,,537,14
沖縄サンゴ復興状況２０１９０８３０,/watch?v=gKj7FvI7710,1,Shuzou Arakak,77,,537,0
夜光貝細工、海洋深層水利用、立体血管模型作成日記スナップ,/watch?v=M6OqY3lbeu8,22,Shuzou Arakak,77,,537,4
沖縄天然海ブドウと養殖海ブドウの品質テスト,/watch?v=sEdjE7ehXtM,35,Shuzou Arakak,77,,537,7
心臓血管（冠状動脈：コロナリーアーテリー）立体模型の作り方と位置関係調整の方法,/watch?v=-RCzDcCHQTc,31,Shuzou Arakak,77,,537,6
トンネルフォトン水６ｄｂ潤い浸透データ,/watch?v=hu1Shi0kJUE,10,Shuzou Arakak,77,,537,2
沖縄糸満沖３０ｋｍ深海１４００ｍ海洋深層水使い方,/watch?v=4ngOqWjAOTg,20,Shuzou Arakak,77,,537,4
養殖魚超音波品質評価,/watch?v=BqDVDNdrquA,22,Shuzou Arakak,77,,537,4
夜光貝の輝きの引き出し方デザイン方法,/watch?v=kKUtte2FS_k,51,Shuzou Arakak,77,,537,9
沖縄自然の調律：台湾かぶと虫見つけた,/watch?v=ZVOMkkrJWes,6,Shuzou Arakak,77,,537,1
夜光貝チップを使った細工,/watch?v=IZUMAo9GHjs,27,Shuzou Arakak,77,,537,5
冬のサンゴ海域散策,/watch?v=NSfM7HlNVnQ,3,Shuzou Arakak,77,,537,1
夜光貝細工、チップを使う,/watch?v=B4CrluFQ0ow,57,Shuzou Arakak,77,,537,11
沖縄初日の出風景と夏日のコマか島水中映像,/watch?v=dz4gSH0T5sQ,8,Shuzou Arakak,77,,537,1
夜光貝チップ作りから細工のヒント,/watch?v=2JJcoyJvJ8w,1053,Shuzou Arakak,77,,537,196
senachannel20181210,/watch?v=Dp5Lkk0qofY,9,Shuzou Arakak,77,,537,2
海洋深層水調合液トンネルフォトン水で海のオアシスつくりとサンゴの森散策,/watch?v=8bC4eL1VJEk,19,Shuzou Arakak,77,,537,4
深海１４００ｍ調合水トンネルフォトン水の活用,/watch?v=Fa2fI5pFD-k,8,Shuzou Arakak,77,,537,1
ShuzouArakakiⓇ研究所データー写真,/watch?v=qB37X1_cOzw,10,Shuzou Arakak,77,,537,2
夜光貝チップ及びシート素材の作り方,/watch?v=oMSCwCGLCPk,2650,Shuzou Arakak,77,,537,493
ShellArt工房夜光貝細工仁の２０１８０６１９,/watch?v=zpLIuYfCKOk,94,Shuzou Arakak,77,,537,18
台風5号通過後のサンゴの森散歩水中映像,/watch?v=glV95Ac6wpA,15,Shuzou Arakak,77,,537,3
ソデ烏賊コラーゲンレシピ,/watch?v=qVeUATAbsS8,13,Shuzou Arakak,77,,537,2
トンネルフォトン水による天然海ブドウ栽培実験記録,/watch?v=avScE0rOg8c,92,Shuzou Arakak,77,,537,17
夜光貝に付着したサンゴを生かす自然工法で仕上げる,/watch?v=pPj4dR5vTK8,329,Shuzou Arakak,77,,537,61
夜光貝の殻の見極め目利き方法のヒント,/watch?v=hMrfMNkBojE,763,Shuzou Arakak,77,,537,142
フライパンで簡単レシピ：サケフレークの作り方,/watch?v=ctgZi685DWM,11,Shuzou Arakak,77,,537,2
沖縄２０１８０５１９潮干狩り,/watch?v=DDXzDZTz6RM,401,Shuzou Arakak,77,,537,75
夜光貝アートデザイン２０１８０４０１,/watch?v=8SJsVqV4LH8,442,Shuzou Arakak,77,,537,82
夜光貝２０１８加工技術とデザインのヒント,/watch?v=Av3VFheQHdA,1433,Shuzou Arakak,77,,537,267
トンネルフォトン水６０ｄｂ添加でグレードアップメニュー作りと賄い海鮮食材処理および介護食レシピ,/watch?v=gK_znbSbK5k,11,Shuzou Arakak,77,,537,2
深海１４００ｍ海洋深層水調合液トンネルフォトン水データー,/watch?v=4_-6wZ2H-F4,15,Shuzou Arakak,77,,537,3
夜光貝表面研磨の方法,/watch?v=ixiMFHTQ6q0,4612,Shuzou Arakak,77,,537,859
２０１８夜明け10分のひと時,/watch?v=jTQLmdNEwBk,8,Shuzou Arakak,77,,537,1
２０１８初日の出動画一瞬,/watch?v=nzPJbuaHK08,20,Shuzou Arakak,77,,537,4
2018年初日の出沖縄本島南部東海岸,/watch?v=PkSGGtxIxQw,48,Shuzou Arakak,77,,537,9
ShuzouArakaki®シェルアート２０１７,/watch?v=7dKsKKyFcnA,47,Shuzou Arakak,77,,537,9
自然の美しさのままのスイジ貝と夜光貝について,/watch?v=CcEtiJiB-sg,595,Shuzou Arakak,77,,537,111
沖縄南城市海岸極秘スポット散歩,/watch?v=WoVIOFWhcQ8,14,Shuzou Arakak,77,,537,3
夜光貝の煮つけレシピからShellArt素材の作り方,/watch?v=vVe9vJYTCds,411,Shuzou Arakak,77,,537,77
珊瑚白骨化防止策　沖縄南部東海岸散策,/watch?v=ZD1wmPUhgfA,26,Shuzou Arakak,77,,537,5
夜光貝デザイン：ボリュームレンダリング彩色の方法,/watch?v=9eneCWd9huU,364,Shuzou Arakak,77,,537,68
皆既日食,/watch?v=T27InCygI_E,30,Shuzou Arakak,77,,537,6
夜光貝の新しい研磨方法の輝き,/watch?v=MlSe3FeMDmg,11774,Shuzou Arakak,77,,537,2193
