title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[Spoon] ビスケットの咀嚼音ASMR聴いてく？🎧イヤホン推奨,/watch?v=S1_olw-9eyc,240,Spoon Jap,7800,,341330,0
[Spoon] 彼女と寝落ちもしもし📞していきませんか 52sec,/watch?v=lX3ogu64Mkg,458,Spoon Jap,7800,,341330,0
[Spoon] 彼女と寝落ちもしもし📞していきませんか 38sec,/watch?v=JsyrvDnGYhg,311,Spoon Jap,7800,,341330,0
[Spoon] 1人で数種類の声が出せる「多声類」が色んな声でもしもし言ってみた,/watch?v=deCVND8xNA0,465,Spoon Jap,7800,,341330,0
[Spoon]まずは配信、聴いてこ！🎧,/watch?v=h_OU-QU-_Vc,14914,Spoon Jap,7800,,341330,4
[Spoon] 明日も早起きしなきゃいけないのに…。,/watch?v=CXL3M46xBcA,22397,Spoon Jap,7800,,341330,7
[Spoon] 人気DJのボイスプロフィール🎶枠に遊びにおいで！,/watch?v=henf5YdAGiw,10606,Spoon Jap,7800,,341330,3
[Spoon] なりたいあなたになれる場所🎶,/watch?v=jEr052wb35M,691,Spoon Jap,7800,,341330,0
[Spoon] 眠れないあなたへ。,/watch?v=ECQn8Gx4jgw,1018,Spoon Jap,7800,,341330,0
[Spoon] ボイスリクエストで「お疲れ様」が聴ける☺☽,/watch?v=IqV7B_5nHlM,37475,Spoon Jap,7800,,341330,11
[Spoon] あれ、聴いていかないの？,/watch?v=7uzvrLNLGJo,24166,Spoon Jap,7800,,341330,7
[Spoon] 本格声劇～相合傘で帰りたい～40sec,/watch?v=2z2ATDtv5LA,26785,Spoon Jap,7800,,341330,8
[Spoon] ～君の声に出会ってから～,/watch?v=7fDld9hpK-w,11105,Spoon Jap,7800,,341330,3
[Spoon] 疲れたあなたを癒します。,/watch?v=H3H-2eVYL9A,1626,Spoon Jap,7800,,341330,0
[Spoon] 辛い時、慰めてくれる声がここにある☺,/watch?v=aOpH_NAS4PM,8244,Spoon Jap,7800,,341330,2
[Spoon] 声で誰かのおやすみが聴きたい夜☽,/watch?v=GXl10-13pGA,181916,Spoon Jap,7800,,341330,53
[Spoon] 推せる声探そう！ここで見つかるあなた好みの声,/watch?v=MCC2HEtNNNU,14610,Spoon Jap,7800,,341330,4
[Spoon] あなたはどのシチュボ派？💞,/watch?v=NGrtHv6xkbU,9355,Spoon Jap,7800,,341330,3
[Spoon] あなた好みの配信が見つかる♪まずは試し聞きから！,/watch?v=a_uy-64v5aI,30049,Spoon Jap,7800,,341330,9
[Spoon] 潜りOK! 寝落ち配信へようこそ！15sec,/watch?v=9oZEmntonL8,1093993,Spoon Jap,7800,,341330,321
[Spoon] 人気DJのボイスプロフィール聴いてく？ 15sec,/watch?v=8c-7pQetavM,4413,Spoon Jap,7800,,341330,1
[Spoon] 人声寂しい夜、声を聴きながら寝落ちする？🛏💤,/watch?v=zuBbotT89Fo,2246,Spoon Jap,7800,,341330,1
[Spoon] あなた好みの声が見つかる。15sec,/watch?v=DXTIOEHby0s,27997,Spoon Jap,7800,,341330,8
[Spoon]毎日お勤めお疲れ様です。,/watch?v=w8fkonVt2Sk,3334,Spoon Jap,7800,,341330,1
[Spoon] 全世界2000万ユーザー突破！声で楽しむアプリ♪,/watch?v=tMJHa95ob6k,3653,Spoon Jap,7800,,341330,1
[Spoon] 聞きたい言葉を聞きたい時に！声で元気をチャージ 25sec,/watch?v=iktWeJM2GtE,2209,Spoon Jap,7800,,341330,1
[Spoon] 頑張ってるあなたは、偉いです。,/watch?v=ELEqOPbpeGA,5714,Spoon Jap,7800,,341330,2
[Spoon] 誰かの声、ふと聴きたくなった夜に。,/watch?v=_ay2jwRr1_s,1529,Spoon Jap,7800,,341330,0
