title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
SUB)今日はチキンモッパン！puradakの ブラックチキン、唐辛子マヨネーズチキン、チーズボールとトッポッキを食べる🐹리얼사운드 먹방 咀嚼音 MUKBANG ASMR EATING SOUNDS,/watch?v=bbrwaw-WAYM,527,Star Bread ASMR 별빵이,1880,1日前,1538,34
SUB)やわらかいベーコンチーズクリームパスタをシュプリームチキンと一緒に食べる 리얼사운드 먹방 咀嚼音 MUKBANG ASMR EATING SOUNDS,/watch?v=mIu0TtIfdDE,651,Star Bread ASMR 별빵이,1880,3日前,1538,42
"SUB)カルボブルダックと一緒に食べるプリンクルチキン, プリンクルチーズボール, ソトックソトックも食べる 리얼사운드 먹방 咀嚼音 MUKBANG ASMR EATING SOUNDS",/watch?v=sIlqoOi89P8,1289,Star Bread ASMR 별빵이,1880,1週間前,1538,84
SUB)今日はコプチャンモッパン！ ホルモン焼き、味付けホルモンにホルモンチャーハンも食べる 리얼사운드 먹방 咀嚼音 MUKBANG ASMR EATING SOUNDS,/watch?v=QZTPphYfbkU,1273,Star Bread ASMR 별빵이,1880,1週間前,1538,83
SUB)どんぶりモッパン！鮭丼と唐揚げ丼、えび天も食べる 咀嚼音 리얼사운드 먹방 MUKBANG ASMR EATING SOUNDS,/watch?v=u63kEKjHGec,810,Star Bread ASMR 별빵이,1880,2週間前,1538,53
SUB)今日はチャジャン麺モッパン！ カンチャジャンに酢豚、乾烹鷄まで食べる 咀嚼音 리얼사운드 먹방 MUKBANG ASMR EATING SOUNDS,/watch?v=DtNFQtlhe4g,1113,Star Bread ASMR 별빵이,1880,2週間前,1538,72
SUB)TWOSOME PLACEケーキモッパン！ オレオアイスボックス、Red  Velvetなど6種類のデザート 咀嚼音 리얼사운드 먹방 MUKBANG ASMR EATING SOUNDS,/watch?v=encersZJKJw,1597,Star Bread ASMR 별빵이,1880,2週間前,1538,104
SUB)粉耗子トッポッキと天ぷら、スンデ、キムパプ(のり巻き)までモッパン 咀嚼音 리얼사운드 먹방 MUKBANG ASMR EATING SOUNDS,/watch?v=rrhygPtmcOU,1042,Star Bread ASMR 별빵이,1880,3週間前,1538,68
SUB) [咀嚼音] 鉄板に溶かしたチーズとブンバスティックチキン、ブルダック炒め麺、そしてプリングルチーズボール モッパン 먹방 ASMR MUKBANG EATING SOUNDS,/watch?v=OdG_kE6PLS4,1211,Star Bread ASMR 별빵이,1880,3週間前,1538,79
SUB) [咀嚼音] カラフルなコンビニデザート モッパン 먹방 ASMR MUKBANG EATING SOUNDS,/watch?v=3Ru78JdhiVs,1352,Star Bread ASMR 별빵이,1880,3週間前,1538,88
