title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR大王ポッピングボバ3種♥プチプチ口の中で*飛び出す音*〜ポポッピングボバ♥食べる音,/watch?v=GId88k51eO4,41365,Yummy's ASMR 야미스,24200,6日前,441796,9
ASMR食用ネイルアート🌟マニキュア、リムーバーワックス瓶キャンディ、綿あめのデザート、食べる音,/watch?v=C0Vm8D2MWZM,43084,Yummy's ASMR 야미스,24200,1週間前,441796,10
ASMR食用卵ボックス🥚🍳卵ケーキ、ポットチョコレート、キッチンナイフ、エッグタルト、デザートを食べる音,/watch?v=7naTk6nbZJY,71423,Yummy's ASMR 야미스,24200,2週間前,441796,16
ASMR LGベルベット7色のデザート、食べる音 MUKBANG ASMR、ホームシックゼリー、バナナケーキ、マカロン、水晶玉、,/watch?v=D2v_nrMEfm4,138201,Yummy's ASMR 야미스,24200,3週間前,441796,31
ASMR  🍴 奇妙な食用の食品♥ COMPILATION＃6デザート,/watch?v=g1UGhIrY7og,71381,Yummy's ASMR 야미스,24200,1か月前,441796,16
ASMR食用パステル🌈カラー鉛筆、ボールペン、虹学校用品食品、食べる音,/watch?v=qzoD7wQX9so,164509,Yummy's ASMR 야미스,24200,1か月前,441796,37
ASMR食用浴槽、泡キャンディ、バスブラシ、フットストーン、タオル、石鹸、鏡、ホームシック、食べる音,/watch?v=Eeoip1qCbuk,324762,Yummy's ASMR 야미스,24200,1か月前,441796,74
ASMR食用💡電球 NIK-L-NIPSワックスボトルキャンディ、食べる音ASMR MUKBANG,/watch?v=dDBEWkpZWnQ,70899,Yummy's ASMR 야미스,24200,2か月前,441796,16
ASMRデザート学校用品📒巨大鉛筆、はさみ、定規、紙、ボールペン、食べる音、,/watch?v=fYbSQAtkEe8,739411,Yummy's ASMR 야미스,24200,2か月前,441796,167
ASMR  🍴 奇妙な食用の食品♥ COMPILATION＃5 デザート,/watch?v=uft0GqpDFyU,144217,Yummy's ASMR 야미스,24200,2か月前,441796,33
ASMR冷凍TIKTOK＆レゴNIK-L-NIPSワックスボトルフルーツゼリーキャンデー、食べる音,/watch?v=j8XJsMq0zfw,938797,Yummy's ASMR 야미스,24200,2か月前,441796,212
ASMR ファンデーションミラーボールパフ櫛アイシャドウ、口紅食べる音,/watch?v=wXSPIgG5ERE,642477,Yummy's ASMR 야미스,24200,2か月前,441796,145
