title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【音フェチ*ASMR】 💗告知💗重大発表💗 Binaural Sounds & Whispering / REIKA_ASMR,/watch?v=e_hnT2osFCw,3248,ka_,,,7521,43
【音フェチ*ASMR】 コーラとポテチ食べながら雑談 💗💗💗 Binaural Eating Sounds & Whispering,/watch?v=nIgVAXR4fz8,7081,ka_,,,7521,94
【音フェチ*ASMR】※絶対に最後まで見ないでください！ 囁き声 リアルな寝息の音 💗💗💗 Binaural  Sleeper's breathing Sounds & Whispering,/watch?v=TtMzPDU6E9k,6119,ka_,,,7521,81
【音フェチ*ASMR】大失敗 お蔵入り コーラ一気飲みしてグダグダになる動画 💗💗💗 Binaural drinking cola sounds & Whispering,/watch?v=bbSUpRloTBs,6824,ka_,,,7521,91
【音フェチ*ASMR】 ベッドの中で彼氏と寝ながらトーク鼻毛抜いてたら地震 💗💗💗 Binaural pillow talk Whispering,/watch?v=99QAZv_YMW0,3142,ka_,,,7521,42
⭐️音フェチ*ASMR⭐️ 咀嚼音 キッチンサウンド 料理音 野菜スティック食べる音 💗💗💗 Binaural Cooking Sounds & Whispering,/watch?v=wJQCPQzta-M,1350,ka_,,,7521,18
【音フェチ*ASMR】りんごを食べたらすごいことになったよ！ 💗💗💗 Binaural Eating apple sounds & Whispering,/watch?v=STU9VkNF2O8,3742,ka_,,,7521,50
【音フェチ*ASMR】おならが出るまで ポテトチップス食べ続けました！ 💗💗💗 Binaural  Eating Sounds Potato Chips & Whispering,/watch?v=UOFkg0bWvRU,11445,ka_,,,7521,152
【音フェチ*ASMR】囁き声 くしゃみ＆鼻水の音で音楽作ったよ♪ 💗💗💗 Binaural Sneezy sound music & Whispering,/watch?v=kE_1prItEzk,10844,ka_,,,7521,144
【音フェチ*ASMR】咀嚼音 げっぷ 囁き声 シーフードヌードル 食べる音♪ 💗💗💗 Binaural Sound eating ramen & Whispering,/watch?v=ZOt1SgAj1yk,3350,ka_,,,7521,45
【音フェチ*ASMR】 囁き声 オヤスミ前の歯磨きの音♪ 💗💗💗 Binaural Dentifrice Sounds & Whispering,/watch?v=xQI4JQsA3Mo,1194,ka_,,,7521,16
【音フェチ*ASMR】 おならで音楽作ってみたよ♪ 💗💗💗 Binaural Music of Farts & Whispering,/watch?v=IZid4AGDWmY,12356,ka_,,,7521,164
【音フェチ*ASMR】 囁き声 クッキング 料理 調理音 手羽先を炒める音 💗💗💗 Binaural Cooking Sounds & Whispering,/watch?v=aVNa5Wbx5f0,765,ka_,,,7521,10
【音フェチ*ASMR】 ゲップの音楽♪（ゲップの音で曲を作ってみました♪） 💗💗💗 Binaural Burp Sound music & Whispering,/watch?v=ToBebJE42yc,5221,ka_,,,7521,69
【音フェチ*ASMR】 囁き声 おなら? ゲップ? パリパリ餃子の咀嚼音（以前の続編） 💗💗💗 Binaural Eating dumpling Sounds & Whispering,/watch?v=3IXTqYexrAg,18196,ka_,,,7521,242
【音フェチ*ASMR】 激辛缶詰を食べたら鼻水は止まらなくなるのか？ 💗💗💗 Binaural Eating Sounds & Whispering,/watch?v=C9TKntyyddw,2551,ka_,,,7521,34
【衝撃発表】 炭酸を飲んでゲップを我慢したらオナラは出るのか？ 💗💗💗【音フェチ*ASMR】VAZ ヒカル ラファエル 富豪serina,/watch?v=hkI-mG_hH6Y,13842,ka_,,,7521,184
【音フェチ*ASMR】囁き声 雑談 鼻水 コーラゲップチャレンジ 💗💗💗 Binaural Runny nose water coca cola Sounds & Whispering,/watch?v=RrRJdVn81x0,9417,ka_,,,7521,125
【音フェチ*ASMR】 いろんな場所でゲップやオナラサウンド♪ 💗💗💗 Binaural Fart Sounds & Whispering,/watch?v=ZrSKZTLL7gA,68262,ka_,,,7521,908
Japanese ASMR 耳かきロングバージョン Ear Cleaning (｡-ω-)ノ일본어 귀청소 -binaural- 💗💗💗 Eng Esp Fra Tur Sub,/watch?v=0BcYfFzV0d8,1725,ka_,,,7521,23
【音フェチ*ASMR】パリパリ餃子 調理音 キッチンサウンド 💗💗💗 Binaural Sound of making dumpling dishes & Whispering,/watch?v=gdI8X7uBCDg,876,ka_,,,7521,12
