title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Beautiful Sunset at the Senaga island OKINA!!,/watch?v=zSLEGk5236s,3,karappo c,16,,770,0
【海ぶどう】やってはいけないこと！正しい食べ方！,/watch?v=jcaZiO5qySs,10401,karappo c,16,,770,1351
マンゴーの切り方。【How to cut mango】,/watch?v=ISGUKDPo8yk,22,karappo c,16,,770,3
【台湾】ピーナツアイスクリーム,/watch?v=QkmpPiwYu3w,39,karappo c,16,,770,5
らっきょうの処理の仕方。,/watch?v=aJoC9sVLEQo,404,karappo c,16,,770,52
【cafe recipes】わんぱくサンド‼︎沖縄ver.,/watch?v=ZAFSR6RTRUI,34,karappo c,16,,770,4
【cafe recipes】わんぱくサンド,/watch?v=tCZyH0Yl0rI,75,karappo c,16,,770,10
【ハロウィン】おすすめコスプレ！！ 家族向け　Family Halloween,/watch?v=6uGjQmRmgD0,18,karappo c,16,,770,2
【自家焙煎】いるいるくん使用　Roasting green coffee beans at home♪,/watch?v=Yu2UthbsKII,48,karappo c,16,,770,6
【高知のおみやげ】一度は食べにゃ～いかんぜよ！,/watch?v=4pY4MWFrdLI,32,karappo c,16,,770,4
【おススメグルメ】ぐぐカレー in 福岡　【curry rice】,/watch?v=Ji9AId1hTxA,150,karappo c,16,,770,19
マッサージやリラクゼーションサロンにお得に行く方法‼︎,/watch?v=GsPfK9gnBa4,3,karappo c,16,,770,0
ベトナム衣装 アオザイ【 Việt Nam　Ao dai】,/watch?v=X11_DeSPYyU,240,karappo c,16,,770,31
Moon river,/watch?v=lr7QMsdNYNU,6,karappo c,16,,770,1
L-O-V-E jazz　in　浅間 ハイランドリゾートホテル,/watch?v=0_4P24JYbYU,8,karappo c,16,,770,1
It Don't Mean A Thing If It Ain't Got That Swing　でゅわでゅわ,/watch?v=X_703RAQo-U,23,karappo c,16,,770,3
花火 スローモーション,/watch?v=EYQFmy7UgLQ,2,karappo c,16,,770,0
わかんない,/watch?v=9ZVNWQNd7E4,1,karappo c,16,,770,0
【Hanabi opening】花火大会　オープニング,/watch?v=BgXSkx73Zrs,3,karappo c,16,,770,0
アーチェリー,/watch?v=RrUwG6Z9xhY,2,karappo c,16,,770,0
ネコ cat,/watch?v=WQE2QJaAgjE,0,karappo c,16,,770,0
しゃくとりむし,/watch?v=Kn193wA-fnQ,82,karappo c,16,,770,11
ビリヤード神業,/watch?v=AOD_KxQs2I8,73,karappo c,16,,770,9
Disc Golf　はじめてのディスクゴルフ,/watch?v=VKRmyE2NjJo,10,karappo c,16,,770,1
【カメの餌やり風景】カメが臭くならない餌は？,/watch?v=45DLpqbLhmY,385,karappo c,16,,770,50
昔懐かしの魚釣りゲームやってみた！！paku  fishing game,/watch?v=OP2xWPXlUD0,18,karappo c,16,,770,2
無添くら寿司 お皿のふたのの開け方&お皿の回収,/watch?v=Sop3fjgCkvY,11288,karappo c,16,,770,1466
【絶景!!】ドローン撮影　福岡県,/watch?v=vodphd7KHyQ,56,karappo c,16,,770,7
【絶景!!】ドローン撮影　福岡県,/watch?v=9O7n-qLqiDw,36,karappo c,16,,770,5
【絶景】ドローン撮影　福岡県糸島,/watch?v=xfnxqZYB3Lw,28,karappo c,16,,770,4
【絶景】ドローン撮影　Palm Beach in 糸島,/watch?v=VjjvoNBEYNY,56,karappo c,16,,770,7
宮古島旅行　海ぶどうを食べてみた。,/watch?v=COV9a-XPsus,1102,karappo c,16,,770,143
