title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
森香澄アナウンサーが朗読する グリム童話『ラプンツェル』【睡眠用】,/watch?v=XvCaXTrT3gc,19,ın yener doğ,6,,131,15
田中瞳アナウンサーが朗読する『偉人たちのポジティブな名言集』【睡眠用】,/watch?v=kTiqNtrWygI,57,ın yener doğ,6,,131,44
田中瞳アナウンサーが朗読する『筋トレ格言集』【筋肉用】,/watch?v=YLZrZYFxyvg,51,ın yener doğ,6,,131,39
蛭子能収をメイクでフレディ・マーキュリーに変身させる動画（ノーカット） Freddie Mercury transformation of old man by makeup【内村のツボる動画大賞】,/watch?v=hu_6mc3xc_I,54,ın yener doğ,6,,131,41
田中瞳アナウンサーが朗読する『ウルトラマンの熱い名セリフ集』【睡眠用】,/watch?v=AdYl-roknTU,20,ın yener doğ,6,,131,15
田中瞳アナウンサーが朗読する『雨ニモマケズ』（宮沢賢治）,/watch?v=gSCCbuj9ddY,34,ın yener doğ,6,,131,26
【真剣勝負】森香澄アナウンサーが挑戦！『10分で早口言葉を100個言うチャレンジ』,/watch?v=8Iifjp70vvY,24,ın yener doğ,6,,131,18
【大食いYouTuber集結】20kg超のデカ盛り中華を１時間で食べきれるか!一流料理人との真剣勝負！【MAX鈴木ロシアン佐藤Dracö vs  菰田欣也軍団】,/watch?v=-Vibr-Qra_k,14,ın yener doğ,6,,131,11
元世界王者の空手女子が『瓦』何枚割れるかやってみた！ 長野じゅりあ,/watch?v=piqwebPRc0Q,119,ın yener doğ,6,,131,91
完全に駅名だけで『桃太郎』読み聞かせしてみた【元駅員芸人の絵本朗読】 鈴木メトロ（各駅マッシュ）,/watch?v=7U0ucti-eY4,3,ın yener doğ,6,,131,2
【軽い事故】森香澄アナウンサーが挑戦！『早口言葉を噛まずに何個言えるかチャレンジ』,/watch?v=IbFhSMWCB2Q,167,ın yener doğ,6,,131,127
平野ノラをメイクで『モナ・リザ』に変身させる動画（ノーカット）  Mona Lisa transformation of Japanese lady by makeup【内村のツボる動画大賞】,/watch?v=DY3DA0me4JQ,7,ın yener doğ,6,,131,5
テレ東アナウンサー・森香澄と聖坂46が『ガラスを割れ！』（欅坂46）の歌とダンスに挑戦！【練習風景&MV】,/watch?v=onbKhmASqKg,926,ın yener doğ,6,,131,707
【歌詞つき】中垣正太郎アナウンサーが全力で『ハカ』を踊る動画,/watch?v=xMF6vdBgFbk,103,ın yener doğ,6,,131,79
【プロテスト直前】プロボクサーを目指す33歳女芸人の自宅トレーニングルーティン  さち（かぎしっぽ）,/watch?v=EqIFzUi6fFU,19,ın yener doğ,6,,131,15
一卵性の双子が完全シンクロのモーニングルーティン撮ってみた！  みことね,/watch?v=hVW0UoAzubQ,6,ın yener doğ,6,,131,5
【職人技】渋谷のチャーハン専門店・村上さんの高速鍋さばき  Super speed fried rice cooking in Shibuya【内村のツボる動画大賞】,/watch?v=xLBrD6ION6c,15,ın yener doğ,6,,131,11
【広瀬香美&中垣正太郎アナが歌う】ロマンスの神様（Full） 【高音デュエット】,/watch?v=ewNc_nQ7_rU,57,ın yener doğ,6,,131,44
【広瀬香美&中垣正太郎アナが歌う】 Pretender   Official髭男dism （Full cover MV）【高音デュエット】,/watch?v=gNw5O_IwWDI,88,ın yener doğ,6,,131,67
【新宿二丁目の歌ウマさんが歌う】馬と鹿  米津玄師（Full cover MV） Uma to Shika by good singer in Shinjuku 2 chome,/watch?v=9ICVwpl3vJY,22,ın yener doğ,6,,131,17
【低音男声アカペラ】だから僕は音楽を辞めた  ヨルシカ【１人で多重録音・カバー】 鈴木ジェロニモ（コガラシガーナ）,/watch?v=Cg-biRMHBto,3,ın yener doğ,6,,131,2
【パルクール】バク転しながらモーニングルーティン撮ってみた  中野紫音 Parkour at home,/watch?v=nZEhM2ipGT8,24,ın yener doğ,6,,131,18
【ピアノ凄技】後ろ向きで『Pretender』（Official髭男dism）弾いてみた  まとばゆう,/watch?v=df1FoLYArhA,1,ın yener doğ,6,,131,1
【アクアリウム】水産学科出身の魚好き芸人が水槽をレイアウトしカクレクマノミを飼う動画  西田涼（キャプテンバイソン）,/watch?v=6xtGy1NWEu0,9,ın yener doğ,6,,131,7
【テレビ東京アナウンサー・田中瞳と中垣正太郎が歌う】ハナミズキ  一青窈（Full cover MV） TV announcers sing Hanamizuki,/watch?v=lousNdLHK50,246,ın yener doğ,6,,131,188
【テレビ東京アナウンサー・森香澄が歌う】宿命  Official髭男dism（Full cover MV） TV announcer sings Shukumei,/watch?v=iNuG9r2fpcI,919,ın yener doğ,6,,131,702
【テレビ東京アナウンサー・中垣正太郎が歌う】You Raise Me Up  Celtic Woman（Full cover） TV announcer with AMAZING VOICE!,/watch?v=Pxr4GZhBxg4,173,ın yener doğ,6,,131,132
【ASMR】デヴィ夫人が耳かきであなたを眠らせる動画（睡眠用） Dewi Sukarno makes you sleep by ear cleaning sound【内村のツボる動画大賞】,/watch?v=qbqAEd_qR-8,128,ın yener doğ,6,,131,98
【ASMR】デヴィ夫人が耳元で日本語オノマトペを囁きます  Dewi Sukarno whisper Japanese onomatopoeia【内村のツボる動画大賞】,/watch?v=qyY5WL_tedg,54,ın yener doğ,6,,131,41
【GRWM】仏像大好き女芸人『みほとけ』のモーニングルーティン【朝食、メイク、座禅】 みほとけ,/watch?v=atR4rBalZME,5,ın yener doğ,6,,131,4
【ASMR】デヴィ夫人が鰹節をひたすら削る音  Dewi Sukarno shaves Japanese bonito flakes【内村のツボる動画大賞】,/watch?v=nl_2TQJZlEY,24,ın yener doğ,6,,131,18
