title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
夏におすすめ！OLが作る冷やしても美味しいビールに合うおつまみ,/watch?v=2bmLLzFSOrU,277,あおいクッキング,615,6日前,635,44
OLが作る休日のカルパッチョ,/watch?v=_ki097DezFI,374,あおいクッキング,615,1週間前,635,59
【ASMR】咀嚼音・イヤホン推奨,/watch?v=KWRA692P-_Q,378,あおいクッキング,615,2週間前,635,60
OLの休日【2日かけて作る極上フレンチトースト】くまクッキングチャレンジ,/watch?v=8eYU_tVYgnU,406,あおいクッキング,615,2週間前,635,64
【くまクッキング】に似てると信じて疑わないOLが作る！豚しゃぶおろし　ぶっかけそうめん,/watch?v=tED9kgfxUC0,421,あおいクッキング,615,2週間前,635,66
【くまクッキングチャレンジ】一人暮らしに最適な簡単絶品なキーマカレーの作り方,/watch?v=2IFAEIsjiUA,393,あおいクッキング,615,3週間前,635,62
【くまクッキング】になりたいOLが作る絶品！豚ネギつけうどん,/watch?v=FuEIzFVqRzE,330,あおいクッキング,615,3週間前,635,52
【くまクッキングチャレンジ】インスタント麺で1番美味しい油そば！！,/watch?v=VBdbaJqj6Po,399,あおいクッキング,615,4週間前,635,63
【週刊少年マガジン】とコラボ出来ると信じてやまないOLが作るふわとろ！親子丼,/watch?v=c3LgtbC2Mro,432,あおいクッキング,615,1か月前,635,68
【くまクッキング】になれると信じてやまないOLが作るコロコロジャーマンポテト,/watch?v=xeSkuCcqqlM,528,あおいクッキング,615,1か月前,635,83
【くまクッキングチャレンジ】焼き豚いらずの絶品炒飯！！,/watch?v=IX2j5HUjjNY,406,あおいクッキング,615,1か月前,635,64
【くまクッキングチャレンジ】豚バラ大根のとろみ煮！ひと手間加えると濃厚な味,/watch?v=590too-AAH0,388,あおいクッキング,615,1か月前,635,61
【くまクッキングチャレンジ】ビール風りんごゼリー　簡単じゃない料理,/watch?v=I84xUEvbyLY,424,あおいクッキング,615,1か月前,635,67
【ASMR】咀嚼音・初めてのASMR　韓国風チキン丼,/watch?v=K56r6w6sLCQ,1129,あおいクッキング,615,1か月前,635,178
【くまクッキングチャレンジ】ふんわり卵の韓国風チキン丼,/watch?v=iof4kpmuUqQ,1375,あおいクッキング,615,1か月前,635,217
【くまクッキングチャレンジ】簡単おいしい マグロ漬け丼,/watch?v=9ip5XIL_FfQ,365,あおいクッキング,615,1か月前,635,57
【くまクッキングチャレンジ】えのきベーコン巻きwithチーズ　簡単料理,/watch?v=oDwnzOk1j7E,361,あおいクッキング,615,1か月前,635,57
生ハムのユッケ風レシピ　簡単料理でユッケ風を自宅で！！,/watch?v=R1v2XDhcdXc,1046,あおいクッキング,615,2か月前,635,165
激ウマ！簡単料理【一風堂もやし】,/watch?v=XhUvbLHkJCI,494,あおいクッキング,615,2か月前,635,78
【くまクッキングチャレンジ】簡単料理　ゴーヤとツナの卵炒め,/watch?v=x2IaF5irrQ0,245,あおいクッキング,615,2か月前,635,39
【くまクッキングチャレンジ】簡単料理　レモンペッパーの塩豚丼,/watch?v=E1jGQRk422M,358,あおいクッキング,615,2か月前,635,56
【簡単料理】バター醤油がおいしい大根ステーキ,/watch?v=AWBXpxTzuGo,662,あおいクッキング,615,2か月前,635,104
【くまクッキングチャレンジ】簡単料理！きゅうりとツナの旨辛和え,/watch?v=2PDqpcuvBsk,448,あおいクッキング,615,2か月前,635,71
【くまクッキングチャレンジ】水菜とベーコンのフレンチサラダ,/watch?v=MRqGoOAILp8,740,あおいクッキング,615,3か月前,635,117
明日作りたくなる極上ユッケ丼！,/watch?v=StCeIGT9eFY,2627,あおいクッキング,615,3か月前,635,414
くまクッキングチャレンジ【くまのプーさん】SNSで人気のおかし料理にチャレンジ,/watch?v=hXHcoiRqtMc,420,あおいクッキング,615,3か月前,635,66
【料理研究家のレシピ参考のドライカレー】くまクッキングチャレンジ！簡単OL料理,/watch?v=gEoi50B-C6c,422,あおいクッキング,615,3か月前,635,66
【ビタミンDも豊富！絶品おつまみ】簡単に出来る！舞茸とベーコンのオリーブオイル炒め,/watch?v=FeD2KHcCRuM,333,あおいクッキング,615,3か月前,635,52
くまクッキングチャレンジ【豚バラネギ塩スープ】OL簡単料理,/watch?v=fTLZbl62cLw,1097,あおいクッキング,615,3か月前,635,173
【くまクッキングチャレンジ】OL簡単料理　おいしいポテトサラダ,/watch?v=gfARsK-u-Lg,686,あおいクッキング,615,3か月前,635,108
【くまクッキングチャレンジ】三食丼～彩り鮮やか～OL簡単料理,/watch?v=DNvDxSfSi-M,303,あおいクッキング,615,3か月前,635,48
【くまクッキングチャレンジ】ジャーマンポテト風炒め　OL簡単料理,/watch?v=Lfks0pYdkt4,1397,あおいクッキング,615,3か月前,635,220
【くまクッキングチャレンジ】簡単OL料理　コスパがいい焼うどん,/watch?v=6MmFKjbcqXg,1226,あおいクッキング,615,4か月前,635,193
