title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【超簡単!】材料3つ  コーヒーバナナジェラート/冷たいスイーツ,/watch?v=GfZDbtyf8AI,17,あーぴょchannel,25,3週間前,156,11
【NiziU】虹ユーキットカットケーキ🌈   NiziUcake,/watch?v=OALCQm-U5Zk,41,あーぴょchannel,25,1か月前,156,26
【鬼滅の刃】善逸/ねづ子 キャラ弁作ってみた  Demon Slayer,/watch?v=eXLPjEMgSf4,31,あーぴょchannel,25,1か月前,156,20
【オレオチーズケーキ】(ノアール) cookiecheesecake,/watch?v=iG2GNvTVD1Q,28,あーぴょchannel,25,2か月前,156,18
咀嚼音/ASMR ジャイアントカプリコとチョコのお菓子を食べる  eat sweets,/watch?v=Ws-kXszQJ1I,61,あーぴょchannel,25,2か月前,156,39
【激うま】ふわふわ卵サンド egg sandwich,/watch?v=x2hWtfiiGSs,9,あーぴょchannel,25,3か月前,156,6
【なんちゃっていちごミルクアイス】strawberry milk ice-cream style,/watch?v=lzL_PGZDar0,12,あーぴょchannel,25,3か月前,156,8
咀嚼音/ASMR /アイス食べる eat ICE,/watch?v=z67oOL9Vyxs,51,あーぴょchannel,25,3か月前,156,33
食べれるスライム！ねるねるねるね  edible slime,/watch?v=Qt-K0l8NpmY,16,あーぴょchannel,25,3か月前,156,10
〜ミニチュア〜作って食べよう！パン屋さん(ねるねるねるね) miniature confectionery,/watch?v=lafWM57eFDA,13,あーぴょchannel,25,4か月前,156,8
【ダイエット記録】女は努力してるよね笑〜10代の悩み〜 다이어트 기록,/watch?v=dZCldcb-9U8,37,あーぴょchannel,25,6か月前,156,24
【バレンタイン】抹茶の生チョコを作りましょ♪Valentineday raw chocolate 발렌타인 생쵸코💗,/watch?v=JNczgbyKVdk,26,あーぴょchannel,25,6か月前,156,17
【Vlog】中目黒での1日  nakameguro 1day Vlog  나카 메구로에서 하루,/watch?v=f-tcGxAggJY,49,あーぴょchannel,25,7か月前,156,31
【Vlog】新大久保巡りの一日  신 오쿠보에서 먹는다 Shin Okubo  one day,/watch?v=g6vKuelrXi0,359,あーぴょchannel,25,7か月前,156,230
【Merrychristmas】---クリパの準備をしていこう-‐‐  christmas party preparation   크리스마스 파티,/watch?v=jM3PKuGj4pk,11,あーぴょchannel,25,7か月前,156,7
【モッパン】生クリームをいただきます🙏〜いちご みかん フランスパン〜  먹는다  생크림  eat fresh cream,/watch?v=5wE5RNRWPiY,77,あーぴょchannel,25,8か月前,156,49
【百均の型】クリスマスアイシングクッキー〜トナカイと仲間たち〜  icing cookie  크리스마스 쿠키,/watch?v=W0BHocettLw,38,あーぴょchannel,25,8か月前,156,24
【プチプラネイル】グロ可愛いクリスマスネイル     christmas nail   크리스마스,/watch?v=7VawzX630cE,32,あーぴょchannel,25,8か月前,156,21
【クリスマス】抹茶のティラミス〜サンタさんversion〜   christmas sweets thiramisu,/watch?v=mHHEyaBDfEE,18,あーぴょchannel,25,8か月前,156,12
【モッパン】韓国風ライスチキンを頂きます🙏 (咀嚼音)                 먹는다  라이스 치킨     chicken,/watch?v=2F5XSw_Wop4,52,あーぴょchannel,25,8か月前,156,33
【韓国風】ライスチキン〜カリカリジューシー〜          라이스 치킨   chicken,/watch?v=z7cgijKY6SQ,54,あーぴょchannel,25,8か月前,156,35
【cheese】チーズケーキ(ベイクドチーズケーキ)！       baked cheese cake,/watch?v=jYw8Hmfm6Rg,26,あーぴょchannel,25,8か月前,156,17
【屋台の味】エッグ ワッフル   egg waffle,/watch?v=Anv2YgPbuGE,71,あーぴょchannel,25,8か月前,156,46
【モッパン】チーズハットグを頂きます😋 (咀嚼音)              cheese hot dog   후피 빵,/watch?v=18W3vqCay7Y,125,あーぴょchannel,25,8か月前,156,80
【伸びる】チーズハットグを作る！〜黒のハットグも〜               핫도그   cheese hot do,/watch?v=3Q2DdDCYL-E,46,あーぴょchannel,25,8か月前,156,29
【ASMR】琥珀糖をいただきます！   amber sugar,/watch?v=Kd_fIJYISLw,159,あーぴょchannel,25,8か月前,156,102
【宝石！】琥珀糖の作り方〜宝石のよう〜    amber sugar,/watch?v=iz8r4nkQlwA,148,あーぴょchannel,25,8か月前,156,95
【오레오】スーパーカップのまんまオレオパフェ        Vanilla ice cup  Oreopafe,/watch?v=Lz14R2baFy8,60,あーぴょchannel,25,9か月前,156,38
【簡単】銀杏を封筒に入れてレンジで殻を取る方法！！    use an envelope to remove the shell,/watch?v=pr5QpmGlvaY,54,あーぴょchannel,25,9か月前,156,35
【カカオフレンズ】ライアンオムライス  카카오프렌즈          KAKAO FRIENDS    Ryan omelette,/watch?v=yxvVMNTJupY,25,あーぴょchannel,25,9か月前,156,16
【寒い日に】ホットココアで体温まる❄  on a cold day  warm oneself up with hot cocoa,/watch?v=-BrK-MPpwOM,20,あーぴょchannel,25,9か月前,156,13
【ASMR】韓国グルメ！チーズボールを頂きます👏     Korean gourmet  cute cheese ball  eat,/watch?v=PsAIrYAb6Co,55,あーぴょchannel,25,9か月前,156,35
【韓国グルメ】チーズボールの作り方〜コロコロ可愛い〜    Korean gourmet  cute cheese ball,/watch?v=qaBxeh4wHrE,130,あーぴょchannel,25,9か月前,156,83
【ゆで卵】 ぐでたまラーメン！出前一丁のデコシート     gudetama noodle,/watch?v=JyDFzryLPkY,43,あーぴょchannel,25,9か月前,156,28
【白いプリン】キャラクターミニーマウスの牛乳プリン    Whitepudding   Minnie Mouse pudding,/watch?v=tMCCGGmjZFw,17,あーぴょchannel,25,9か月前,156,11
【美味しいと話題の？！】白いプリン〜ぷるっぷる〜   Whitepudding,/watch?v=hJvqfWorQlA,30,あーぴょchannel,25,9か月前,156,19
"【sound】食卓の音 切る音  揉み込む音  煮込む音〜サウンド〜       the sound of a table  Cut, rub in  to boil",/watch?v=K9QPQCZMFBw,23,あーぴょchannel,25,9か月前,156,15
【簡単！】アイスボックスクッキー   icebox cookie,/watch?v=La6_nyZD4nM,202,あーぴょchannel,25,9か月前,156,129
【かぼちゃ】ハロウィン🎃かぼちゃのカップケーキ   Halloween pumpkin cupcake,/watch?v=FqpJKcKOPSU,38,あーぴょchannel,25,10か月前,156,24
【白玉粉】ドラえもんサイダーポンチ〜可愛い〜     Shiratama flour Doraemon juice punch,/watch?v=r_S_YHQqSI8,168,あーぴょchannel,25,10か月前,156,108
