title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
沖縄旅行、今行くべきではない理由。【現在の国際通り 那覇空港】,/watch?v=lM42hTi9W3o,4228,いいださんち,1960,1日前,5313,80
【沖縄移住】移住者が語る沖縄あるある【検証】,/watch?v=wdCWFW6TDII,3066,いいださんち,1960,6日前,5313,58
ダイバーが選ぶ海の危険生物ランキング５！【沖縄】THE MOST DANGEROUS ANIMALS,/watch?v=4-XBx7iohI0,1493,いいださんち,1960,1週間前,5313,28
【最新 2020】那覇空港で買えるオススメお土産ベスト８！【沖縄旅行】,/watch?v=MoEi30BMWm8,2079,いいださんち,1960,1週間前,5313,39
【料理作ってみた】絶品！じゃがいもで簡単に作れる B級 グルメ！いもフライ【栃木県 佐野市 名物】,/watch?v=Pd4Zw4avnKI,1403,いいださんち,1960,2週間前,5313,26
【iias沖縄豊崎】沖縄初出店!!イーアス沖縄豊崎でまったりデートしてきた【沖縄旅行】,/watch?v=zypdyIPieYg,2652,いいださんち,1960,2週間前,5313,50
ご報告。,/watch?v=GvsQqDqiAvg,2899,いいださんち,1960,2週間前,5313,55
【沖縄旅行】５ヶ月ぶりに歩行者天国復活！国際通りマルシェもスタート！【沖縄コロナ】,/watch?v=XZG5qW0IjTs,3626,いいださんち,1960,3週間前,5313,68
【沖縄旅行】沖縄で癒やされるならここ！まさに楽園！【フクギ並木】,/watch?v=GyPxoI5KP48,2886,いいださんち,1960,3週間前,5313,54
【沖縄旅行】那覇空港の現在【コロナウイルスの影響】,/watch?v=NeCPEXGQv-c,5814,いいださんち,1960,1か月前,5313,109
【オリオンビール】WATTA飲み比べてみた！【沖縄のお酒】,/watch?v=S9SjirgJTVA,1780,いいださんち,1960,1か月前,5313,34
日本初！ヒルトン沖縄瀬底リゾート【沖縄旅行】,/watch?v=A9bfBnKTGS0,12784,いいださんち,1960,1か月前,5313,241
【沖縄旅行】国際通り端まで歩いて現状をリポート！【コロナウイルス】オススメ情報も！,/watch?v=_vNs7RLhMIw,15227,いいださんち,1960,1か月前,5313,287
【沖縄】うちなーぐちクイズやってみた【爆笑回答続出】,/watch?v=PoGuuUa6au4,2045,いいださんち,1960,1か月前,5313,38
現在の首里城はこちら【沖縄旅行】,/watch?v=2Hh52egaIS8,4439,いいださんち,1960,1か月前,5313,84
【沖縄旅行】死ぬまでにいきたい沖縄離島【水納島】【Okinawa Island】,/watch?v=xsAJlVWkhHY,10097,いいださんち,1960,1か月前,5313,190
【沖縄旅行】那覇から車で40分で行ける離島【奥武島】,/watch?v=NRStlPkqvDs,3161,いいださんち,1960,2か月前,5313,59
【沖縄旅行】海ぶどう買うならここ！コスパ抜群激安商店【仲間商店】,/watch?v=2QsArHzK_iI,1755,いいださんち,1960,2か月前,5313,33
いつも観てくれてる皆さんへ！,/watch?v=vqbWgS4tL_A,2164,いいださんち,1960,2か月前,5313,41
【沖縄旅行】沖縄で雨が降ったらここで遊べ！穴場スポットも！【沖縄デート】,/watch?v=l5x44znu1aA,1431,いいださんち,1960,2か月前,5313,27
【沖縄離島】キロオーバーアオリイカと格闘！【エギング】,/watch?v=6V8R6nUm0t4,1404,いいださんち,1960,2か月前,5313,26
【DMMかりゆし水族館】館内大公開！！！【DMM KARIYUSHI AQUARIUM】,/watch?v=9mlG3hyla8U,2755,いいださんち,1960,2か月前,5313,52
【沖縄移住】住んでみて感じたギャップ・嫌なこと【実体験】,/watch?v=AWayetjNwQQ,67304,いいださんち,1960,2か月前,5313,1267
【沖縄移住】3年目10年目がリアルに感じた良かったこと！,/watch?v=jMCr40_5dj0,21892,いいださんち,1960,3か月前,5313,412
【沖縄】ドッキリ誕生日密着デート【天然温泉ホテル】,/watch?v=9_kM1fqPx7E,1589,いいださんち,1960,3か月前,5313,30
【How to Hawaii】ハワイ行く方必見！ハワイをお得に楽しめ！【ハワイ攻略】,/watch?v=E4-wJ0aiwgA,666,いいださんち,1960,4か月前,5313,13
【HAWAIIハネムーン】日本人がやりがちNGマナー【後編】,/watch?v=k2rWxLH4Ru8,769,いいださんち,1960,4か月前,5313,14
【ハネムーン】20代夫婦が行くハワイ！お得な旅！【Hawaii】,/watch?v=xpANF-sBXW4,2714,いいださんち,1960,5か月前,5313,51
【ハワイ】５泊７日持ち物公開【Hawaii Packing】,/watch?v=O6ABKW1ANA0,671,いいださんち,1960,6か月前,5313,13
【エギング】エギ、売ります！伝説おじいの手作りエギを買わせて頂いた【石垣島】,/watch?v=8BWKI0GQ2zw,2013,いいださんち,1960,7か月前,5313,38
【Vlog】沖縄で過ごすクリスマス【2019】,/watch?v=BMRc2ipt5lo,710,いいださんち,1960,7か月前,5313,13
【北海道旅行】絶対また泊まりたい宿！北海道旅行行ったら絶対泊まって欲しい【札幌交響楽団】,/watch?v=u8XFMKGwUdY,501,いいださんち,1960,7か月前,5313,9
【ハネムーン】冬の極寒北海道編【前編】,/watch?v=oaI0mzNbcxM,482,いいださんち,1960,7か月前,5313,9
【怒る？】妻に内緒で高級カメラ買っちゃった。【α6600】,/watch?v=x5qDJ9aQwbo,791,いいださんち,1960,8か月前,5313,15
【沖縄】パワースポット！子宝！結婚！就職！【大石林山】後編,/watch?v=TOcOBJwNEjE,755,いいださんち,1960,9か月前,5313,14
【沖縄】パワースポット行ってきた【大石林山】前編,/watch?v=d8n5WkGNJTc,1232,いいださんち,1960,9か月前,5313,23
