title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】ピザパン アーモンドクラッシュ ルマンド Pizza bread Almond crush Rumando eating sounds 【Eng Sub】咀嚼音,/watch?v=FOZDsQPxggo,15,ういちゃんねる,8,2か月前,32,47
【ASMR】サーモン salmon eating sounds【Eng Sub】咀嚼音,/watch?v=AD87fyrrQC0,125,ういちゃんねる,8,2か月前,32,391
【ゲーム編】ひたすら画面がうるさいです,/watch?v=lAS3nsFH1zw,25,ういちゃんねる,8,4か月前,32,78
【もぐもぐ】まったりしてます【後編でゲーム】,/watch?v=z1gcfL3Bijk,13,ういちゃんねる,8,4か月前,32,41
【ASMR】牛丼と冷奴食べてみた 動画の最後にお知らせがあります！【咀嚼音】,/watch?v=QPIcq2noPWk,17,ういちゃんねる,8,4か月前,32,53
【ASMR】クラムチャウダーと納豆巻きとクッキークリームサンド食べてみた【雑音あり】,/watch?v=wYKQHA2ejWs,17,ういちゃんねる,8,5か月前,32,53
【ASMR】桜えびせん、マドレーヌ食べてみた【咀嚼音】,/watch?v=2ZPIxJex5Fs,17,ういちゃんねる,8,5か月前,32,53
【ASMR】猫耳化してしまったアイスを食べてみた【咀嚼音】,/watch?v=E96gzNHWi7g,11,ういちゃんねる,8,5か月前,32,34
【ASMR】ごぼうサラダコッペと揚げパン食べてみた【咀嚼音】,/watch?v=roA7yM1ecF0,56,ういちゃんねる,8,5か月前,32,175
【モッパン】もぐもぐアイス🍦食べてみた【咀嚼音】,/watch?v=S-hm8dRE1JI,19,ういちゃんねる,8,5か月前,32,59
【音声あり】もぐもぐハヤシライス【モッパン】,/watch?v=XD6ZAcs-pus,18,ういちゃんねる,8,5か月前,32,56
【ASMR】チーズハットグ食べてみた【喉ぎゅいぎゅい音注意】【咀嚼音】,/watch?v=M3zVdifVE_A,29,ういちゃんねる,8,5か月前,32,91
【ASMR】カップラーメン食べてみたけど食べ方下手でいい音出ない【ズルズル音】,/watch?v=JYqtmcuPRqQ,39,ういちゃんねる,8,5か月前,32,122
【ASMR】じゃがりこもぐもぐ食べてみた【初咀嚼音】,/watch?v=gfhQCKvuxFQ,40,ういちゃんねる,8,6か月前,32,125
【ご挨拶】はじめまして。【ASMRをやりたい】,/watch?v=MYFmBrjfiF4,37,ういちゃんねる,8,6か月前,32,116
