title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【綿棒】お母さんの安心する耳かき…♪【ASMR】,/watch?v=k5t7JeupBWE,9193,おかん,77200,21時間前,97826,9
【楽天オンラインスクール】おうちじかんでいっしょに遊ぼう、学ぼう〜,/watch?v=i0l63b3D-rU,10564,おかん,77200,1日前,97826,11
【モーニングルーティーン】家族で過ごす賑やかで穏やかな朝の様子。。。☀️,/watch?v=0hq_ThHTFeo,50540,おかん,77200,5日前,97826,52
【感動】アメリカ人のおじいちゃんにサプライズプレゼントをしたら、、、🥺,/watch?v=jBDFPRaDweY,52828,おかん,77200,1週間前,97826,54
【駄菓子買い放題】子供の夢を叶えました♡,/watch?v=KXL_hoVKFP0,26399,おかん,77200,1週間前,97826,27
【愛情チェック】色白な奥さんがガングロになってたら夫はいつ気づく？【セルフタンニング】,/watch?v=4WAM9kjEEpk,27474,おかん,77200,1週間前,97826,28
夏休みの慌ただしい１日に密着🍉,/watch?v=tlYrIJ7-IUM,59734,おかん,77200,1週間前,97826,61
【ナイトルーティーン】夏休みの夜の過ごし方。。。☆,/watch?v=nf_jmabGg-o,51600,おかん,77200,2週間前,97826,53
７歳娘に突然「なんか嘘ついてるでしょ？」と言ったら隠し事を言っちゃうのか？！,/watch?v=6u1FGsv8dEM,96069,おかん,77200,2週間前,97826,98
【新居で夏祭り】屋台のたこやきがシュークリームだったらパパは気付くのか？！,/watch?v=5KCAAqvjZGU,31294,おかん,77200,2週間前,97826,32
【新居】3人と1匹が暮らす家【ルームツアー】,/watch?v=de5ZtcEDoLI,76974,おかん,77200,2週間前,97826,79
【ASMR】うさぎがザクザクのチュロスを爆食いする！【咀嚼音】,/watch?v=25-HYqA_dPQ,49315,おかん,77200,3週間前,97826,50
【Vlog】退去から入居まで！,/watch?v=7Wxec2ln_ek,78781,おかん,77200,3週間前,97826,81
新しいドレッサーの中身を全部紹介します♡,/watch?v=vsnDN2i2asc,61461,おかん,77200,3週間前,97826,63
いままでお世話になりました！,/watch?v=gRSHIszgzSc,135477,おかん,77200,3週間前,97826,138
【超簡単】夏にぴったりなレインボーわらび餅を作ってみた♡【娘大喜び】,/watch?v=H2Nh4ag7yM0,47605,おかん,77200,4週間前,97826,49
【7月なのに】季節外れのサンタさんが家にやってきたら娘の反応は・・・？,/watch?v=vmsJsNmLvBk,43496,おかん,77200,4週間前,97826,44
【閲覧注意】約束のアレを食べます。。。,/watch?v=hsgSpphtBQI,62611,おかん,77200,1か月前,97826,64
両親の不在中に怪しい男から電話がきたら７歳児はどうする？【モニタリング】,/watch?v=_nfrCZE0mSs,366759,おかん,77200,1か月前,97826,375
家に帰ると妻が必ず死んだふりをしています,/watch?v=Z3jvlFwyJWE,143141,おかん,77200,1か月前,97826,146
【親子】45秒で何ができる？【踊ってみた】,/watch?v=5ec6COLURzg,50981,おかん,77200,1か月前,97826,52
【ミラクル回】ママとパパがベロベロに酔っぱらってたら先生が家に来たwww,/watch?v=IFfqHu0URVw,60643,おかん,77200,1か月前,97826,62
【きゅんです】７歳児によるハートメイク♡,/watch?v=0Sfx9c2z4zo,25634,おかん,77200,1か月前,97826,26
【母VS父】娘のことをよく知ってるのはどっちか対決したらまさかの修羅場に…,/watch?v=fnSNdDKjbkk,173371,おかん,77200,1か月前,97826,177
【大変】パパが丸1日ママになってみた,/watch?v=DH724c64Pcg,106825,おかん,77200,1か月前,97826,109
【モニタリング】急に旦那がメンヘラになったら妻はどうする？？？,/watch?v=j1wZfW6wcMw,29701,おかん,77200,1か月前,97826,30
【ドッキリ】ファンからもらったって嘘ついて犬用のケーキ食べさせてみたら、、、,/watch?v=inDTfSz-rgw,35215,おかん,77200,1か月前,97826,36
親子でフワちゃんになっちゃった💖かわいくなぁ〜い？💖,/watch?v=4xaGbcH3umI,309747,おかん,77200,1か月前,97826,317
