title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】ビルパールゴム手袋Sound | Rubber Gloves Sounds | オカモト ゴム手袋 | 音フェチリクエストにお応え(No Talking),/watch?v=Zt76Q6DIpBE,278,お母さんのASMR,82,2日前,149,187
ASMR シャキシャキりんご飴をかじる | りんご飴専門店ポムリミナル大阪（ポムダムールトーキョー）| 咀嚼音 | Candy Apple Eating Sound | 音フェチ | モッパン,/watch?v=fwFqcf44AV8,34,お母さんのASMR,82,4日前,149,23
4種の手袋を使ってASMR | 音フェチ | ゴム手袋・軍手 | Rubber Gloves Sounds,/watch?v=jk9oDUL226I,339,お母さんのASMR,82,6日前,149,228
【ASMR】＜GU購入品＞デニムスクラッチの音 | GUスクラッチジーンズ | Jeans Scratching fabric sounds | DENIM Scratch(No Talking),/watch?v=thuT1HKgB7c,458,お母さんのASMR,82,1週間前,149,307
【ASMR】2種類のゴム手袋×スクイーズ / ゴム手袋でスクイーズを触る音フェチ / Rubber Gloves × Squeeze tapping,/watch?v=iwRJEZ6hAp8,220,お母さんのASMR,82,1週間前,149,148
【ASMR】2種類のハサミを使って紙を切るリラックス動画 / 紙を触る音 / Sound of cutting paper with two types of scissors,/watch?v=tA5EtLrV1YQ,36,お母さんのASMR,82,2週間前,149,24
ASMR | キネティックサンドをセラミック包丁とハサミを使ってカットする /Kinetic Sand Cutting ASMR/Relaxing,/watch?v=jiYDWE_w2hE,18,お母さんのASMR,82,2週間前,149,12
キーボードタイピング×ゴム手袋の音 / Rubber Gloves Sounds /MacBook Air / PCタイピング / ASMR - 音フェチ - /mac keyboard sound,/watch?v=CeQ0I4pDaU4,142,お母さんのASMR,82,3週間前,149,95
【ASMR】マッサージオイル+ゴム手袋（音フェチ）/ ASMR hand lotion tapping with rubber gloves(NO TALKING),/watch?v=z0FzoMNcqk4,531,お母さんのASMR,82,1か月前,149,356
"【ASMR】コスメタッピング+オノマトペ / make up, cosmetics, tapping +Japanese Onomatopoeia ,Trigger Words",/watch?v=kVuvcVrOwMI,175,お母さんのASMR,82,1か月前,149,117
【爽快＊咀嚼音】グミッツェルを食べる音 | Gummy Eating Sounds | ASMR MUKBANG | Eating Show,/watch?v=LDsYkqAERzc,194,お母さんのASMR,82,1か月前,149,130
オノマトペ / 英語で囁く / 女性の囁き声で夜の睡眠導入 /Trigger Words / Japanese Onomatopoeia(English),/watch?v=DqG6uJWaJfA,49,お母さんのASMR,82,1か月前,149,33
【咀嚼音】ケンタッキー フライドチキンを食べる音| 먹방 | ASMR MUKBANG | KFC | Eating Show | Chicken,/watch?v=gXTTSuKNyuc,99,お母さんのASMR,82,1か月前,149,66
2種類のゴム手袋+オノマトペ / 女性の囁き声で夜の睡眠導入 /Trigger Words with Rubber Gloves / Japanese Onomatopoeia,/watch?v=gPFx8ShmR_w,576,お母さんのASMR,82,1か月前,149,387
【ASMR】スクラッチジーンズ / ジーンズパンツ / デニムスクラッチ /Jeans Scratching /DENIM Scratch / nail tapping,/watch?v=BiXAdUjBcrU,355,お母さんのASMR,82,1か月前,149,238
【ASMR】3種類のゴム手袋の音 / 音フェチ / Rubber Gloves Sounds,/watch?v=7WHvpJrB9z4,1337,お母さんのASMR,82,1か月前,149,897
じゃがりこ食べながらキーボードタイピング＊MacBook Air(NO TALKING)【⚠︎咀嚼音有り】ハンドクリーム / Keybord Typing / Hand Cream,/watch?v=ObXsSJrotv0,34,お母さんのASMR,82,2か月前,149,23
