title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【第九話】離島ガチャで50000マイル使った結果... 【あつ森】,/watch?v=_eDp4HAgktE,129943,きぬサブ&amp;ゲーム,53600,,114876,113
春メイクをしたのですが....【イエベ春】,/watch?v=35KznrWsEMY,139031,きぬサブ&amp;ゲーム,53600,,114876,121
【第八話】ついに、島、大改造計画だなも！【あつ森】,/watch?v=ijjZ0_aMnII,77132,きぬサブ&amp;ゲーム,53600,,114876,67
【第七話】ハムスターが島に来るまで帰れまてん【あつ森】,/watch?v=jBT8gY3kk1M,85085,きぬサブ&amp;ゲーム,53600,,114876,74
【第六話】あの伝説のアイドルの衣装をつくるだぴょん【あつ森】,/watch?v=UD1RxAdp24w,36464,きぬサブ&amp;ゲーム,53600,,114876,32
【第五話】我こそは島クリエイターである【あつ森】,/watch?v=cauAdL8UUC4,83651,きぬサブ&amp;ゲーム,53600,,114876,73
【第四話】悩みすぎて、この私が夜しか眠れません【あつ森】,/watch?v=FgOK2Bn4-cw,43239,きぬサブ&amp;ゲーム,53600,,114876,38
【第三話】タランチュラで一攫千金だなも！【あつ森】,/watch?v=e0E60I8pbw4,71241,きぬサブ&amp;ゲーム,53600,,114876,62
【第二話】あつ森で今年の運つかいきった【あつ森】,/watch?v=9dAwtKtyuSs,81810,きぬサブ&amp;ゲーム,53600,,114876,71
【第一話】島を見て〜〜〜〜【あつ森】,/watch?v=Hqb57yh4mkM,75473,きぬサブ&amp;ゲーム,53600,,114876,66
大好きだった人の話 【第五人格】【identity V】,/watch?v=J_E69stMUQE,24045,きぬサブ&amp;ゲーム,53600,,114876,21
元彼と別れた理由【第五人格】【identity Ⅴ】,/watch?v=W8loPn6m-SA,68286,きぬサブ&amp;ゲーム,53600,,114876,59
わたしは恋バナができない,/watch?v=ziWOFbTkW6Q,29963,きぬサブ&amp;ゲーム,53600,,114876,26
とどろきぬクリスマス配信,/watch?v=rF88DUNOsEE,929226,きぬサブ&amp;ゲーム,53600,,114876,809
第一弾！誕生祭のプレゼント開封！みんなありがとう；；,/watch?v=bm4gU97JfbA,166550,きぬサブ&amp;ゲーム,53600,,114876,145
【咀嚼音】韓国のサクサクチキンを食べる音【音フェチ】,/watch?v=-PDI1PY6rx4,63770,きぬサブ&amp;ゲーム,53600,,114876,56
韓国で買ってきたカワイイやつ,/watch?v=a6Kh6zPSVdM,32529,きぬサブ&amp;ゲーム,53600,,114876,28
飲み物を飲む音っていい音じゃない？夏だね,/watch?v=LM_MKIT1msI,41050,きぬサブ&amp;ゲーム,53600,,114876,36
韓国・明洞の屋台で食べる（メインボツ動画）,/watch?v=6w4yiKvuf78,148751,きぬサブ&amp;ゲーム,53600,,114876,129
えっt,/watch?v=BAa09ro-0G8,33576,きぬサブ&amp;ゲーム,53600,,114876,29
世界初？！◯◯コーラ！みんなもう飲んだ？,/watch?v=DTW9PG2MnZw,51573,きぬサブ&amp;ゲーム,53600,,114876,45
