title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
DIY大量生産♡レジンでオリジナルのビーズをたくさん作ってみたよ！【 こうじょうちょー  】UVレジン・ハンドメイド,/watch?v=X39Qm9qsbe8,30371,こうじょうちょー,48600,】UVレジン・ハンドメイド作成者:2日前,125088,24
【コスプレDIY】ツイステ風♡どうぶつの耳カチューシャの作り方【 こうじょうちょー  】,/watch?v=sklnVoN5o2Y,15433,こうじょうちょー,48600,】作成者:1週間前,125088,12
【ブライス人形】１０万円!?超高額のエヴァンゲリオンとのコラボ人形を開封♡【 こうじょうちょー  】綾波レイ ドール,/watch?v=-s20X7k3LRk,36190,こうじょうちょー,48600,】綾波レイドール作成者:1週間前,125088,29
UVレジンでオタ活DIY♡推しのパスケース(カードケース)作ってみた♡すみっコぐらしでハンドメイド【 こうじょうちょー  】,/watch?v=NO9yHu1V4h0,38172,こうじょうちょー,48600,】作成者:2週間前,125088,31
韓国のディズニー風のDIYおもちゃに心奪われました【 こうじょうちょー  】,/watch?v=RL0CHIm9UAg,52665,こうじょうちょー,48600,】作成者:2週間前,125088,42
【UVレジン】UVライトは使わない方が良い!?可愛いヘアアクセを大量に作ってみた♡DIY ハンドメイドアクセサリー【 こうじょうちょー  】,/watch?v=Jzbo9X3Q0BE,62508,こうじょうちょー,48600,】作成者:3週間前,125088,50
【100均DIY】黒いプラ板で簡単オシャレなアイテムの作り方♡プラ板工作【 こうじょうちょー  】,/watch?v=vIkTldv5zYw,44068,こうじょうちょー,48600,】作成者:3週間前,125088,35
【UVレジン】簡単可愛い♡キャンドゥ とのコラボ商品４種類全部作ってみた！【 こうじょうちょー  】DIY,/watch?v=IxUjLCWNoxs,33231,こうじょうちょー,48600,】DIY作成者:4週間前,125088,27
巨大工作！大きすぎるBIG!ガチャマシンキットがすごすぎる😂出てくるカプセルでスライム作ってみたら…【 こうじょうちょー  】DIY,/watch?v=Qx82mZHnDs0,55809,こうじょうちょー,48600,】DIY作成者:1か月前,125088,45
【DIY】100均ビーズで超簡単♡ビーズアクセサリーの作り方３種！【 こうじょうちょー  】,/watch?v=za9Vc2zf06w,68118,こうじょうちょー,48600,】作成者:1か月前,125088,54
【DIY】Tシャツリメイク３種紹介♡ユニクロのディズニーTシャツが生まれ変わりました✨【 こうじょうちょー  】,/watch?v=B1H7IPvvwtI,34127,こうじょうちょー,48600,】作成者:1か月前,125088,27
【100均DIY】大流行中の「香水」をダイソーアイテムで作ってみた♡UVレジン【 こうじょうちょー  】,/watch?v=PBIWQoL5GHQ,46898,こうじょうちょー,48600,】作成者:1か月前,125088,37
ディズニー再開 ♡ランドで１日中好きなだけ 買い放題 してきた 購入品を大量紹介 ！【 こうじょうちょー  】,/watch?v=fBgoONemXsk,80182,こうじょうちょー,48600,】作成者:1か月前,125088,64
【大量】パレード級に豪華なL.O.L.サプライズ!ライトシリーズを全種類大量開封♡【 こうじょうちょー  】,/watch?v=mvUu_hHiThI,63926,こうじょうちょー,48600,】作成者:1か月前,125088,51
【簡単DIY】ブライス人形用の夏小物作り２アイテム♡ドール用帽子の作り方【 こうじょうちょー  】Blythe Doll,/watch?v=M2A0hwQatYk,25080,こうじょうちょー,48600,】BlytheDoll作成者:1か月前,125088,20
【100均DIY】超簡単！３分で完成マスク仮置きケースの作り方♡２パターンご紹介【 こうじょうちょー  】,/watch?v=4z5YncfgWtE,57330,こうじょうちょー,48600,】作成者:1か月前,125088,46
【UVレジン】 鬼滅の刃 の 胡蝶しのぶ さんが付けてる蝶飾りモチーフの作り方♡【 こうじょうちょー  】 手作り鬼滅グッズ,/watch?v=A1AVzBahobk,32322,こうじょうちょー,48600,】手作り鬼滅グッズ作成者:1か月前,125088,26
【 再現レシピ 】ゲームに登場する イーブイパンケーキ を作ってみたら…。『 Pokémon Café Mix 』【 こうじょうちょー  】,/watch?v=7fjPoIcsvB0,32480,こうじょうちょー,48600,】作成者:1か月前,125088,26
【DIY】 プチプラ で楽しむ夏の3アイテム♡ 夏小物 の作り方☀︎その①  スマホケース・クリアバッグ・ペットボトルケース【 こうじょうちょー  】,/watch?v=7G-x3QMOwfM,25089,こうじょうちょー,48600,】作成者:1か月前,125088,20
【 検証 】本当に痩せるの？ ２週間間で10キロ痩せるダンス 【 HAND CLAP 】を２週間続けた結果… 自粛太り に終止符を。【 こうじょうちょー  】,/watch?v=D5S33jkFjow,30881,こうじょうちょー,48600,】作成者:2か月前,125088,25
【ナイトルーティン】一人暮らし女ユーチューバーの夜【 こうじょうちょー  】,/watch?v=NAjT5Q-lRmI,22320,こうじょうちょー,48600,】作成者:2か月前,125088,18
※重大※嬉しみの第２弾!!キャンドゥさんで手作りキット発売します♡【 こうじょうちょー  】,/watch?v=97PY0EKcKzY,51689,こうじょうちょー,48600,】作成者:2か月前,125088,41
手洗いが楽しくなる♡石けんで猫作ってみた！【 こうじょうちょー  】,/watch?v=rjf_fyuVA7Y,21889,こうじょうちょー,48600,】作成者:2か月前,125088,17
【DIY】猫用シュシュ首輪♡リボンで作る3種類の可愛いシュシュ【 こうじょうちょー  】,/watch?v=fTcWYOWuY2c,25829,こうじょうちょー,48600,】作成者:2か月前,125088,21
【DIY】 ダイソー や プチプラ 商品を使った 文房具収納 3アイテム紹介♡夏仕様の 模様替え 【 こうじょうちょー  】,/watch?v=lOk3NKhXxpM,42926,こうじょうちょー,48600,】作成者:2か月前,125088,34
【DIY】 文房具収納 3アイテム 作り方紹介♡デスク周りを模様替え♡【 こうじょうちょー  】,/watch?v=cddqOT9uOqA,43062,こうじょうちょー,48600,】作成者:2か月前,125088,34
フライングタイガーとH&Mで買い物してきた！一人暮らしの購入品紹介【 こうじょうちょー  】,/watch?v=SGbXoH1LI5Q,24768,こうじょうちょー,48600,】作成者:2か月前,125088,20
鬼滅の刃♡めっちゃ簡単にできる毀滅グッズ作り！好きなシーンをポーチにしてみた【 こうじょうちょー  】DIY,/watch?v=dQHVnDpi6VA,201415,こうじょうちょー,48600,】DIY作成者:2か月前,125088,161
