title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ボロ家暮らし】ボロアパート/お金のかからない時間の過ごし方/木彫りの人形/mamuの日常/ご飯が美味しいと言える幸せ！,/watch?v=gtYzy-9XTEc,356,ご飯が美味しいch,,5日前,198,180
【ブログ】風呂なしアパート/ボロ家/チーズケーキ作り/カレー/日常/暮らし/年の差夫婦/ご飯が美味しいと言える幸せ！,/watch?v=2mtNqkfW_4w,2308,ご飯が美味しいch,,1週間前,198,1166
【ブログ】日常/アパート/30代女のつぶやき/イカ焼き/ご飯が美味しいと言える幸せ,/watch?v=J2zS8L5Udrs,151,ご飯が美味しいch,,2週間前,198,76
【ブログ】ルーティン/ふたり暮らし/甘酒/松本人志の一人ごっつ/ボロ家/肉野菜炒め/ご飯が美味しいと言える幸せ,/watch?v=n0c6Xb5vyyI,192,ご飯が美味しいch,,2週間前,198,97
【Vlog】やる気が出ない日の対処法/手羽元と大根の煮物/妻は対人恐怖症、夫は過敏性アレルギーの年の差夫婦/ご飯が美味しいと言える幸せ！,/watch?v=lWo8RENqJnE,136,ご飯が美味しいch,,3週間前,198,69
【Vlog】住めば都というけれど…限界ボロアパート/春雨サラダ作り/妻は対人恐怖症、夫は過敏性アレルギーの年の差夫婦/ご飯が美味しいと言える幸せ！,/watch?v=94TMJRJN0eE,268,ご飯が美味しいch,,3週間前,198,135
【ブログ】夫婦共々半年間しか働かない都会の古民家暮らし/焼きサンドウィッチ作り/ご飯が美味しいと言える幸せ！,/watch?v=92t2HoQW-qI,157,ご飯が美味しいch,,1か月前,198,79
ふたり暮らしを夫と始めて10年。築60年のボロアパートです。【土鍋ご飯】対人恐怖症の妻とHSPの夫。年の差夫婦奮闘記。ご飯が美味しいと言える幸せ！,/watch?v=iy39t0QY-e8,336,ご飯が美味しいch,,1か月前,198,170
ボロ家のひと隅、ゆったりとした食事風景に眠たくなるかも/対人恐怖症の妻とHSPの夫！年の差夫婦奮闘記！ご飯が美味しいと言える幸せ！,/watch?v=epNoZdx4lW4,87,ご飯が美味しいch,,1か月前,198,44
土鍋ご飯【お粥作り】対人恐怖症の妻とHSPの夫。古民家？ボロアパートで暮らす年の差夫婦です。,/watch?v=sCP8-Wb2VeI,155,ご飯が美味しいch,,1か月前,198,78
メンタリストDaiGoにご執心！早食い厳禁！対人恐怖症の妻とHSPの夫！年の差夫婦奮闘記！ご飯が美味しいと言える幸せ！,/watch?v=4Sa8W3Rlv9M,103,ご飯が美味しいch,,1か月前,198,52
古民家？ボロアパートでピザトーストの朝食【日常風景】対人恐怖症の妻とHSPの夫！年の差夫婦奮闘記！ご飯が美味しいと言える幸せ！,/watch?v=nY5HdTjXdAE,219,ご飯が美味しいch,,1か月前,198,111
古民家的ボロアパートでヒッソリと生きています【目玉焼きカレー】対人恐怖症の妻とHSPの夫！年の差夫婦奮闘記！,/watch?v=wR1PTsi2feY,114,ご飯が美味しいch,,1か月前,198,58
ボロ古アパートで古民家的な生活したいけど風情がイマイチです！【オムライスセット】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=FGYKXjnn9qE,88,ご飯が美味しいch,,1か月前,198,44
お願いだから、お汁くらいでそんなに怒らないでね！の件【冷やし中華そば】年の差夫の食事風景！海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=6SInZKo-IV0,57,ご飯が美味しいch,,1か月前,198,29
年の差夫婦の食事事情！いろいろあります【缶詰・瓶詰めとか】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=-ecHaX92-T8,98,ご飯が美味しいch,,1か月前,198,49
年の差夫婦の食事風景/ポン酢で喧嘩⁉【鮭の塩焼きと豚ロースのマヨ炒め】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=MjgIdZY5PEc,62,ご飯が美味しいch,,1か月前,198,31
年の差夫婦の奮闘食！庶民の味的癒し飯！10㎏痩せた一日一食生活【アジの開きといろいろ】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=AAH8X9VEKS4,66,ご飯が美味しいch,,1か月前,198,33
年の差夫婦のゆったり会話で癒すか⁈10㎏痩せた一日一食生活【豚ロースのショウガ焼き】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=d-hJQeABmMg,49,ご飯が美味しいch,,2か月前,198,25
年の差夫婦のあれやこれや！10㎏痩せた一日一食生活【和風ロールキャベツとブリのおろしポン酢】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=7bhPZkeKL2A,52,ご飯が美味しいch,,2か月前,198,26
年の差夫婦の奮闘食！10㎏痩せた一日一食生活【鶏づくしご飯】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=sBnN0rmEJr0,30,ご飯が美味しいch,,2か月前,198,15
年の差夫婦の奮闘食！10㎏痩せた一日一食生活【豚ロースと大葉のミルフィーユかつ】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=l-hXDFH73fY,38,ご飯が美味しいch,,2か月前,198,19
年の差夫婦奮闘記！10㎏痩せた一日一食生活【ドライカレー＆照り焼きチキン】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=V1J3WiuIolE,42,ご飯が美味しいch,,2か月前,198,21
コッソリ見る！年の差夫婦の食事風景！10㎏痩せた一日一食生活【和牛ロースステーキ】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=Sp539UWo7Dw,22,ご飯が美味しいch,,2か月前,198,11
年の差夫婦のコッソリ見る10㎏痩せた一日一食生活【サッポロ一番塩ラーメン・エシャレットのふっかけご飯】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=4Cu81XYQmlo,42,ご飯が美味しいch,,2か月前,198,21
コッソリ見る！10㎏痩せた一日一食生活【半チャンそうめんと餃子セット】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=8AyiqQzcljA,43,ご飯が美味しいch,,2か月前,198,22
コッソリ見る！10㎏痩せた一日一食生活【目玉焼きハンバーグ】海と山と大地の恵みと作ってくれた人に感謝して、いただきます！ご飯が美味しいと言える幸せ！,/watch?v=0vQ5kBF0Oi4,81,ご飯が美味しいch,,2か月前,198,41
