title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】焼きとうもろこしを食べる音【ASMR】,/watch?v=vo1HtftQhOY,1005,さえないおっさんASMR eating sou,568,,1186,85
【咀嚼音】フレンチトーストを食べる音【ASMR】,/watch?v=W1LJMNpAEcY,812,さえないおっさんASMR eating sou,568,,1186,68
【咀嚼音】チーズカレーパンを食べる音【ASMR】,/watch?v=qvAadhbzYd8,1246,さえないおっさんASMR eating sou,568,,1186,105
【咀嚼音】チーズ焼きおにぎりを食べる音【ASMR】,/watch?v=-g2TMqSLkFs,1303,さえないおっさんASMR eating sou,568,,1186,110
【咀嚼音】 モンテクリストを食べる音【ASMR】【韓国レシピ】,/watch?v=DzPPCP57KDw,1939,さえないおっさんASMR eating sou,568,,1186,163
【咀嚼音】チーズインうまい棒１０種を食べる音【ASMR】,/watch?v=y6_cVU8CGQc,683,さえないおっさんASMR eating sou,568,,1186,58
【咀嚼音】とんかつを食べる音【ASMR】,/watch?v=m8KhO3KdPvw,1220,さえないおっさんASMR eating sou,568,,1186,103
【咀嚼音】フィッシュ＆チップスを食べる音【ASMR】,/watch?v=h41MlwsueWM,1194,さえないおっさんASMR eating sou,568,,1186,101
【咀嚼音】手まり寿司を食べる音【ASMR】,/watch?v=-siCJXbI7X0,1405,さえないおっさんASMR eating sou,568,,1186,118
【咀嚼音】ささみフライ３種を食べる音【ASMR】,/watch?v=HFTPXKYZZl4,1379,さえないおっさんASMR eating sou,568,,1186,116
【咀嚼音】コロッケ５種を食べる音【ASMR】,/watch?v=fIqQEuk8nKc,4277,さえないおっさんASMR eating sou,568,,1186,361
【咀嚼音】グラノーラを食べる音【ASMR】,/watch?v=xo86RstSZiQ,433,さえないおっさんASMR eating sou,568,,1186,37
【咀嚼音】ジャージャー麺を食べる音【ASMR】,/watch?v=ezzg6OEnRsU,615,さえないおっさんASMR eating sou,568,,1186,52
【咀嚼音】チキンナゲットを食べる音【ASMR】,/watch?v=LnbOFXFPIEQ,862,さえないおっさんASMR eating sou,568,,1186,73
【咀嚼音】海老フライを食べる音【ASMR】,/watch?v=OqoITFUMuQs,1748,さえないおっさんASMR eating sou,568,,1186,147
【咀嚼音】冷やし中華を食べる音【ASMR】,/watch?v=FD5ctOuIu_c,553,さえないおっさんASMR eating sou,568,,1186,47
【咀嚼音】サーターアンダギーを食べる音【ASMR】,/watch?v=CqQ1S9hBK-A,1407,さえないおっさんASMR eating sou,568,,1186,119
【咀嚼音】牛肉とにんにくの芽炒め定食を食べる音【ASMR】,/watch?v=P4MLOEdWbrs,1178,さえないおっさんASMR eating sou,568,,1186,99
【咀嚼音】海老クリームパスタを食べる音【ASMR】,/watch?v=jZgdg8dcrb0,952,さえないおっさんASMR eating sou,568,,1186,80
【咀嚼音】ジョンソンヴィルソーセージを食べる音【ASMR】,/watch?v=nxxatO13S1A,1645,さえないおっさんASMR eating sou,568,,1186,139
【咀嚼音】餃子を食べる音【ASMR】,/watch?v=AuAzQLooLy4,945,さえないおっさんASMR eating sou,568,,1186,80
【咀嚼音】堅あげポテトを食べる音【ASMR】,/watch?v=T32cNTyNY3g,1543,さえないおっさんASMR eating sou,568,,1186,130
【咀嚼音】豚キムチ定食を食べる音【ASMR】,/watch?v=fSFknjRGjhc,605,さえないおっさんASMR eating sou,568,,1186,51
【咀嚼音】サクサクかき揚げと海老天ぷらを食べる音【ASMR】,/watch?v=rikpjD3wihI,1507,さえないおっさんASMR eating sou,568,,1186,127
【咀嚼音】デミチーズハンバーグを食べる音【ASMR】,/watch?v=uwjy_oo1K4s,1772,さえないおっさんASMR eating sou,568,,1186,149
【咀嚼音】ケンタッキー旨塩チキンを食べる音【ASMR】,/watch?v=jBim7nsN1sU,2470,さえないおっさんASMR eating sou,568,,1186,208
【咀嚼音】ひれかつを食べる音【ASMR】,/watch?v=scjerTP-EH8,927,さえないおっさんASMR eating sou,568,,1186,78
【咀嚼音】春巻きを食べる音【ASMR 】,/watch?v=uvBHeCf0PMA,2412,さえないおっさんASMR eating sou,568,,1186,203
【咀嚼音】春キャベツサラダを食べる音【ASMR】,/watch?v=9gEQs5oc1xE,292,さえないおっさんASMR eating sou,568,,1186,25
【咀嚼音】手作り唐揚げを食べる音【ASMR】,/watch?v=wYebg-e6Gjg,516,さえないおっさんASMR eating sou,568,,1186,44
【咀嚼音】いわしフライを食べる音【ASMR】,/watch?v=dDwE0EyMFUo,346,さえないおっさんASMR eating sou,568,,1186,29
【咀嚼音】ケイジャンチキンを食べる音 【ASMR】,/watch?v=vrbBAJJPAvg,283,さえないおっさんASMR eating sou,568,,1186,24
【咀嚼音】焼きシュウマイを食べる音 【ASMR】,/watch?v=e64quBoib2s,277,さえないおっさんASMR eating sou,568,,1186,23
【咀嚼音】メンチカツを食べる音【ASMR】,/watch?v=7otiNbkYtRI,582,さえないおっさんASMR eating sou,568,,1186,49
