title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
🎃コラボ🎃まりに食べて欲しいスクイーズ紹介☀️,/watch?v=mulPcVOnsas,2025,すく*,1760,,11975,17
おすすめのBLOOMのスクイーズ紹介🛍,/watch?v=HsT-z9vFBCQ,3529,すく*,1760,,11975,29
🌀たぷたぷスライムを作ろうとしただけなのに🌀,/watch?v=xpPWPruBS8E,2644,すく*,1760,,11975,22
【コラボ】もしトレをするとしたら😳💭💕,/watch?v=tau9CNML4uo,2052,すく*,1760,,11975,17
従兄弟と👭💕【スクイーズ音フェチ】,/watch?v=9Rb3JSjhKLU,3035,すく*,1760,,11975,25
🐶Animal squeeze🐼,/watch?v=ca2K0T1iLoU,2516,すく*,1760,,11975,21
📚Desk introduction📚,/watch?v=OFgrIh4aGqA,1544,すく*,1760,,11975,13
え。何このスクイーズ…,/watch?v=TN1Wg2i8h3I,5926,すく*,1760,,11975,49
☁️白いスクイーズ紹介☁️,/watch?v=29w4wim1k0c,3450,すく*,1760,,11975,29
❤️令和最初♡BLOOMのスクイーズ紹介✨,/watch?v=Q_5SK481Yfk,13898,すく*,1760,,11975,116
気まぐれに🍵音フェチ📢💕,/watch?v=V-3krBhXCQA,3138,すく*,1760,,11975,26
外でボンドスライム作ってみた🥣,/watch?v=5G4U7Y9yWTw,2623,すく*,1760,,11975,22
【BGM❌】全水系スクイーズ紹介,/watch?v=kf9FwYuiP-A,4800,すく*,1760,,11975,40
【BGM⭕】🌸可愛いスクイーズ紹介🌸,/watch?v=N8Ytnb9FTFg,2844,すく*,1760,,11975,24
【こんな事ある！？】スクイーズないない,/watch?v=miaIiTHTjn4,53737,すく*,1760,,11975,449
【休日編】１日のルーティーン🏙🌆🌃,/watch?v=AdJNvXFJg1A,9591,すく*,1760,,11975,80
🥦野菜🥒＆🍊フルーツ🍋のスクイーズ紹介🚥👋🏻,/watch?v=C8XFCPuTaFM,1716,すく*,1760,,11975,14
チャンネル宣伝企画💭💕【まゆちゃんの宣伝】,/watch?v=D-qPt3p69A4,1724,すく*,1760,,11975,14
𓃟ﻌﻌﻌ❤︎全スクイーズ紹介Part2❤︎ﻌﻌﻌ𓃟,/watch?v=X4jKtyjQofc,4518,すく*,1760,,11975,38
ᙏ̤̫❤︎全スクイーズ紹介Part1‪‪❤︎‬ᙏ̤̫,/watch?v=m2CqDC2cHMk,8966,すく*,1760,,11975,75
ぱちぱちコーラスライム【炎上覚悟】,/watch?v=scnwxLs74l8,6120,すく*,1760,,11975,51
韓国のお菓子(トッポギ)咀嚼音😳💕,/watch?v=rnCYoqUSe-M,1557,すく*,1760,,11975,13
豪華！？スクイーズプレゼント企画🎁😳✨,/watch?v=Ki_t6RKTUdg,3327,すく*,1760,,11975,28
買ってよかったスクイーズ＆買ってショックだったスクイーズ紹介🥴💕,/watch?v=JsZG-y_e0DY,142522,すく*,1760,,11975,1190
BLOOMお楽しみBOXDX💕,/watch?v=LUca2CDEMY8,8867,すく*,1760,,11975,74
青色のスクイーズ紹介👕,/watch?v=XER1GAvqhJ4,2275,すく*,1760,,11975,19
みやびさんとのトレ品✨👍🏻,/watch?v=DPTamwOiZek,1528,すく*,1760,,11975,13
BGM🙆🏻👌✨作業用音フェチ【ごゆっくり😴】,/watch?v=svIQ8-3Dg8A,4388,すく*,1760,,11975,37
【音量⚠️】袋の音が好きなあなたへ🛍💕,/watch?v=k8b0mCIbW-o,1938,すく*,1760,,11975,16
🧸お気に入りのスクイーズ紹介🧸,/watch?v=46pzBFBU5pI,11082,すく*,1760,,11975,93
水系のスクイーズ紹介🥶💦,/watch?v=pNs3zWY0DwE,3425,すく*,1760,,11975,29
PANDA♥️BOX  開封🛠📦,/watch?v=rQVuoPaVijA,1597,すく*,1760,,11975,13
【BGM🙆‍♀️💕】お顔のあるスクイーズ紹介👱🏻‍♀️,/watch?v=TQuqIR3EW-4,3395,すく*,1760,,11975,28
BGM🙆‍♀️💕    🥖パンのスクイーズ🥖,/watch?v=pcxuMobqgNw,1968,すく*,1760,,11975,16
【❄️全スクイーズ紹介❄️】All  squeeze  information,/watch?v=0m3OM5kwqKs,66314,すく*,1760,,11975,554
【安すぎ☻】BLOOMお楽しみBOX🎁💕,/watch?v=kSTp2DJj6V0,8478,すく*,1760,,11975,71
スクイーズプレゼント企画,/watch?v=XKb2XUeGaIM,1693,すく*,1760,,11975,14
【閲覧注意】買わなきゃ良かったスクイーズ紹介,/watch?v=PHw1hKC-1pQ,30691,すく*,1760,,11975,256
全少ない😭NICのスクイーズ紹介🤤💖,/watch?v=aqS8_gN_dEk,5446,すく*,1760,,11975,45
牛乳ひたしパン比較してみた！(((概要欄,/watch?v=XABzJhsL_jA,12502,すく*,1760,,11975,104
🌟ぱちぱちスライム🌟,/watch?v=M1hf8If5nQo,37605,すく*,1760,,11975,314
