title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ノーブラ】フライドチキン【咀嚼音】,/watch?v=GaKanv30bVE,231,のーぶらん子channel,293,3日前,2047,11
【ノーブラ】サーモンマヨ【咀嚼音】,/watch?v=X1A-Z4fUCyk,460,のーぶらん子channel,293,1週間前,2047,22
【ノーブラ】映えない朝食【お腹チラリ】,/watch?v=2Y_FbZ9kzfM,2096,のーぶらん子channel,293,2週間前,2047,102
【ノーブラ】うなぎ【お祝い】,/watch?v=r0Bfpv5WlWg,2955,のーぶらん子channel,293,3週間前,2047,144
【ノーブラ】イエローカレー【無印】,/watch?v=EbMrNlc7zFw,553,のーぶらん子channel,293,4週間前,2047,27
【ノーブラ】カレー&らっきょう【咀嚼音】,/watch?v=bA1Paz9tv_U,753,のーぶらん子channel,293,1か月前,2047,37
【ノーブラ】ニンニクの芽牛丼【すき家】,/watch?v=_R-2HwTYpxE,691,のーぶらん子channel,293,1か月前,2047,34
【ノーブラ】プチ自己紹介【オムライス】,/watch?v=8IBPJp9XQ1I,1292,のーぶらん子channel,293,1か月前,2047,63
【ノーブラ】パスタ【咀嚼音】,/watch?v=ti1Y5wmQ0xE,965,のーぶらん子channel,293,1か月前,2047,47
【ノーブラ】ひとり飲む夜【ほろよい】,/watch?v=GPL7T4dy7s8,4216,のーぶらん子channel,293,1か月前,2047,206
【ノーブラ】はま寿司【咀嚼音】,/watch?v=GajFgypZreI,531,のーぶらん子channel,293,1か月前,2047,26
【ノーブラ】おやつタイム【咀嚼音】,/watch?v=QNwY525i5A8,2799,のーぶらん子channel,293,1か月前,2047,137
【ノーブラで】うまトマチーズ【松屋】,/watch?v=8pCuYqmGil0,564,のーぶらん子channel,293,1か月前,2047,28
【ノーブラ】私と一緒に寝たら朝はこんな感じ【おはよう】,/watch?v=qDYBNe8Oxtk,5585,のーぶらん子channel,293,2か月前,2047,273
【ノーブラ】一緒に寝よう【寝れない夜】,/watch?v=opBJnlpJQ90,2204,のーぶらん子channel,293,2か月前,2047,108
【ノーブ◯で】まぐろカツ丼【かつや】,/watch?v=tKLfBOxzV1k,2891,のーぶらん子channel,293,2か月前,2047,141
【ノーブ◯】唐揚げ弁当【今日も孤独に】,/watch?v=sN11uyB0hRw,1024,のーぶらん子channel,293,2か月前,2047,50
【notノーブラ】ぼっちランチ【たまには着ける】,/watch?v=K1pZKsaM5DU,3549,のーぶらん子channel,293,2か月前,2047,173
【ノーブ◯】ひとり飲み会【すぐ酔う】,/watch?v=4BD_o3TAmsc,1350,のーぶらん子channel,293,2か月前,2047,66
【ノーブ◯】まぐろの漬け丼【凝視必須】,/watch?v=99UURN8e2eg,760,のーぶらん子channel,293,2か月前,2047,37
【ノーブ◯】チャーシューメンマ丼【過ぎる】,/watch?v=112k2PnKk_U,1398,のーぶらん子channel,293,2か月前,2047,68
【ノーブ◯】真夜中の夜食【汗だく】,/watch?v=6YaoB5eR3VM,997,のーぶらん子channel,293,2か月前,2047,49
【ノーブ◯】寝起き【コーヒータイム】,/watch?v=J4Wp5x26N9c,1160,のーぶらん子channel,293,2か月前,2047,57
【ノーブ◯】夜ごはん【バターチキンカレー】,/watch?v=oZaC4WO4bi4,3369,のーぶらん子channel,293,2か月前,2047,165
【ノーブ◯】まったり【初投稿】,/watch?v=L8DjgPp9qR4,8780,のーぶらん子channel,293,2か月前,2047,429
