title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
19歳ゲーマーのナイトルーティン/Night Routine/1人暮らし/Vlog,/watch?v=KDxGN8cHEu4,7796,まきとん/Mak,71600,,162479,5
【必見】目と眉毛を近くしてかっこよくなる方法。,/watch?v=ACKWlvDCLZQ,27122,まきとん/Mak,71600,,162479,17
【Vlog】モデルのお仕事がある日の一日。,/watch?v=M3OBhWiieKc,7605,まきとん/Mak,71600,,162479,5
【夏物購入品】最近ゲットしてよかったものを紹介します。,/watch?v=RJWbCSSgCZU,12714,まきとん/Mak,71600,,162479,8
"【メンズ髪型】""ヘアセット別""のスタイリング剤を紹介します！",/watch?v=62efhB_Mk_I,13509,まきとん/Mak,71600,,162479,8
【Vlog】友達と神戸でカフェ巡りしてきた【たくま】後編,/watch?v=4NAvovVBTOo,13585,まきとん/Mak,71600,,162479,8
【Vlog】自粛明けで久しぶりに家族に会ってきました。【帰省】前編,/watch?v=fz5DubBRqXE,10756,まきとん/Mak,71600,,162479,7
"【ハチが張りやすい方必見】""市販の物で""できる頭の形をよく見せる方法。【セルフダウンパーマ】",/watch?v=Yv13V9rI_u0,214991,まきとん/Mak,71600,,162479,132
【イメチェン】夏なので気分変えて髪短くしました。,/watch?v=RtkabpwGZRw,29281,まきとん/Mak,71600,,162479,18
Morning Routine/19歳学生一人暮らし/休日のリアルなモーニングルーティン/Vlog,/watch?v=OlR3C77e3-M,33617,まきとん/Mak,71600,,162479,21
【メンズ髪型】ツーブロックとモミアゲありどっちがいいの？,/watch?v=iQrtWUEikec,54817,まきとん/Mak,71600,,162479,34
【二重整形】埋没のダウンタイムを公開します。,/watch?v=Ki__mjupIxY,41288,まきとん/Mak,71600,,162479,25
【ヘアセット】簡単に出来る大人な濡れ髪センターパート。MIDDLE PART  HAIR TUTORIAL.,/watch?v=gFCC9AfkT38,91375,まきとん/Mak,71600,,162479,56
【スキンケア】まきとんの最近スキンケアを紹介します。Skincare Routine,/watch?v=SLNEXeE_tjQ,61589,まきとん/Mak,71600,,162479,38
【ご報告】二重整形しました。,/watch?v=kJvR_VPXB6Y,70316,まきとん/Mak,71600,,162479,43
【えちえち質問コーナー】19歳男子のリアルを暴露します。【女子禁制】,/watch?v=Y60Gx4Eq-YI,53360,まきとん/Mak,71600,,162479,33
髪が伸びたので自分で切っちゃいました。Self Hair Cut✂【メンズセルフカット】,/watch?v=WXpyhItMd3k,76236,まきとん/Mak,71600,,162479,47
【小顔矯正】顔が約1cm小さくなり、鼻を高くする小顔矯正。,/watch?v=A-6mWNarv5k,15276,まきとん/Mak,71600,,162479,9
【ダイエット】コンビニごはんで食べて痩せよう。[ファミマ編],/watch?v=snwZccbwoco,12502,まきとん/Mak,71600,,162479,8
【毛穴・シミ改善】ピコレーザーをしました！美容クリニックでスキンケア。,/watch?v=JTO0T6-ivUY,16837,まきとん/Mak,71600,,162479,10
ASMR  咀嚼音| フライドチキン食べたら幸せだった! | 후라이드 치킨 먹방|FRIED CHICKEN  MUKBANG。,/watch?v=VLsEl_jfAvQ,16649,まきとん/Mak,71600,,162479,10
【メンズ髪セット】女の子ウケ、モテヘアセット！！,/watch?v=JealPSqXkU4,39971,まきとん/Mak,71600,,162479,25
【ルームツアー】19歳男子の一人暮らしのルームツアー。,/watch?v=dUjm5PrPXIs,52830,まきとん/Mak,71600,,162479,33
【GRWM】ヘアセット、毎日メイクしながら雑談。,/watch?v=mkTBbsZcLY8,50918,まきとん/Mak,71600,,162479,31
【警告】黒染めをブリーチするとこうなります。,/watch?v=3eTobmZJK6U,47205,まきとん/Mak,71600,,162479,29
【アクセサリー紹介】僕のオススメアクセサリー達！！！,/watch?v=Evw1vrQfe8Q,29916,まきとん/Mak,71600,,162479,18
【骨格補正】自分に合った髪型の見つけ方、ツーブロックをやらない理由。,/watch?v=NWkvDDEPP-8,148016,まきとん/Mak,71600,,162479,91
【即効】簡単に綺麗なフェイスラインに。【ダイエット】,/watch?v=Zdig6E8NEHQ,83102,まきとん/Mak,71600,,162479,51
【衝撃】あなたの口の臭い大丈夫ですか？【口臭ケア】,/watch?v=Vd5kXigTeh4,89717,まきとん/Mak,71600,,162479,55
【質問コーナー】改めまして！まきとんです。,/watch?v=u2Ip4r9yeEM,45902,まきとん/Mak,71600,,162479,28
【メンズ髪セット】雰囲気から”イケメン”になるためのヘアセット。,/watch?v=W3V7o7IzJUI,114035,まきとん/Mak,71600,,162479,70
【Vlog#1】「代官山」男2人でカフェ巡り。,/watch?v=4-JizwwUaXQ,18396,まきとん/Mak,71600,,162479,11
【閲覧注意】独りで初めての’’軟骨ピアス’’を開けてしまいました。,/watch?v=As3ChgiSCiw,26020,まきとん/Mak,71600,,162479,16
【メンズメイク】奥二重男子の毎日メイク。Everyday Mens Makeup。,/watch?v=CogPEzXwEwI,81988,まきとん/Mak,71600,,162479,50
【時短ヘアセット】崩れてもかっこいいパーマ風メンズセット。,/watch?v=jxAeyb9HyzQ,203475,まきとん/Mak,71600,,162479,125
美容師に「これから流行る髪型にしてください」と頼んだ結果、、、,/watch?v=TR-LSLgWDxQ,61849,まきとん/Mak,71600,,162479,38
【メンズ髪セット】無造作ヘアが今旬。,/watch?v=qCrs0887fqg,758317,まきとん/Mak,71600,,162479,467
【ヘアケア】ノーセットを綺麗にするだけで清潔感が上がる。,/watch?v=GXZRknomrQw,169377,まきとん/Mak,71600,,162479,104
【イメチェン】美容師にお願いして陰キャラを卒業してイケメンになりたい。,/watch?v=dqa4xz0W37M,137484,まきとん/Mak,71600,,162479,85
【暴露】僕が辛かった過去のお話をします。,/watch?v=OnOY2lyly0U,84734,まきとん/Mak,71600,,162479,52
【効果抜群】鼻を整形なしで高くする方法,/watch?v=J3d_ztNtwmU,793800,まきとん/Mak,71600,,162479,489
【毎日メイク】すっぴんを公開してメイクします。,/watch?v=zkC9aTZOVjk,237156,まきとん/Mak,71600,,162479,146
【自己紹介×質問コーナー】まきとんです。,/watch?v=r2OrSPUEm_0,87509,まきとん/Mak,71600,,162479,54
【効果抜群】寝起き3分で小顔になるマッサージ,/watch?v=gfQtApq_lKQ,1384166,まきとん/Mak,71600,,162479,852
【ダイエット】１か月だけで８キロ痩せた方法。,/watch?v=HTskzf84HcE,356633,まきとん/Mak,71600,,162479,219
"【整形級】ブスが重い一重を""二重""にした方法",/watch?v=zcQIFC6q-4o,609710,まきとん/Mak,71600,,162479,375
【垢ぬけ】モデルになるまでの道【初投稿】,/watch?v=DlnjolhAkZM,1043081,まきとん/Mak,71600,,162479,642
