title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】夏休みショッピング🛍購入品タッピングしながら紹介❣️,/watch?v=C1OZ-lSouJU,4692,まりこちゃんねる,13300,1日前,11644,40
【ASMR】焚き火を見ると眠れると聞いて、お盆の送り火を撮影してみたよ🔥bonfire with cracking fire sound & insect voice🎵,/watch?v=21u90pfk31I,3457,まりこちゃんねる,13300,4日前,11644,30
【ASMR】doing your romantic purple makeup role play💜メイクアップロールプレイ💄ロマンティックパープルメイクに挑戦🥰,/watch?v=yc0wLjnGli4,7917,まりこちゃんねる,13300,5日前,11644,68
【ASMR】makeup role play on mannequin💆遊びに来た親戚の子に⁉️クレンジング、フェイスマスクパック、カッサマッサージ、ベースメイクやってみた💖,/watch?v=YNhD8txE_T0,9058,まりこちゃんねる,13300,6日前,11644,78
【ASMR】mermaid🧜‍♀️nail (incoco) してハンドムーブメントでいい子いい子してみた💖nail💅& hand movemen🙌tickle🤗,/watch?v=GCNk37mJNJY,8599,まりこちゃんねる,13300,1週間前,11644,74
【ASMR】クリームソーダ(星の王子様風)作ってみた🍫31ホッピングシャワーチョコとパチパチコーラチョコのeating  sound付きcream soda cooking❓,/watch?v=pVNWLE6SpE0,4197,まりこちゃんねる,13300,1週間前,11644,36
旧暦の七夕の星空の下、スマイルオピオがWHITE SANDAY BEACH踊ってみた⭐️習いたてで、途中まででごめんね。これもある意味ASMRの気がします🌈,/watch?v=PnEyWDUrLas,1260,まりこちゃんねる,13300,1週間前,11644,11
【 HULA】旧暦の七夕に、スタジオの屋上で、クバリイリイ踊ってみた🌺ある意味ASMRかも,/watch?v=TKhzcF55Pyw,2434,まりこちゃんねる,13300,1週間前,11644,21
【ASMR】御殿場アウトレットショッピング👛購入品ネイルタッピングしながら紹介🎁😍swarovsky💎PREMIUM OUTLET shopping🥰,/watch?v=SOXfxt_p4UM,5552,まりこちゃんねる,13300,2週間前,11644,48
【ASMR】箱根のお土産で、ネイルタッピング🙌&咀嚼音👄Nail tapping & eating sound🍪ラスクの音めちゃいいかも😍,/watch?v=DH1oWafNyx0,7214,まりこちゃんねる,13300,2週間前,11644,62
【ASMR】耳かき👂耳掃除。声なし🤫ear massage〜ear cleaning🤐no talking,/watch?v=Lpb_q736ycI,12042,まりこちゃんねる,13300,2週間前,11644,103
