title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
エビマカロニグラタンを作って食べる。ASMR,/watch?v=n6hrtazp0Fk,66,まんまる。ASMR,,2か月前,137,48
揚げたて唐揚げを食べる｜ASMR,/watch?v=OhZI7qyQ-yE,68,まんまる。ASMR,,2か月前,137,50
【ASMR】辛ラーメンをアレンジしてみた｜신라면 トッポギ入り,/watch?v=jWViAMfZDJs,119,まんまる。ASMR,,3か月前,137,87
山下公園で晴れの日お弁当ピクニックvlog #ピクニック弁当,/watch?v=sozwtcYa7i4,65,まんまる。ASMR,,3か月前,137,47
満開の桜/vlog/まんまる。,/watch?v=gAoja-rTAHU,21,まんまる。ASMR,,3か月前,137,15
マクドナルドを食べる｜まんまる。ASMR,/watch?v=6Q1yxRQEFLc,64,まんまる。ASMR,,作成者:3か月前,137,47
【おうちごはん】餃子の皮deピザを作る！ASMR,/watch?v=mw6D_yZQHFE,214,まんまる。ASMR,,4か月前,137,156
宝石をたべる 琥珀糖/ASMR/코하쿠토 まんまる。1人ver,/watch?v=hkFSJ6oENqk,76,まんまる。ASMR,,4か月前,137,55
【簡単】キムチ鍋を作って食べるASMR｜まんまる。,/watch?v=zkro0SNdRAU,49,まんまる。ASMR,,4か月前,137,36
【おうち時間】料理本を買って作ってみた！ガーリック醤油チキン,/watch?v=NT2XKoshZDQ,37,まんまる。ASMR,,4か月前,137,27
お花見ピクニックvlog｜まんまる。,/watch?v=ryNukFzEC8Y,43,まんまる。ASMR,,4か月前,137,31
東京タワーと目黒の豚カフェVlog｜まんまる。,/watch?v=GQKtn6zeLx8,25,まんまる。ASMR,,5か月前,137,18
【箱根】おすすめカフェ ナラヤカフェに行ってみた！Vlog,/watch?v=6cWv_5D-MGE,169,まんまる。ASMR,,5か月前,137,123
のんびり鎌倉デートvlog｜gram 小町通り 長谷寺,/watch?v=ys3L_var1c4,67,まんまる。ASMR,,5か月前,137,49
【ASMR 咀嚼音】お雑煮を食べる｜まんまる。Ozoni Mochi,/watch?v=vRAmjwaPAk8,333,まんまる。ASMR,,7か月前,137,243
【ASMR 咀嚼音】韓国のインスタント麺オモリキムチチゲラーメン｜まんまる。,/watch?v=xUWMFh34ptw,610,まんまる。ASMR,,8か月前,137,445
【ASMR 咀嚼音】蒙古タンメン中本 チーズの追撃と野菜スティック｜まんまる。,/watch?v=A3T3sPf2tTo,184,まんまる。ASMR,,9か月前,137,134
秋の期間限定ドーナツ ミスドのさつまいもド｜ASMR 咀嚼音 まんまる。,/watch?v=n3ObpKneto8,259,まんまる。ASMR,,10か月前,137,189
