title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【EatingSounds】ミスタードーナツのポンデちぎりパンとパイ３種類食べるよ【咀嚼音】モチモチのポンデちぎりパンとサクサクのパイ　タピオカ黒糖ミルク【食べる音】,/watch?v=HNVgjhaRoaE,161,みるく,93,1か月前,233,69
【EatingSounds】マシュマロトースト＆コーンツナオニオンチーズトースト【咀嚼音】とろとろのマシュマロにチョコレートとトースト　かりっかりのチーズトースト　果肉たっぷり苺ミルク【食べる音】,/watch?v=MAiMoO3-vxQ,135,みるく,93,1か月前,233,58
【EatingSounds】サッポロ一番味噌ラーメン旨辛【咀嚼音】バター、もやし、にら、ねぎ、たまご、トッピング　明太子おにぎり【食べる音】,/watch?v=A9ylXrO85l4,208,みるく,93,1か月前,233,89
【EatingSounds】サーモンと海老のお寿司【咀嚼音】オニオンサーモン　ぷりぷりの海老　【食べる音】,/watch?v=Pjw3Ws5p7b4,358,みるく,93,2か月前,233,154
【Eating Sounds】スキレットビビンバ食べるよ【咀嚼音】牛カルビ　３種類のナムル　キムチ　【食べる音】,/watch?v=JyfRT3srztk,113,みるく,93,2か月前,233,48
【Eating Sounds】とんかつ定食食べるよ【咀嚼音】サックサクのとんかつ　シャキシャキサラダ　ホカホカご飯　ほうれん草と油揚げのお味噌汁【食べる音】,/watch?v=4bGOTMtKqmo,221,みるく,93,2か月前,233,95
【Eating Sounds】韓国フライドチキン食べたよ【咀嚼音】サクサク　ジューシー　なフライドチキンにハニーマスタードをつけて　長芋の紫蘇漬け　コカ・コーラと共に【食べる音】,/watch?v=6XSQGLS-fXU,158,みるく,93,2か月前,233,68
【Eating Sounds】いちご飴食べるよ【咀嚼音】カリカリ飴にジューシーな苺が美味しい【食べる音】,/watch?v=eaxEzKIT7IQ,173,みるく,93,2か月前,233,74
【Eating Sound】贅沢おにぎり2種類とソーセージを食べるよ【咀嚼音】梅　紫蘇　おにぎり　悪魔のおにぎり　海老入り　ソーセージ　お味噌汁　きゅうりの浅漬け【食べる音】,/watch?v=3xMOarUw1OY,188,みるく,93,2か月前,233,81
【Eating Sound】パングラタン食べるよ【咀嚼音】海老　きのこ　ソーセージ　とろとろホワイトソースにカリカリふかふかのパン【食べる音】,/watch?v=WWsn-eOVC0U,254,みるく,93,2か月前,233,109
【Eating Sound】チーズカツカレー食べるよ【咀嚼音】エリンギのフライ　ノンアルビールと共に　【食べる音】,/watch?v=3rhFq_jHjTM,295,みるく,93,2か月前,233,127
【Eating Sound】天ぷらとごはん食べるよ【咀嚼音】サクサク食感が最高！海老　茄子　舞茸　長芋　紫蘇　ピーマン　鰯　炊き立てごはんに筋子【食べる音】,/watch?v=kwYiEgoDXIw,491,みるく,93,3か月前,233,211
【Eating Sounds】パン４種類食べるよ【咀嚼音】カレーパン　チーズとベーコンのパン　抹茶クリームのデニッシュパン　くまのチョコパン　アイスカフェラテと一緒に【食べる音】,/watch?v=Iw3wLKyR8tA,491,みるく,93,3か月前,233,211
【Eating Sounds】濃厚カルボナーラ食べたよ【咀嚼音】厚切りベーコン　アスパラソテー　とろとろのクリームソースと絡めて【食べる音】,/watch?v=KHLKFgF-LTI,329,みるく,93,3か月前,233,141
【Eating Sounds】生チョコレートフォンデュ食べるよ【咀嚼音】いちご　キウイ　バナナ　パンケーキ　ポテトチップス　ホームパイ　マシュマロ　白玉　とろとろの生チョコレートと【食べる音】,/watch?v=GXsSkeBj0Mo,152,みるく,93,3か月前,233,65
【Eating Sounds】海老マヨ食べるよ【咀嚼音】たらこと野沢菜のお漬物　鯖缶のお味噌汁　大盛りごはん　アスパラを添えて【食べる音】,/watch?v=gAh1AWbm5zE,277,みるく,93,3か月前,233,119
【Eating Sounds】チーズボール食べるよ【咀嚼音】ヨーグルトソースにつけて　カリカリ　モチモチ【食べる音】,/watch?v=4bxlyZqTsQQ,159,みるく,93,3か月前,233,68
【Eating Sounds】チュロスとチュロスドック食べたよ【咀嚼音】ディズニー公式レシピ　カリカリ　モチモチ　食感【食べる音】,/watch?v=3uEslogsJuA,143,みるく,93,3か月前,233,61
【Eating Sounds】チーズinハンバーグ定食食べたよ【咀嚼音】長ネギとえのきの味噌汁　春キャベツのサラダ　白米【食べる音】,/watch?v=GaqLRqYPvaE,684,みるく,93,3か月前,233,294
【Eating Sounds】豚骨ラーメン食べたよ【咀嚼音】筋子のおにぎりと一緒に　濃厚な豚骨スープにツルツルな細麺　柔らかいチャーシュー【食べる音】,/watch?v=ptI2AAqitt0,228,みるく,93,3か月前,233,98
【Eating　Sounds】ソーセージ食べるよ【咀嚼音】パリッパリジューシーなジョンソンビルソーセージとアルトバイエルン　ビールとハイボールと共に【食べる音】,/watch?v=lxqrG7bGbP0,158,みるく,93,4か月前,233,68
【Eating Sounds】スキレットスモア食べるよ【咀嚼音】マシュマロとチョコレートのコレボレーション　しゅわふわ　サクサク食感,/watch?v=RKubOYbCC_4,173,みるく,93,4か月前,233,74
【Eating Sounds】モスバーガー食べるよ【咀嚼音】海老カツバーガー　照り焼きチキンバーガー（菜摘）オニポテ　瀬戸内産オレンジ＆レモンジンジャーエール,/watch?v=XlslmaWQ6vA,145,みるく,93,4か月前,233,62
【Eating Sounds】からあげ3種と浅漬け食べるよ【咀嚼音】ビールとハイボール　お酒のおつまみ　鶏モモ肉のから揚げ　軟骨のから揚げ　ゴボウのから揚げ,/watch?v=0_Ga6G8bcvg,115,みるく,93,4か月前,233,49
【Eating Sounds】フレンチトースト食べるよ【咀嚼音】,/watch?v=UanmvYVg9UI,161,みるく,93,4か月前,233,69
いちご大福とフルーツ飴食べるよ【咀嚼音】口福堂のいちご大福3種類　いちご飴　キウイ飴　パイン飴　みかん飴　かりかり音,/watch?v=nWkRzOTN5TU,115,みるく,93,4か月前,233,49
