title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
手のひらサイズの猫が寝るまでの1分30秒,/watch?v=SXSMgAHjQ1o,4,もぐにゃん,13,4週間前,61,7
子猫が捨てられていたので拾った。,/watch?v=MrIi5jZNwQc,15,もぐにゃん,13,1か月前,61,25
【咀嚼音/ASM/食べる動画】トッポギとピリ辛きゅうり,/watch?v=0Z-Fuh7zzf8,14,もぐにゃん,13,5か月前,61,23
【咀嚼音/ASMR/ごはん】ひとりごはん⑤わかめラーメン,/watch?v=CFx_C8ZWrHA,62,もぐにゃん,13,5か月前,61,102
【咀嚼音/ASMR/夜ご飯】ひとりごはん⑤サラダ唐揚げ,/watch?v=b_1-ED8uwBQ,20,もぐにゃん,13,5か月前,61,33
【咀嚼音/ASMR/リクエスト】リクエスト① 麺,/watch?v=8xC_DthjfIM,38,もぐにゃん,13,5か月前,61,62
【咀嚼音/ASMR/ごはん】ひとりごはん④塩唐揚げ,/watch?v=UeFc-vI_S_w,32,もぐにゃん,13,5か月前,61,52
【咀嚼音/ASMR/おやつ】ひとりおやつ④手作りおやつ,/watch?v=xY-IudUSESo,16,もぐにゃん,13,5か月前,61,26
【咀嚼音/ASMR/過食】ひとりおやつ③ 芋けんぴを食べる,/watch?v=pw3K9zC0LUA,87,もぐにゃん,13,5か月前,61,143
【咀嚼音/ASMR/夕飯】ひとりごはん② 和風ハンバーグ【EatingSounds/Dinner】,/watch?v=5qK1AIlpomo,55,もぐにゃん,13,5か月前,61,90
【咀嚼音/AMSR/過食】ひとりおやつ② ファミマのとろける生チーズケーキとひなあられ,/watch?v=XFq2kWNgkvA,48,もぐにゃん,13,5か月前,61,79
【咀嚼音/ASMR/夕飯】ひとりごはん①,/watch?v=Kx1DhtbSVhE,127,もぐにゃん,13,5か月前,61,208
【咀嚼音/ASMR/過食】ひとりおやつ①  セブンの甘いもの,/watch?v=WSnfkmhkZLY,271,もぐにゃん,13,5か月前,61,444
