title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
お久しぶりの動物園🦁お猿さんとこんにちは🐒【お出かけVlog】,/watch?v=O4tGbapDxrI,38961,ゆうひなたチャンネル,21300,22時間前,108305,36
家で初めてのスイカ割り🍉したらひなたブチ切れ🤣,/watch?v=kiQcJ1sXGSc,101317,ゆうひなたチャンネル,21300,3日前,108305,94
【リベンジ】夏の虫取り🦋！セミや蝶を捕まえて観察🔎触れるかな...❓,/watch?v=dW4QNjtqQNo,71024,ゆうひなたチャンネル,21300,4日前,108305,66
【大興奮💓】割れない風船🤔❓バルーンベッドに全力ダイビング🤣【簡単DIY】,/watch?v=wTAC0TNCJPI,64678,ゆうひなたチャンネル,21300,6日前,108305,60
【爆食】今が旬‼️高級魚✨ハモ鍋頂きます！！最高すぎ🤤ww【モッパン】,/watch?v=nereqw6vOts,78107,ゆうひなたチャンネル,21300,1週間前,108305,72
ゆうひバースデー🎉初めてのアイスケーキ🎂に大興奮😍【Birthday Vlog】,/watch?v=HXJng6HSEV8,141614,ゆうひなたチャンネル,21300,1週間前,108305,131
【夜ご飯モッパン】エビ嫌いのひなたがエビマヨで克服🍤⁉️【暮らしVlog】,/watch?v=DggxhHgNS8M,150177,ゆうひなたチャンネル,21300,1週間前,108305,139
【ぱるるーむコラボ】ぱるるママと遊んだよ👼オフショット大公開💓,/watch?v=HV_tygiWFho,143763,ゆうひなたチャンネル,21300,1週間前,108305,133
7月身体測定⭐️さらに大きくなってレベルアップ⁉️【暮らしVlog】,/watch?v=C3MLuBUh0Dw,218134,ゆうひなたチャンネル,21300,2週間前,108305,201
【超簡単】カラフルわらびもち💎キラキラ宝石みたい😍【インスタ映え】,/watch?v=LCTs5MON124,82968,ゆうひなたチャンネル,21300,2週間前,108305,77
【モッパン】家族で焼肉行ってきました🥩豪快に食べる姿がたまりません🤣💓【飯テロ】,/watch?v=-vn5wiqxc24,162676,ゆうひなたチャンネル,21300,3週間前,108305,150
ゆうひな流トレーニング⁉️観察してたら面白すぎる🤣ww【NiziU歌います🌈】,/watch?v=-6CRVuxtnDk,111490,ゆうひなたチャンネル,21300,3週間前,108305,103
バースデーサプライズ🎉LIVE,/watch?v=6zxPP2hzDrU,95370,ゆうひなたチャンネル,21300,3週間前,108305,88
【セブンスイーツ】ゆうひなた初めてのコンビニスイーツ🧁リアルな反応をご覧下さい‼️【モッパン】,/watch?v=6rWHBrv_zbY,148249,ゆうひなたチャンネル,21300,3週間前,108305,137
ランチライブ🍜♩【オムそばモッパン】,/watch?v=z1ryo-o73U4,101865,ゆうひなたチャンネル,21300,4週間前,108305,94
この言葉 言えるかな？【ひなたver.】,/watch?v=mRdeEz3irU4,216725,ゆうひなたチャンネル,21300,4週間前,108305,200
【モニタリング】お菓子我慢チャレンジ🍪🔥さぁゆうひなたはどうする⁉️,/watch?v=-FAOvvugc_M,133440,ゆうひなたチャンネル,21300,1か月前,108305,123
【セルフカット】伸びてきた前髪さようなら✂️☆【暮らしVlog】,/watch?v=9YNcW9bJw8s,89074,ゆうひなたチャンネル,21300,1か月前,108305,82
さくらんぼ🍒食べながらコロナについて語ってみた【モッパン】,/watch?v=dJm1QjzZHII,55452,ゆうひなたチャンネル,21300,1か月前,108305,51
ゆうひなの持ち込み企画やねんけどこのゲーム何？？😳,/watch?v=boBUUufAmE4,62155,ゆうひなたチャンネル,21300,1か月前,108305,57
休日ライブ\( ˆ ˆ )/,/watch?v=-yiVBtkqPd8,43881,ゆうひなたチャンネル,21300,1か月前,108305,41
可愛いフィギュアに大興奮姉妹😻【全コンプ‼️】,/watch?v=QRxyJISLums,37183,ゆうひなたチャンネル,21300,1か月前,108305,34
ひならいぶ♩( ˊᵕˋ ),/watch?v=VbA2Ztr5NmY,42765,ゆうひなたチャンネル,21300,1か月前,108305,39
【ASMR】弾ける姉と動じない妹ww【Japanese popping candy】,/watch?v=XtVNPSnvns4,59652,ゆうひなたチャンネル,21300,1か月前,108305,55
筆でこちょこちょ♪くすぐったーい😍w【手形アート】,/watch?v=dNeE6vTnD08,53772,ゆうひなたチャンネル,21300,1か月前,108305,50
ひなたライブ\( ˆ ˆ )/,/watch?v=eUL_bp5YyRU,54407,ゆうひなたチャンネル,21300,1か月前,108305,50
３歳児の写す世界を観てみましょう📷【ルームツアー】,/watch?v=zKaxnbJesCE,106075,ゆうひなたチャンネル,21300,1か月前,108305,98
我が家の愉快すぎる女子会🎨♩,/watch?v=CMlZ5RjX_GE,63213,ゆうひなたチャンネル,21300,1か月前,108305,58
【爆食】最高級の手巻き寿司パーティー🍣【モッパン】,/watch?v=RS2mzLQODmE,129684,ゆうひなたチャンネル,21300,1か月前,108305,120
【大満足💮】大きなとうもろこしを丸かじりっ🌽【モッパン】,/watch?v=JhpROtS9PP8,81488,ゆうひなたチャンネル,21300,1か月前,108305,75
まったりライブ🌱✨,/watch?v=lNctYcUmA_k,58184,ゆうひなたチャンネル,21300,1か月前,108305,54
大きなお届け物！みんなで開封😆【コアラマットレス】,/watch?v=sTjJ33n1uUg,144100,ゆうひなたチャンネル,21300,1か月前,108305,133
【アート/ぬりえ】ゆうひなたCHぬりえ新登場🌈,/watch?v=Vm7wW55C5bA,45513,ゆうひなたチャンネル,21300,1か月前,108305,42
【おすすめ‼️】本格お家タピオカが絶品すぎる💕【モッパン】,/watch?v=FdbHBkL3apA,94956,ゆうひなたチャンネル,21300,2か月前,108305,88
【コストコグルメ】チェリー爆食しながら幼稚園トーク🍒,/watch?v=qhqg-bHvPYo,113805,ゆうひなたチャンネル,21300,2か月前,108305,105
「つ」がどうしても言えない娘,/watch?v=jlHa7oJoC9s,211361,ゆうひなたチャンネル,21300,2か月前,108305,195
【プチドッキリ有】ゆうひなたにお菓子当てクイズしてみた！,/watch?v=3OumXctEt4c,83892,ゆうひなたチャンネル,21300,2か月前,108305,77
新しいパジャマに大興奮‼️かめはめ波🔥【ドラゴンボール】,/watch?v=L3mlQxErqsI,181048,ゆうひなたチャンネル,21300,2か月前,108305,167
